sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
P-1	5229	3928	75.12	3692	3692	70.61
P-10	1810	1397	77.18	1102	1102	60.88
P-11	2944	2198	74.66	1857	1857	63.08
P-12	2789	2051	73.54	1721	1721	61.71
P-13	6054	4585	75.74	4069	4069	67.21
P-14	1255	970	77.29	629	629	50.12
P-15	6	4	66.67	1	1	16.67
P-16	2137	1643	76.88	1192	1192	55.78
P-17	1541	1191	77.29	836	836	54.25
P-18	2715	2006	73.89	1583	1583	58.31
P-2	3301	2514	76.16	2223	2223	67.34
P-20	2018	1552	76.91	1183	1183	58.62
P-21	2644	1996	75.49	1613	1613	61.01
P-22	1939	1473	75.97	1010	1010	52.09
P-23	1498	1104	73.7	742	742	49.53
P-24	844	634	75.12	348	348	41.23
P-25	952	713	74.89	455	455	47.79
P-26	6582	4866	73.93	4755	4755	72.24
P-27	21063	16087	76.38	15901	15596	74.04
P-29	8178	6036	73.81	5839	5839	71.4
P-3	19	11	57.89	1	1	5.26
P-30	4673	3468	74.21	3172	3142	67.24
P-31	45	35	77.78	16	16	35.56
P-4	5696	4272	75	4081	4081	71.65
P-5	5464	4108	75.18	3829	3829	70.08
P-6	588	462	78.57	310	310	52.72
P-7	918	685	74.62	556	556	60.57
P-8	1333	1011	75.84	879	879	65.94
P-9	4117	3077	74.74	2863	2863	69.54
