SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	AMT.19.1-60231	AMT-19	Station_1	A	2009-10-20T04:38:00	20	10	9	04:38:00	38.32	-24.67	0	3380.8	21.08	36.16	230.1	0.1	0.01	0.1	NA	0.04	NA	NA	0.13	0.02	NA	Winter	NASE	Westerlies - N. Atlantic Subtropical Gyral Province (East) (STGE)
2	AMT.19.10-60240	AMT-19	Station_11	A	2009-10-29T11:00:00	29	10	9	11:00:00	21.12	-39.26	6	5523.4	27.49	36.83	206.7	0.1	NA	0.1	NA	0.01	NA	NA	1.12	0.02	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
3	AMT.19.11-60241	AMT-19	Station_9	A	2009-10-30T07:00:00	30	10	9	07:00:00	21.13	-39.31	6	5492.9	27.41	36.84	205.9	0.1	NA	0.1	NA	0.01	NA	NA	NA	0.02	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
4	AMT.19.12-60242	AMT-19	Station_12	A	2009-11-1T07:17:00	1	11	9	07:17:00	16.57	-36.1	0	4697.8	27.32	36.6	206.8	0.1	0.01	NA	NA	0.01	NA	NA	NA	0.02	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
5	AMT.19.13-60243	AMT-19	Station_13	A	2009-11-2T05:33:00	2	11	9	05:33:00	14.15	-34.46	0	5790.4	27.69	36.14	204.7	0.1	0.01	0.1	NA	0.01	NA	NA	0.09	0.03	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
6	AMT.19.14-60244	AMT-19	Station_14	A	2009-11-3T05:39:00	3	11	9	05:39:00	11.47	-32.65	0	5497.1	27.89	35.39	205.2	NA	0.01	0.13	NA	0.01	NA	NA	0.06	0.05	NA	Winter	WTRA	Trades - Western Tropical Atlantic Province
7	AMT.19.15-60245	AMT-19	Station_15	A	2009-11-5T05:37:00	5	11	9	05:37:00	6.83	-29.55	0	4000.6	28.85	33.83	202.6	0.22	0.01	0.1	NA	0.01	NA	NA	0.18	0.05	NA	Winter	WTRA	Trades - Western Tropical Atlantic Province
8	AMT.19.16.1-60246	AMT-19	Station_16	A	2009-11-6T05:34:00	6	11	9	05:34:00	4.07	-27.69	0	4100.9	28.25	35.06	202	0.03	0.01	0.03	NA	0.01	NA	NA	0.19	0.06	NA	Winter	WTRA	Trades - Western Tropical Atlantic Province
9	AMT.19.16.2-60247	AMT-19	Station_17	A	2009-11-7T05:34:00	7	11	9	05:34:00	1.27	-25.85	0	3573.5	27	35.85	209.1	0.19	0.01	0.03	NA	0.01	NA	NA	NA	0.03	NA	Winter	WTRA	Trades - Western Tropical Atlantic Province
10	AMT.19.17.1-60248	AMT-19	Station_18	A	2009-11-8T07:10:00	8	11	9	07:10:00	-2.05	-24.99	0	4796.2	26.31	36.19	207.1	0.31	0.01	0.03	NA	0.08	NA	NA	28.35	0.07	NA	Summer	WTRA	Trades - Western Tropical Atlantic Province
11	AMT.19.17.2-60249	AMT-19	Station_19	A	2009-11-9T05:34:00	9	11	9	05:34:00	-3.84	-25	0	5555.4	26.33	36.31	211.4	0.15	0.01	0.03	NA	0.13	NA	NA	0.12	0.05	NA	Summer	WTRA	Trades - Western Tropical Atlantic Province
12	AMT.19.18-60250	AMT-19	Station_20	A	2009-11-10T05:35:00	10	11	9	05:35:00	-7.37	-24.99	0	5504.8	25.5	35.95	214.1	0.03	0.01	0.03	NA	0.09	NA	NA	0.09	0.04	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
13	AMT.19.19-60251	AMT-19	Station_21	A	2009-11-11T04:36:00	11	11	9	04:36:00	-10.66	-25	0	5503.6	25.67	36.54	213.8	0.03	0.01	0.03	NA	0.06	NA	NA	0.11	0.02	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
14	AMT.19.2-60232	AMT-19	Station_2	A	2009-10-22T05:36:00	22	10	9	05:36:00	35.46	-28.65	0	3452.4	23.24	36.74	219.7	0.65	0.01	0.1	NA	0.04	NA	NA	0.15	0.02	NA	Winter	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)
15	AMT.19.20-60252	AMT-19	Station_22	A	2009-11-13T05:19:00	13	11	9	05:19:00	-14	-25.17	0	5170.7	25.59	36.83	212.8	0.03	0.01	0.03	NA	0.06	NA	NA	NA	0.01	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
16	AMT.19.21-60253	AMT-19	Station_23	A	2009-11-14T04:43:00	14	11	9	04:43:00	-16.37	-25	0	5051.5	24.77	37.09	217.9	0.03	0.01	0.03	NA	0.16	NA	NA	0.05	0.01	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
17	AMT.19.22.1-60254	AMT-19	Station_24	A	2009-11-15T04:33:00	15	11	9	04:33:00	-19.5	-25	0	5484.3	25.33	37.2	216.8	0.13	0.01	0.03	NA	0.13	NA	NA	0.13	0.01	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
18	AMT.19.22.2-60255	AMT-19	Station_25	A	2009-11-16T04:33:00	16	11	9	04:33:00	-22.85	-25	0	5503.6	24.82	36.67	219.9	0.23	0.01	0.03	NA	0.11	NA	NA	0.11	0.01	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
19	AMT.19.24-60256	AMT-19	Station_26	A	2009-11-17T04:42:00	17	11	9	04:42:00	-26.1	-25.01	0	4995.5	24.32	36.36	221.2	0.22	0.01	0.03	NA	0.05	NA	NA	0.1	0.02	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
20	AMT.19.25-60257	AMT-19	Station_27	A	2009-11-18T04:38:00	18	11	9	04:38:00	-28.79	-26.14	0	5003.8	22.8	36.22	227.1	0.15	0.01	0.03	NA	0.06	NA	NA	0.11	0.02	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
21	AMT.19.26-60258	AMT-19	Station_28	A	2009-11-19T04:34:00	19	11	9	04:34:00	-30.83	-29.18	0	2384.1	20.9	36.02	234.6	0.1	0.01	0.1	NA	0.12	NA	NA	0.12	0.01	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
22	AMT.19.27-60259	AMT-19	Station_29	A	2009-11-21T05:42:00	21	11	9	05:42:00	-33.41	-34.26	0	4142.8	17.9	35.61	250.5	0.03	0.01	0.03	NA	0.12	NA	NA	0.13	0.03	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
23	AMT.19.28-60260	AMT-19	Station_30	A	2009-11-24T05:36:00	24	11	9	05:36:00	-37.3	-40.19	0	4982.9	16.08	35.69	263.7	0.45	0.05	0.59	NA	0.18	NA	NA	NA	0.34	NA	Summer	SATL	Trades - South Atlantic Gyral Province (SATG)
