SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	3335-FRAM-bactV4V5-EGC-3-1plus2-S1	FRAM_STRAIT	NA	NA	2016-10-7TNA	7	10	16	NA	78.83	-2.79	80.155882	NA	3.44485	35.012097	296.240888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
2	3336-FRAM-bactV4V5-EGC-3-3plus4-S2	FRAM_STRAIT	NA	NA	2016-7-26TNA	26	7	16	NA	78.83	-2.79	83.14775	NA	3.5155	35.00997	295.498065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
3	3336-FRAM-bactV4V5-EGC-3-3plus4-S2	FRAM_STRAIT	NA	NA	2016-7-26TNA	26	7	16	NA	78.83	-2.79	83.14775	NA	3.5155	35.00997	295.498065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
4	3337-FRAM-bactV4V5-EGC-3-5plus6-S3	FRAM_STRAIT	NA	NA	2016-11-8TNA	8	11	16	NA	78.83	-2.79	79.792898	NA	3.248275	34.954	290.62303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
5	3338-FRAM-bactV4V5-EGC-3-7plus8-S4	FRAM_STRAIT	NA	NA	2016-8-27TNA	27	8	16	NA	78.83	-2.79	81.126142	NA	4.35835	35.094596	291.117721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
6	3338-FRAM-bactV4V5-EGC-3-7plus8-S4	FRAM_STRAIT	NA	NA	2016-8-27TNA	27	8	16	NA	78.83	-2.79	81.126142	NA	4.35835	35.094596	291.117721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
7	3339-FRAM-bactV4V5-EGC-3-9plus10-S5	FRAM_STRAIT	NA	NA	2016-12-9TNA	9	12	16	NA	78.83	-2.79	81.142956	NA	0.082975	34.469114	306.135948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
8	3339-FRAM-bactV4V5-EGC-3-9plus10-S5	FRAM_STRAIT	NA	NA	2016-12-9TNA	9	12	16	NA	78.83	-2.79	81.142956	NA	0.082975	34.469114	306.135948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
9	3340-FRAM-bactV4V5-EGC-3-11plus12-S6	FRAM_STRAIT	NA	NA	2016-9-28TNA	28	9	16	NA	78.83	-2.79	87.051455	NA	-0.44305	34.379271	314.274966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
10	3341-FRAM-bactV4V5-EGC-3-13plus14-S7	FRAM_STRAIT	NA	NA	2016-10-14TNA	14	10	16	NA	78.83	-2.79	79.875979	NA	-1.834075	34.211242	348.498177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
11	3342-FRAM-bactV4V5-EGC-3-15plus16-S8	FRAM_STRAIT	NA	NA	2016-10-30TNA	30	10	16	NA	78.83	-2.79	87.559811	NA	3.898825	34.926286	294.59649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
12	3343-FRAM-bactV4V5-EGC-3-17plus18-S9	FRAM_STRAIT	NA	NA	2016-11-15TNA	15	11	16	NA	78.83	-2.79	80.022359	NA	1.49835	34.614178	306.33562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
13	3344-FRAM-bactV4V5-EGC-3-19plus20-S10	FRAM_STRAIT	NA	NA	2016-1-12TNA	12	1	16	NA	78.83	-2.79	89.73663	NA	-0.470325	34.409383	312.828703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
14	3345-FRAM-bactV4V5-EGC-3-21plus22-S11	FRAM_STRAIT	NA	NA	2016-12-17TNA	17	12	16	NA	78.83	-2.79	83.605676	NA	3.374825	34.828308	302.809919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
15	3345-FRAM-bactV4V5-EGC-3-21plus22-S11	FRAM_STRAIT	NA	NA	2016-12-17TNA	17	12	16	NA	78.83	-2.79	83.605676	NA	3.374825	34.828308	302.809919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
16	3346-FRAM-bactV4V5-EGC-3-23plus24-S12	FRAM_STRAIT	NA	NA	2017-2-1TNA	1	2	17	NA	78.83	-2.79	150.135348	NA	3.57155	35.022625	295.355218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
17	3346-FRAM-bactV4V5-EGC-3-23plus24-S12	FRAM_STRAIT	NA	NA	2017-2-1TNA	1	2	17	NA	78.83	-2.79	150.135348	NA	3.57155	35.022625	295.355218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
18	3347-FRAM-bactV4V5-EGC-3-25plus26-S13	FRAM_STRAIT	NA	NA	2017-1-18TNA	18	1	17	NA	78.83	-2.79	86.182103	NA	3.140025	34.946822	304.443796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
19	3348-FRAM-bactV4V5-EGC-3-27plus28-S14	FRAM_STRAIT	NA	NA	2017-3-2TNA	2	3	17	NA	78.83	-2.79	108.644606	NA	-0.723975	34.230212	320.433438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
20	3348-FRAM-bactV4V5-EGC-3-27plus28-S14	FRAM_STRAIT	NA	NA	2017-3-2TNA	2	3	17	NA	78.83	-2.79	108.644606	NA	-0.723975	34.230212	320.433438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
21	3349-FRAM-bactV4V5-EGC-3-29plus30-S15	FRAM_STRAIT	NA	NA	2017-2-19TNA	19	2	17	NA	78.83	-2.79	81.826388	NA	-1.71805	33.747368	347.376143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
22	3349-FRAM-bactV4V5-EGC-3-29plus30-S15	FRAM_STRAIT	NA	NA	2017-2-19TNA	19	2	17	NA	78.83	-2.79	81.826388	NA	-1.71805	33.747368	347.376143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
23	3350-FRAM-bactV4V5-EGC-3-31plus32-S16	FRAM_STRAIT	NA	NA	2017-7-3TNA	3	7	17	NA	78.83	-2.79	80.02137	NA	-1.388075	34.115505	328.979721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
24	3350-FRAM-bactV4V5-EGC-3-31plus32-S16	FRAM_STRAIT	NA	NA	2017-7-3TNA	3	7	17	NA	78.83	-2.79	80.02137	NA	-1.388075	34.115505	328.979721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
25	3351-FRAM-bactV4V5-EGC-3-33plus34-S17	FRAM_STRAIT	NA	NA	2017-3-23TNA	23	3	17	NA	78.83	-2.79	86.054519	NA	1.8345	34.783132	312.506961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
26	3351-FRAM-bactV4V5-EGC-3-33plus34-S17	FRAM_STRAIT	NA	NA	2017-3-23TNA	23	3	17	NA	78.83	-2.79	86.054519	NA	1.8345	34.783132	312.506961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
27	3352-FRAM-bactV4V5-EGC-3-35plus36-S18	FRAM_STRAIT	NA	NA	2017-8-4TNA	4	8	17	NA	78.83	-2.79	79.832461	NA	-0.304675	34.347027	318.284732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
28	3352-FRAM-bactV4V5-EGC-3-35plus36-S18	FRAM_STRAIT	NA	NA	2017-8-4TNA	4	8	17	NA	78.83	-2.79	79.832461	NA	-0.304675	34.347027	318.284732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
29	3353-FRAM-bactV4V5-EGC-3-37plus38-S19	FRAM_STRAIT	NA	NA	2017-4-24TNA	24	4	17	NA	78.83	-2.79	221.705889	NA	2.644625	35.033657	309.721548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
30	3353-FRAM-bactV4V5-EGC-3-37plus38-S19	FRAM_STRAIT	NA	NA	2017-4-24TNA	24	4	17	NA	78.83	-2.79	221.705889	NA	2.644625	35.033657	309.721548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
31	3354-FRAM-bactV4V5-EGC-3-39plus40-S20	FRAM_STRAIT	NA	NA	2017-10-5TNA	5	10	17	NA	78.83	-2.79	80.99262	NA	3.16245	35.020017	307.138948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
32	3355-FRAM-bactV4V5-EGC-3-41plus42-S21	FRAM_STRAIT	NA	NA	2017-5-26TNA	26	5	17	NA	78.83	-2.79	90.928382	NA	3.436125	35.040021	307.213842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
33	3355-FRAM-bactV4V5-EGC-3-41plus42-S21	FRAM_STRAIT	NA	NA	2017-5-26TNA	26	5	17	NA	78.83	-2.79	90.928382	NA	3.436125	35.040021	307.213842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
34	3356-FRAM-bactV4V5-EGC-3-43plus44-S22	FRAM_STRAIT	NA	NA	2017-11-6TNA	6	11	17	NA	78.83	-2.79	85.888363	NA	0.8623	34.571796	306.957292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
35	3357-FRAM-bactV4V5-EGC-3-45plus46-S23	FRAM_STRAIT	NA	NA	2017-6-27TNA	27	6	17	NA	78.83	-2.79	128.889699	NA	3.6118	35.024951	303.258183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
36	3357-FRAM-bactV4V5-EGC-3-45plus46-S23	FRAM_STRAIT	NA	NA	2017-6-27TNA	27	6	17	NA	78.83	-2.79	128.889699	NA	3.6118	35.024951	303.258183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
37	3358-FRAM-bactV4V5-EGC-3-47plus48-S24	FRAM_STRAIT	NA	NA	2016-7-13TNA	13	7	16	NA	78.83	-2.79	78.652513	NA	3.660825	35.040392	303.067107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
38	3358-FRAM-bactV4V5-EGC-3-47plus48-S24	FRAM_STRAIT	NA	NA	2016-7-13TNA	13	7	16	NA	78.83	-2.79	78.652513	NA	3.660825	35.040392	303.067107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
39	3359-FRAM-bactV4V5-HG4-S-1-1plus2-S25	FRAM_STRAIT	NA	NA	2016-1-8TNA	8	1	16	NA	79.02	4.26	32.959259	NA	5.609775	35.115922	301.693646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
40	3360-FRAM-bactV4V5-HG4-S-1-3plus4-S26	FRAM_STRAIT	NA	NA	2016-8-15TNA	15	8	16	NA	79.02	4.26	46.302253	NA	4.997875	35.096927	293.268355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
41	3360-FRAM-bactV4V5-HG4-S-1-3plus4-S26	FRAM_STRAIT	NA	NA	2016-8-15TNA	15	8	16	NA	79.02	4.26	46.302253	NA	4.997875	35.096927	293.268355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
42	3361-FRAM-bactV4V5-HG4-S-1-5plus6-S27	FRAM_STRAIT	NA	NA	2016-1-9TNA	9	1	16	NA	79.02	4.26	27.227281	NA	6.44085	35.046951	296.445172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
43	3362-FRAM-bactV4V5-HG4-S-1-7plus8-S28	FRAM_STRAIT	NA	NA	2016-9-15TNA	15	9	16	NA	79.02	4.26	28.721133	NA	6.358525	35.006051	295.234433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
44	3363-FRAM-bactV4V5-HG4-S-1-9plus10-S29	FRAM_STRAIT	NA	NA	2016-1-10TNA	10	1	16	NA	79.02	4.26	30.059654	NA	6.266	35.105679	293.502872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
45	3364-FRAM-bactV4V5-HG4-S-1-11plus12-S30	FRAM_STRAIT	NA	NA	2016-1-11TNA	11	1	16	NA	79.02	4.26	33.976238	NA	5.264875	34.972676	303.213303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
46	3365-FRAM-bactV4V5-HG4-S-1-13plus14-S31	FRAM_STRAIT	NA	NA	2016-1-12TNA	12	1	16	NA	79.02	4.26	29.184126	NA	2.005525	34.496222	326.20051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
47	3366-FRAM-bactV4V5-HG4-S-1-15plus16-S32	FRAM_STRAIT	NA	NA	2017-1-1TNA	1	1	17	NA	79.02	4.26	74.599809	NA	3.6355	35.01129	308.093122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
48	3367-FRAM-bactV4V5-HG4-S-1-17plus18-S33	FRAM_STRAIT	NA	NA	2017-1-2TNA	2	1	17	NA	79.02	4.26	52.006987	NA	2.75755	35.003935	310.826505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
49	3368-FRAM-bactV4V5-HG4-S-1-19plus20-S34	FRAM_STRAIT	NA	NA	2017-2-14TNA	14	2	17	NA	79.02	4.26	42.640139	NA	4.3722	35.085683	305.846504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
50	3368-FRAM-bactV4V5-HG4-S-1-19plus20-S34	FRAM_STRAIT	NA	NA	2017-2-14TNA	14	2	17	NA	79.02	4.26	42.640139	NA	4.3722	35.085683	305.846504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
51	3369-FRAM-bactV4V5-HG4-S-1-21plus22-S35	FRAM_STRAIT	NA	NA	2017-1-3TNA	3	1	17	NA	79.02	4.26	50.439116	NA	3.336925	34.943306	308.732991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
52	3370-FRAM-bactV4V5-HG4-S-1-23plus24-S36	FRAM_STRAIT	NA	NA	2017-8-3TNA	3	8	17	NA	79.02	4.26	33.8229	NA	-0.2696	34.393097	333.121728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
53	3370-FRAM-bactV4V5-HG4-S-1-23plus24-S36	FRAM_STRAIT	NA	NA	2017-8-3TNA	3	8	17	NA	79.02	4.26	33.8229	NA	-0.2696	34.393097	333.121728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
54	3371-FRAM-bactV4V5-HG4-S-1-25plus26-S37	FRAM_STRAIT	NA	NA	2017-3-15TNA	15	3	17	NA	79.02	4.26	28.172069	NA	3.850875	35.085386	308.624449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
55	3371-FRAM-bactV4V5-HG4-S-1-25plus26-S37	FRAM_STRAIT	NA	NA	2017-3-15TNA	15	3	17	NA	79.02	4.26	28.172069	NA	3.850875	35.085386	308.624449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
56	3372-FRAM-bactV4V5-HG4-S-1-27plus28-S38	FRAM_STRAIT	NA	NA	2017-3-22TNA	22	3	17	NA	79.02	4.26	72.068738	NA	2.63045	35.047908	315.438103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
57	3372-FRAM-bactV4V5-HG4-S-1-27plus28-S38	FRAM_STRAIT	NA	NA	2017-3-22TNA	22	3	17	NA	79.02	4.26	72.068738	NA	2.63045	35.047908	315.438103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
58	3373-FRAM-bactV4V5-HG4-S-1-29plus30-S39	FRAM_STRAIT	NA	NA	2017-1-4TNA	4	1	17	NA	79.02	4.26	48.112512	NA	2.5569	35.004713	312.453551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
59	3374-FRAM-bactV4V5-HG4-S-1-31plus32-S40	FRAM_STRAIT	NA	NA	2017-4-15TNA	15	4	17	NA	79.02	4.26	26.814739	NA	2.331725	35.037895	320.003116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
60	3374-FRAM-bactV4V5-HG4-S-1-31plus32-S40	FRAM_STRAIT	NA	NA	2017-4-15TNA	15	4	17	NA	79.02	4.26	26.814739	NA	2.331725	35.037895	320.003116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
61	3375-FRAM-bactV4V5-HG4-S-1-33plus34-S41	FRAM_STRAIT	NA	NA	2017-1-5TNA	5	1	17	NA	79.02	4.26	31.138973	NA	3.54705	35.035032	316.021708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
62	3376-FRAM-bactV4V5-HG4-S-1-35plus36-S42	FRAM_STRAIT	NA	NA	2017-5-15TNA	15	5	17	NA	79.02	4.26	29.842009	NA	3.193	34.953484	317.950141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
63	3376-FRAM-bactV4V5-HG4-S-1-35plus36-S42	FRAM_STRAIT	NA	NA	2017-5-15TNA	15	5	17	NA	79.02	4.26	29.842009	NA	3.193	34.953484	317.950141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
64	3377-FRAM-bactV4V5-HG4-S-1-37plus38-S43	FRAM_STRAIT	NA	NA	2017-1-6TNA	6	1	17	NA	79.02	4.26	27.107575	NA	3.451775	34.985094	320.983036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
65	3378-FRAM-bactV4V5-HG4-S-1-39plus40-S44	FRAM_STRAIT	NA	NA	2017-6-15TNA	15	6	17	NA	79.02	4.26	27.303458	NA	4.710225	35.085507	315.492767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Summer	BPLR	Polar - Boreal Polar Province (POLR)
66	3378-FRAM-bactV4V5-HG4-S-1-39plus40-S44	FRAM_STRAIT	NA	NA	2017-6-15TNA	15	6	17	NA	79.02	4.26	27.303458	NA	4.710225	35.085507	315.492767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
