SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	S0050	GA03	Station_8	A	2011-11-16T13:59:00	16	11	11	13:59:00	35.41617	-66.54077	68	NA	23.07	36.35	210.2	0.39	0	0	NA	0.01	NA	NA	NA	NA	NA	Winter	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)
2	S0052	GA03	Station_8	A	2011-11-16T13:59:00	16	11	11	13:59:00	35.41617	-66.54077	135.8	NA	20.02	36.72	192.1	0.58	0	2.17	NA	0.07	NA	NA	NA	NA	NA	Winter	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)
3	S0053	GA03	Station_8	A	2011-11-16T13:59:00	16	11	11	13:59:00	35.41617	-66.54077	186.3	NA	18.68	36.62	193.7	0.88	0	3.57	NA	0.15	NA	NA	NA	NA	NA	Winter	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)
4	S0054	GA03	Station_8	A	2011-11-16T13:59:00	16	11	11	13:59:00	35.41617	-66.54077	237.3	NA	18.32	36.59	200.3	0.88	0	3.68	NA	0.15	NA	NA	NA	NA	NA	Winter	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)
5	S0055	GA03	Station_8	A	2011-11-16T13:59:00	16	11	11	13:59:00	35.41617	-66.54077	291.5	NA	18.13	36.59	208.2	0.97	0	3.42	NA	0.14	NA	NA	NA	NA	NA	Winter	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)
6	S0057	GA03	Station_18	A	2011-12-1T17:25:00	1	12	11	17:25:00	24.1497	-40.21786	38.9	NA	25.24	37.63	205.5	0.1	0	0	NA	0	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
7	S0057	GA03	Station_18	A	2011-12-1T17:25:00	1	12	11	17:25:00	24.1497	-40.21786	38.9	NA	25.24	37.63	205.5	0.1	0	0	NA	0	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
8	S0058	GA03	Station_18	A	2011-12-1T17:25:00	1	12	11	17:25:00	24.1497	-40.21786	65.2	NA	25.23	37.63	205.4	0.1	0	0	NA	0	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
9	S0058	GA03	Station_18	A	2011-12-1T17:25:00	1	12	11	17:25:00	24.1497	-40.21786	65.2	NA	25.23	37.63	205.4	0.1	0	0	NA	0	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
10	S0059	GA03	Station_18	A	2011-12-1T17:25:00	1	12	11	17:25:00	24.1497	-40.21786	75.1	NA	25.19	37.63	205.7	0.1	0	0	NA	0	NA	NA	NA	NA	NA	Winter	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)
