SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	68484	Gradients_2	Station_1	A	2017-5-27T21:38:00	27	5	17	21:38:00	21.32	-158.24	15	1350	26.42	34.48	208	NA	NA	NA	NA	NA	NA	NA	0.31	0.06	NA	Spring	NPTG	Trades - N. Pacific Tropical Gyre Province
2	68484	Gradients_2	Station_1	A	2017-5-27T21:38:00	27	5	17	21:38:00	21.32	-158.24	15	1350	26.42	34.48	208	NA	NA	NA	NA	NA	NA	NA	0.31	0.06	NA	Winter	NPTG	Trades - N. Pacific Tropical Gyre Province
3	68485	Gradients_2	Station_1	B	2017-5-27T21:38:00	27	5	17	21:38:00	21.32	-158.24	15	1350	26.42	34.48	208.1	NA	NA	NA	NA	NA	NA	NA	0.31	0.06	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
4	68485	Gradients_2	Station_1	B	2017-5-27T21:38:00	27	5	17	21:38:00	21.32	-158.24	15	1350	26.42	34.48	208.1	NA	NA	NA	NA	NA	NA	NA	0.31	0.06	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
5	68496	Gradients_2	Station_2	A	2017-5-29T05:10:00	29	5	17	05:10:00	25.77	-158.01	15	5081	24.36	35.25	213.5	NA	NA	NA	NA	NA	NA	NA	0.36	0.05	NA	Spring	NPTG	Trades - N. Pacific Tropical Gyre Province
6	68496	Gradients_2	Station_2	A	2017-5-29T05:10:00	29	5	17	05:10:00	25.77	-158.01	15	5081	24.36	35.25	213.5	NA	NA	NA	NA	NA	NA	NA	0.36	0.05	NA	Winter	NPTG	Trades - N. Pacific Tropical Gyre Province
7	68497	Gradients_2	Station_2	B	2017-5-29T05:10:00	29	5	17	05:10:00	25.77	-158.01	15	5081	24.36	35.25	213.5	NA	NA	NA	NA	NA	NA	NA	0.36	0.05	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
8	68497	Gradients_2	Station_2	B	2017-5-29T05:10:00	29	5	17	05:10:00	25.77	-158.01	15	5081	24.36	35.25	213.5	NA	NA	NA	NA	NA	NA	NA	0.36	0.05	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
9	68502	Gradients_2	Station_2	A	2017-5-29T05:14:00	29	5	17	05:14:00	25.77	-158.01	25	5081	24.23	35.27	214.3	NA	NA	NA	NA	NA	NA	NA	0.16	0.06	NA	Spring	NPTG	Trades - N. Pacific Tropical Gyre Province
10	68502	Gradients_2	Station_2	A	2017-5-29T05:14:00	29	5	17	05:14:00	25.77	-158.01	25	5081	24.23	35.27	214.3	NA	NA	NA	NA	NA	NA	NA	0.16	0.06	NA	Winter	NPTG	Trades - N. Pacific Tropical Gyre Province
