SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	I8S-S11-N01	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	940.04	2873	1.72	34.75	198	87.61	0	30.48	NA	2.11	41.7	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
2	I8S-S11-N01	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	940.04	2873	1.72	34.75	198	87.61	0	30.48	NA	2.11	41.7	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
3	I8S-S11-N03	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	419.07	2873	2	34.68	177.2	83.19	0.01	32.96	NA	2.29	41.9	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
4	I8S-S11-N03	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	419.07	2873	2	34.68	177.2	83.19	0.01	32.96	NA	2.29	41.9	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
5	I8S-S11-N05	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	220.52	2873	1.86	34.56	175.7	79.57	0.02	34.91	NA	2.42	41.9	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
6	I8S-S11-N05	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	220.52	2873	1.86	34.56	175.7	79.57	0.02	34.91	NA	2.42	41.9	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
7	I8S-S11-N08	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	118.71	2873	1.05	34.36	207	70.51	0.05	34.85	NA	2.42	43.8	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
8	I8S-S11-N08	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	118.71	2873	1.05	34.36	207	70.51	0.05	34.85	NA	2.42	43.8	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
9	I8S-S11-N11	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	43.57	2873	0.71	33.73	339.4	28.38	0.22	23.63	NA	1.54	46.3	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
10	I8S-S11-N11	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	43.57	2873	0.71	33.73	339.4	28.38	0.22	23.63	NA	1.54	46.3	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
11	I8S-S11-N12	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	19.71	2873	0.72	33.73	339	28.39	0.22	23.63	NA	1.55	47	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
12	I8S-S11-N12	I8S	Station_11	A	2007-2-18T07:11:00	18	2	7	07:11:00	-63.26	82.01	19.71	2873	0.72	33.73	339	28.39	0.22	23.63	NA	1.55	47	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
13	I8S-S15-N01	I8S	Station_15	A	2007-2-19T05:32:00	19	2	7	05:32:00	-61.49	82.01	967.77	2328	1.5	34.74	199.9	93.39	0	30.72	NA	2.13	42	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
14	I8S-S15-N01	I8S	Station_15	A	2007-2-19T05:32:00	19	2	7	05:32:00	-61.49	82.01	967.77	2328	1.5	34.74	199.9	93.39	0	30.72	NA	2.13	42	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
15	I8S-S15-N03	I8S	Station_15	A	2007-2-19T05:32:00	19	2	7	05:32:00	-61.49	82.01	482.38	2328	1.89	34.72	185.1	84.96	0.01	31.73	NA	2.21	41.6	NA	NA	NA	NA	Summer	ANTA	Polar - Antarctic Province
