SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	PS122-1-10-16-ice-bottom-0-5cm-S70	MOSAiC	Station_1	A	2019-12-2T05:52:00	2	12	19	05:52:00	85.93	113.53	4225	4225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
2	PS122-1-10-16-ice-bottom-0-5cm-S70	MOSAiC	Station_1	A	2019-12-2T05:52:00	2	12	19	05:52:00	85.93	113.53	4225	4225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
3	PS122-1-10-19-ice-bottom-0-5cm-S81	MOSAiC	Station_1	A	2019-12-2T06:02:00	2	12	19	06:02:00	85.94	113.59	4241	4241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
4	PS122-1-10-19-ice-bottom-0-5cm-S81	MOSAiC	Station_1	A	2019-12-2T06:02:00	2	12	19	06:02:00	85.94	113.59	4241	4241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
5	PS122-1-7-47-water-100m-S69	MOSAiC	Station_2	A	2019-11-14T01:49:00	14	11	19	01:49:00	86.15	118.11	100	5111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
6	PS122-1-7-47-water-10m-S80	MOSAiC	Station_2	A	2019-11-14T01:49:00	14	11	19	01:49:00	86.15	118.11	10	5111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
7	PS122-1-7-47-water-20m-S61	MOSAiC	Station_2	A	2019-11-14T01:49:00	14	11	19	01:49:00	86.15	118.11	20	5111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
8	PS122-1-7-47-water-2m-S73	MOSAiC	Station_2	A	2019-11-14T01:49:00	14	11	19	01:49:00	86.15	118.11	2	5111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
9	PS122-1-7-47-water-50m-S49	MOSAiC	Station_2	A	2019-11-14T01:49:00	14	11	19	01:49:00	86.15	118.11	50	5111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
10	PS122-1-7-6-ice-bottom-0-5cm-S92	MOSAiC	Station_3	A	2019-11-11T02:52:00	11	11	19	02:52:00	85.87	116.27	4131	4131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
11	PS122-1-7-9-ice-bottom-0-5cm-S85	MOSAiC	Station_3	A	2019-11-11T03:01:00	11	11	19	03:01:00	85.87	116.22	4130	4130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
12	PS122-1-8-2-ice-bottom-0-5cm-S11	MOSAiC	Station_4	A	2019-11-18T08:14:00	18	11	19	08:14:00	85.85	120.58	4210	4210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
13	PS122-1-8-43-water-100m-S50	MOSAiC	Station_5	A	2019-11-21T03:13:00	21	11	19	03:13:00	85.75	120.99	100	4244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
14	PS122-1-8-43-water-10m-S23	MOSAiC	Station_5	A	2019-11-21T03:13:00	21	11	19	03:13:00	85.75	120.99	10	4244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
15	PS122-1-8-43-water-2m-S86	MOSAiC	Station_5	A	2019-11-21T03:13:00	21	11	19	03:13:00	85.75	120.99	2	4244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
16	PS122-1-8-43-water-40m-S62	MOSAiC	Station_5	A	2019-11-21T03:13:00	21	11	19	03:13:00	85.75	120.99	40	4244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
17	PS122-1-8-43-water-50m-S74	MOSAiC	Station_5	A	2019-11-21T03:13:00	21	11	19	03:13:00	85.75	120.99	50	4244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
18	PS122-1-9-11-ice-bottom-0-5cm-S15	MOSAiC	Station_6	A	2019-11-25T05:10:00	25	11	19	05:10:00	86.02	120.67	4218	4218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
19	PS122-1-9-6-ice-bottom-0-5cm-S3	MOSAiC	Station_6	A	2019-11-25T04:50:00	25	11	19	04:50:00	86.02	120.74	4223	4223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
20	PS122-1-9-67-water-100m-S35	MOSAiC	Station_7	A	2019-11-29T09:43:00	29	11	19	09:43:00	86.11	114.44	100	4233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
21	PS122-1-9-67-water-10m-S39	MOSAiC	Station_7	A	2019-11-29T09:43:00	29	11	19	09:43:00	86.11	114.44	10	4233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
22	PS122-1-9-67-water-10m-S58	MOSAiC	Station_7	A	2019-11-29T09:43:00	29	11	19	09:43:00	86.11	114.44	10	4233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
23	PS122-1-9-67-water-40m-S27	MOSAiC	Station_7	A	2019-11-29T09:43:00	29	11	19	09:43:00	86.11	114.44	40	4233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
24	PS122-1-9-67-water-50m-S46	MOSAiC	Station_7	A	2019-11-29T09:43:00	29	11	19	09:43:00	86.11	114.44	50	4233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
25	PS122-1-9-67-water-surface-S51	MOSAiC	Station_7	A	2019-11-29T09:43:00	29	11	19	09:43:00	86.11	114.44	2	4233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
26	PS122-2-17-3-ice-bottom-0-5cm-S63	MOSAiC	Station_8	A	2019-12-23T07:49:00	23	12	19	07:49:00	86.65	113.08	4106	4106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
27	PS122-2-17-3-ice-bottom-0-5cm-S63	MOSAiC	Station_8	A	2019-12-23T07:49:00	23	12	19	07:49:00	86.65	113.08	4106	4106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
28	PS122-2-17-39-water-100m-S16	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	100	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
29	PS122-2-17-39-water-100m-S16	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	100	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
30	PS122-2-17-39-water-10m-S52	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	5	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
31	PS122-2-17-39-water-10m-S52	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	5	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
32	PS122-2-17-39-water-16m-S40	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	16	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
33	PS122-2-17-39-water-16m-S40	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	16	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
34	PS122-2-17-39-water-50m-S28	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	22	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
35	PS122-2-17-39-water-50m-S28	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	22	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
36	PS122-2-17-39-water-5m-S64	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	2	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
37	PS122-2-17-39-water-5m-S64	MOSAiC	Station_9	A	2019-12-26T06:37:00	26	12	19	06:37:00	86.65	115.7	2	4112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
38	PS122-2-21-13-ice-bottom-0-5cm-S89	MOSAiC	Station_10	A	2020-1-20T07:44:00	20	1	20	07:44:00	87.44	97.57	4166	4166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
39	PS122-2-21-64-water-100m-S7	MOSAiC	Station_11	A	2020-1-23T06:14:00	23	1	20	06:14:00	87.45	94.18	100	3642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
40	PS122-2-21-64-water-10m-S43	MOSAiC	Station_11	A	2020-1-23T06:14:00	23	1	20	06:14:00	87.45	94.18	10	3642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
41	PS122-2-21-64-water-20m-S31	MOSAiC	Station_11	A	2020-1-23T06:14:00	23	1	20	06:14:00	87.45	94.18	20	3642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
42	PS122-2-21-64-water-2m-S55	MOSAiC	Station_11	A	2020-1-23T06:14:00	23	1	20	06:14:00	87.45	94.18	2	3642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
43	PS122-2-21-64-water-50m-S19	MOSAiC	Station_11	A	2020-1-23T06:14:00	23	1	20	06:14:00	87.45	94.18	50	3642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
44	PS122-2-24-8-ice-bottom-0-5cm-S68	MOSAiC	Station_12	A	2020-2-10T08:10:00	10	2	20	08:10:00	87.78	91.93	3552	3552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
45	PS122-2-24-8-ice-bottom-0-5cm-S68	MOSAiC	Station_12	A	2020-2-10T08:10:00	10	2	20	08:10:00	87.78	91.93	3552	3552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
46	PS122-3-30-40-water-2m-S47	MOSAiC	Station_13	A	2020-3-5T10:33:00	5	3	20	10:33:00	88.09	30.75	2	3874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
47	PS122-3-30-40-water-2m-S47	MOSAiC	Station_13	A	2020-3-5T10:33:00	5	3	20	10:33:00	88.09	30.75	2	3874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
48	PS122-3-30-64-water-100m-S11	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	100	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
49	PS122-3-30-64-water-100m-S11	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	100	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
50	PS122-3-30-64-water-10m-S24	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	10	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
51	PS122-3-30-64-water-10m-S24	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	10	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
52	PS122-3-30-64-water-20m-S35	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	20	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
53	PS122-3-30-64-water-20m-S35	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	20	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
54	PS122-3-30-64-water-50m-S23	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	50	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
55	PS122-3-30-64-water-50m-S23	MOSAiC	Station_14	A	2020-3-7T06:48:00	7	3	20	06:48:00	88.08	27.26	50	3778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
56	PS122-3-31-39-water-10m-S83	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	10	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
57	PS122-3-31-39-water-10m-S83	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	10	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
58	PS122-3-31-39-water-20m-S71	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	20	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
59	PS122-3-31-39-water-20m-S71	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	20	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
60	PS122-3-31-39-water-2m-S95	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	2	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
61	PS122-3-31-39-water-2m-S95	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	2	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
62	PS122-3-31-39-water-50m-S59	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	50	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
63	PS122-3-31-39-water-50m-S59	MOSAiC	Station_15	A	2020-3-12T07:29:00	12	3	20	07:29:00	87.56	22.04	50	3727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
64	PS122-3-33-18-ice-bottom-0-5cm-S36	MOSAiC	Station_16	A	2020-3-24T08:47:00	24	3	20	08:47:00	86.18	15.52	3837	3837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
65	PS122-3-33-18-ice-bottom-0-5cm-S36	MOSAiC	Station_16	A	2020-3-24T08:47:00	24	3	20	08:47:00	86.18	15.52	3837	3837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
66	PS122-3-33-70-water-2m-S2	MOSAiC	Station_17	A	2020-3-27T14:33:00	27	3	20	14:33:00	85.82	13.36	2	2774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
67	PS122-3-33-70-water-2m-S2	MOSAiC	Station_17	A	2020-3-27T14:33:00	27	3	20	14:33:00	85.82	13.36	2	2774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
68	PS122-3-33-71-water-20m-S85	MOSAiC	Station_17	A	2020-3-27T15:10:00	27	3	20	15:10:00	85.82	13.36	20	2774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
69	PS122-3-33-71-water-20m-S85	MOSAiC	Station_17	A	2020-3-27T15:10:00	27	3	20	15:10:00	85.82	13.36	20	2774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
70	PS122-3-34-65-water-20m-S14	MOSAiC	Station_18	A	2020-4-4T09:23:00	4	4	20	09:23:00	84.67	12.88	2	3453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
71	PS122-3-34-65-water-20m-S14	MOSAiC	Station_18	A	2020-4-4T09:23:00	4	4	20	09:23:00	84.67	12.88	2	3453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Winter	BPLR	Polar - Boreal Polar Province (POLR)
72	PS122-3-34-66-water-2m-S26	MOSAiC	Station_18	A	2020-4-4T09:41:00	4	4	20	09:41:00	84.67	12.88	20	3453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Spring	BPLR	Polar - Boreal Polar Province (POLR)
