SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
1	P15S-2016-10201	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	4991.5	5041	1.07	34.71	206.1	118.2	0	32.28	NA	2.19	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
2	P15S-2016-10201	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	4991.5	5041	1.07	34.71	206.1	118.2	0	32.28	NA	2.19	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
3	P15S-2016-10231	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	134.6	5041	23.77	35.78	197.6	0.31	0.03	0.09	0	0.15	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
4	P15S-2016-10231	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	134.6	5041	23.77	35.78	197.6	0.31	0.03	0.09	0	0.15	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
5	P15S-2016-10233	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	75.3	5041	26.05	35.64	204.5	0.31	0	0.02	NA	0.13	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
6	P15S-2016-10233	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	75.3	5041	26.05	35.64	204.5	0.31	0	0.02	NA	0.13	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
7	P15S-2016-10235	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	23.1	5041	26.5	35.47	201.9	0.36	0	0.01	NA	0.15	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
8	P15S-2016-10235	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	23.1	5041	26.5	35.47	201.9	0.36	0	0.01	NA	0.15	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
9	P15S-2016-10236	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	5	5041	26.51	35.47	202	0.37	0	0.01	0.01	0.15	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
10	P15S-2016-10236	P15S	Station_1	A	2016-6-14T01:11:00	14	6	16	01:11:00	-18	-170	5	5041	26.51	35.47	202	0.37	0	0.01	0.01	0.15	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
11	P15S-2016-10532	P15S	Station_2	A	2016-6-14T23:22:00	14	6	16	23:22:00	-16.5	-170	127.1	5139	24.08	35.99	179.5	0.38	0.26	1.49	NA	0.34	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
12	P15S-2016-10532	P15S	Station_2	A	2016-6-14T23:22:00	14	6	16	23:22:00	-16.5	-170	127.1	5139	24.08	35.99	179.5	0.38	0.26	1.49	NA	0.34	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
13	P15S-2016-10534	P15S	Station_2	A	2016-6-14T23:22:00	14	6	16	23:22:00	-16.5	-170	54.6	5139	27.06	35.45	200.3	0.3	0.01	-0.06	0.03	0.17	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
14	P15S-2016-10534	P15S	Station_2	A	2016-6-14T23:22:00	14	6	16	23:22:00	-16.5	-170	54.6	5139	27.06	35.45	200.3	0.3	0.01	-0.06	0.03	0.17	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
15	P15S-2016-10536	P15S	Station_2	A	2016-6-14T23:22:00	14	6	16	23:22:00	-16.5	-170	4.8	5139	27.13	35.44	200.2	0.31	0.01	-0.05	0.02	0.16	NA	NA	NA	NA	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
16	P15S-2016-10536	P15S	Station_2	A	2016-6-14T23:22:00	14	6	16	23:22:00	-16.5	-170	4.8	5139	27.13	35.44	200.2	0.31	0.01	-0.05	0.02	0.16	NA	NA	NA	NA	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
17	P15S-2016-11433	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	80.4	5139	27.78	35.94	165.1	0.84	0.59	2.89	0.04	0.48	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
18	P15S-2016-11433	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	80.4	5139	27.78	35.94	165.1	0.84	0.59	2.89	0.04	0.48	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
19	P15S-2016-11434	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	49.8	5139	29.21	34.97	190.7	0.43	0.08	0.39	NA	0.22	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
20	P15S-2016-11434	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	49.8	5139	29.21	34.97	190.7	0.43	0.08	0.39	NA	0.22	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
21	P15S-2016-11435	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	23.7	5139	29.19	34.9	194	0.31	0.01	-0.02	NA	0.15	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
22	P15S-2016-11435	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	23.7	5139	29.19	34.9	194	0.31	0.01	-0.02	NA	0.15	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
23	P15S-2016-11436	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	5.7	5139	29.28	34.87	193.9	0.29	0.01	-0.03	0.03	0.15	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
24	P15S-2016-11436	P15S	Station_3	A	2016-6-17T02:26:00	17	6	16	02:26:00	-13	-170	5.7	5139	29.28	34.87	193.9	0.29	0.01	-0.03	0.03	0.15	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
25	P15S-2016-12101	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	5429.8	5373	1.15	34.71	205.2	118.17	0.01	31.87	NA	2.2	NA	NA	NA	0.06	NA	Summer	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
26	P15S-2016-12101	P15S	Station_4	A	2016-6-18T02:44:00	18	6	16	02:44:00	-9.5	-169	5429.8	5373	1.15	34.71	205.2	118.17	0.01	31.87	NA	2.2	NA	NA	NA	0.06	NA	Winter	SPSG	Westerlies - S. Pacific Subtropical Gyre Province
