SampleID	Cruise	Station	Replicate	Date_Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM
P-1	POTATOE	Station_1	A		70.36	-163.43	0	21	6.61	31.15		2.43	0.4	0.01	0.41		0.62			10.97	1.52	
P-2	POTATOE	Station_2	A		66.8	-168.04	0	56	7.71	30.99		3.14	1.39	0.99	2.38		0.7			9.12	2.73	
P-3	POTATOE	Station_3	A		62.75	-167.47	0	61	9.61	31.08		1.51	0.49	0.01	0.5		0.69			4.15	2.55	
P-4	POTATOE	Station_4	A		58.78	-167.67	0	204	9.39	31.51		0.97	0.73	0.36	1.09		0.48			10.81	1.18	
P-5	POTATOE	Station_5	A		54.91	-166.71	0	106	9.11	32.56		3.42	4.69	4.2	8.89		0				5.09	
P-6	POTATOE	Station_6	A		51.7	-165.83	0	4442	12	32.51		7.12	9.62	9.06	18.68		0.42			25.9	1.81	
P-7	POTATOE	Station_7	A		47.63	-167.4	0	5462	12.23	32.56		5.36	8.7	8.13	16.83		0			30.64	2.05	
P-8	POTATOE	Station_8	A		43.86	-167.1	0	5796	14.7	32.8		5.03	8.76	8.23	16.99		0.42			17.23	0.7	
P-9	POTATOE	Station_9	A		39.71	-165.37	0	5659	19.28	33.43		1.19	0.61	0.27	0.88		0			30.08	0.57	
P-10	POTATOE	Station_10	A		35.87	-164.28	0	5873	24.3	34.34		0.96	0.53	0.18	0.71		0			38.48	0.18	
P-11	POTATOE	Station_11	A		31.84	-162.95	0	2901	25.78	34.74		1.44	0.84	0.39	1.23		0			44.74	0.14	
P-12	POTATOE	Station_12	A		27.94	-161.56	0	5257	26.42	35.38		1.14	1.25	0.8	2.05		0			45.13	0.2	
P-13	POTATOE	Station_13	A		24.24	-159.91	0	4783	26.31	35.38		0.87	0.82	0.44	1.26		0			43.24	0.18	
P-14	POTATOE	Station_14	A		19.77	-160.86	0	4510	27.56	34.67		0.92	0.49	0.13	0.62		0			47.52	0.17	
P-15	POTATOE	Station_15	A		15.85	-161.68	0	5443	27.46	34.48		0.88	0.38	0	0.38		0			50.11	0.12	
P-16	POTATOE	Station_16	A		11.77	-162.51	0	5498	28.66	33.77		0.84	0.59	0.27	0.86		0			50.2	0.18	
P-17	POTATOE	Station_17	A		7.75	-163.24	0	3993	28.95	33.64		0.77	0.54	0.14	0.68		0			40.67	0.18	
P-18	POTATOE	Station_18	A		4.33	-163.86	0	5094	28.86	34.96		0.87	0.64	0.16	0.8		0			40.88	0.39	
P-20	POTATOE	Station_19	A		-2.36	-167.18	0	5632	28.6	35.51		1	3.59	3	6.59		0			50.42	0.37	
P-21	POTATOE	Station_20	A		-7.37	-168.42	0	5630	29.15	35.62		0.88	2.77	2.34	5.11		0			43.44	0.33	
P-22	POTATOE	Station_21	A		-11.16	-169.94	0	3368	29.25	35.26		0.82	1.23	0.9	2.13		0			20.19	0.33	
P-23	POTATOE	Station_22	A		-14.89	-171.28	0	4506	27.93	34.97		0.85	0.91	0.61	1.52		0			44.43	0.28	
P-24	POTATOE	Station_23	A		-18.46	-172.35	0	5462	26.4	35.25		0.82	0.37	0	0.37		0			45.65	0.21	
P-25	POTATOE	Station_24	A		-22.04	-173.78	0	7193	22.45	35.54		1.07	0.43	0	0.43		0			42.04	0.19	
P-26	POTATOE	Station_25	A		-24	-172.84	0	5728	22.15	35.51		0.79	0	0	0		0.37			29.64	0.19	
P-27	POTATOE	Station_26	A		-26.87	-173	0	5374	21.11	35.58		0.9	0.43	0.07	0.5		0.33			43.29	0.15	
P-29	POTATOE	Station_27	A		-33.54	-177.66	0	7201	15.73	35.39		0.82	0.29	0	0.29		0.36			14.91	0.3	
P-30	POTATOE	Station_28	A		-36.69	-179.59	0	4727	15.38	35.43		1.09	3.64	2.99	6.63		0.35			38.5	0.46	
P-31	POTATOE	Station_29	A		-40.01	-178.15	0	3747	14.32	35.29		0	4.01	3.4	7.41		0.36			8.13	4.29	
