"DNA_ID","Cruise","Station","Niskin","Cast_type","Date_Carlson","Date_R_CTD","Latitude_Cast_CTD","Latitude_R_CTD","Longitude_Cast_CTD","Longitude_R_CTD","Pressure_Cast_CTD","Depth_Cast_CTD","Temperature_R_CTD","Salinity_R_CTD","Oxygen_R_CTD"
"I8S-S11-N12","I8S","S11","N12","Trace Metal","20070218","20070218",-63.259,"-63.2592",82.0114,"82.0114",19.9,19.70646373399,0.7234,33.7257,339
"I8S-S11-N11","I8S","S11","N11","Trace Metal","20070218","20070218",-63.259,"-63.2592",82.0114,"82.0114",44,43.5695349268715,0.7113,33.7257,339.4
"I8S-S11-N08","I8S","S11","N08","Trace Metal","20070218","20070218",-63.259,"-63.2592",82.0114,"82.0114",119.9,118.705156746371,1.0454,34.3624,207
"I8S-S11-N05","I8S","S11","N05","Trace Metal","20070218","20070218",-63.259,"-63.2592",82.0114,"82.0114",222.8,220.524835281482,1.8614,34.5563,175.7
"I8S-S11-N03","I8S","S11","N03","Trace Metal","20070218","20070218",-63.259,"-63.2592",82.0114,"82.0114",423.6,419.071285605011,1.9954,34.6775,177.2
"I8S-S11-N01","I8S","S11","N01","Trace Metal","20070218","20070218",-63.259,"-63.2592",82.0114,"82.0114",951.4,940.038376222216,1.7166,34.7478,198
"I8S-S15-N12","I8S","S15","N12","Trace Metal","20070219","20070219",-61.486,"-61.4886",82.006,"82.0040",20.7,20.5014026193664,1.0387,33.8559,332.6
"I8S-S15-N11","I8S","S15","N11","Trace Metal","20070219","20070219",-61.486,"-61.4886",82.006,"82.0040",41.7,41.2978244054148,1.0328,33.8678,330.1
"I8S-S15-N08","I8S","S15","N08","Trace Metal","20070219","20070219",-61.486,"-61.4886",82.006,"82.0040",104.2,103.179419067161,1.1483,34.4512,207.7
"I8S-S15-N05","I8S","S15","N05","Trace Metal","20070219","20070219",-61.486,"-61.4886",82.006,"82.0040",237.6,235.196944066778,1.9215,34.6525,174.1
"I8S-S15-N03","I8S","S15","N03","Trace Metal","20070219","20070219",-61.486,"-61.4886",82.006,"82.0040",487.6,482.377673884112,1.8915,34.7217,185.1
"I8S-S15-N01","I8S","S15","N01","Trace Metal","20070219","20070219",-61.486,"-61.4886",82.006,"82.0040",979.4,967.769577664637,1.4954,34.7441,199.9
"I8S-S23-N12","I8S","S23","N12","Trace Metal","20070221","20070221",-57.915,"-57.9163",82.2268,"82.2286",21.4,21.2007391800035,1.3003,33.8688,331.1
"I8S-S23-N11","I8S","S23","N11","Trace Metal","20070221","20070221",-57.915,"-57.9163",82.2268,"82.2286",41.8,41.4087415801599,1.3002,33.8688,331.2
"I8S-S23-N08","I8S","S23","N08","Trace Metal","20070221","20070221",-57.915,"-57.9163",82.2268,"82.2286",120.6,119.448351394508,0.3828,34.376,221.1
"I8S-S23-N05","I8S","S23","N05","Trace Metal","20070221","20070221",-57.915,"-57.9163",82.2268,"82.2286",221.5,219.331292600767,1.4294,34.6091,187.9
"I8S-S23-N03","I8S","S23","N03","Trace Metal","20070221","20070221",-57.915,"-57.9163",82.2268,"82.2286",425,420.632279974396,1.6732,34.7132,190.5
"I8S-S23-N01","I8S","S23","N01","Trace Metal","20070221","20070221",-57.915,"-57.9163",82.2268,"82.2286",952.5,941.519782042488,1.2897,34.7343,203.5
"I8S-S32-N12","I8S","S32","N12","Trace Metal","20070225","20070224",-54.791,"-54.7860",85.6701,"85.6640",17.2,17.0445541013835,2.799,33.8486,321.3
"I8S-S32-N11","I8S","S32","N11","Trace Metal","20070225","20070224",-54.791,"-54.7860",85.6701,"85.6640",41,40.6271159488394,2.8002,33.8489,322.8
"I8S-S32-N08","I8S","S32","N08","Trace Metal","20070225","20070224",-54.791,"-54.7860",85.6701,"85.6640",118.9,117.796405174077,1.199,33.868,333.6
"I8S-S32-N05","I8S","S32","N05","Trace Metal","20070225","20070224",-54.791,"-54.7860",85.6701,"85.6640",221.4,219.290658028042,1.0852,34.0733,286.6
"I8S-S32-N03","I8S","S32","N03","Trace Metal","20070225","20070224",-54.791,"-54.7860",85.6701,"85.6640",425.7,421.436479324796,1.9841,34.4069,194.6
"I8S-S32-N01","I8S","S32","N01","Trace Metal","20070225","20070224",-54.791,"-54.7860",85.6701,"85.6640",952.5,941.770281300484,2.1804,34.7082,184.9
"I8S-S38-N12","I8S","S38","N12","Trace Metal","20070227","20070226",-52.251,"-52.2514",88.3034,"88.3035",21.8,21.6075841030607,3.3975,33.7801,319.2
"I8S-S38-N11","I8S","S38","N11","Trace Metal","20070227","20070226",-52.251,"-52.2514",88.3034,"88.3035",41,40.6362252445475,3.2921,33.7779,320.5
"I8S-S38-N08","I8S","S38","N08","Trace Metal","20070227","20070226",-52.251,"-52.2514",88.3034,"88.3035",121.4,120.299439939563,2.058,33.755,335
"I8S-S38-N05","I8S","S38","N05","Trace Metal","20070227","20070226",-52.251,"-52.2514",88.3034,"88.3035",224.2,222.112268284567,0.8355,33.9399,328.9
"I8S-S38-N03","I8S","S38","N03","Trace Metal","20070227","20070226",-52.251,"-52.2514",88.3034,"88.3035",424.2,420.047175926092,2.4386,34.3259,207.5
"I8S-S38-N01","I8S","S38","N01","Trace Metal","20070227","20070226",-52.251,"-52.2514",88.3034,"88.3035",949.1,938.62658415856,2.4064,34.6396,177.9
"I8S-S48-N12","I8S","S48","N12","Trace Metal","20070302","20070301",-47.994,"-47.9956",92.3495,"92.3522",22.3,22.1116869370371,7.7825,33.9096,293.6
"I8S-S48-N11","I8S","S48","N11","Trace Metal","20070302","20070301",-47.994,"-47.9956",92.3495,"92.3522",40.4,40.0570830220084,7.7361,33.9046,292.9
"I8S-S48-N08","I8S","S48","N08","Trace Metal","20070302","20070301",-47.994,"-47.9956",92.3495,"92.3522",106.8,105.876443091369,7.3254,33.9996,290.4
"I8S-S48-N05","I8S","S48","N05","Trace Metal","20070302","20070301",-47.994,"-47.9956",92.3495,"92.3522",235.2,233.093697692739,6.2878,34.1977,271.5
