STNNBR,CASTNO,LONGITUDE,LATITUDE,DEPTH_m,FE_nmol_L,FE_FLAG_W,ALUMIN_nmol_L,ALUMIN_FLAG_W
91,2,95.0016,-27.108,20.1,0.19,2,5.65,2
91,2,95.0016,-27.108,44.7,0.22,2,6.1,2
91,2,95.0016,-27.108,63.6,0.2,2,2.99,2
91,2,95.0016,-27.108,85.7,0.21,2,2.74,2
91,2,95.0016,-27.108,106.2,0.19,2,2.09,2
91,2,95.0016,-27.108,135.2,0.2,2,1.7,2
91,2,95.0016,-27.108,184.6,0.19,2,1.87,2
91,2,95.0016,-27.108,237.4,0.21,2,2.36,2
91,2,95.0016,-27.108,287.4,0.23,2,2.52,2
91,2,95.0016,-27.108,487.8,0.32,2,2.36,2
91,2,95.0016,-27.108,679.7,0.45,2,2.94,2
91,2,95.0016,-27.108,980.6,0.5,2,2.31,2
93,1,95.0028,-25.904,21.9,0.18,2,6.16,2
93,1,95.0028,-25.904,40.6,0.17,2,5.83,2
93,1,95.0028,-25.904,70.5,0.18,2,3.98,2
93,1,95.0028,-25.904,90.3,0.16,2,3.15,2
93,1,95.0028,-25.904,121.7,0.18,2,2.86,2
93,1,95.0028,-25.904,142,0.21,2,2.99,2
93,1,95.0028,-25.904,171.7,0.18,2,2.74,2
93,1,95.0028,-25.904,241.9,0.22,2,2.72,2
93,1,95.0028,-25.904,322.5,0.25,2,2.22,2
93,1,95.0028,-25.904,424.8,0.23,2,2.1,2
93,1,95.0028,-25.904,647,0.38,2,2.71,2
93,1,95.0028,-25.904,954.2,0.6,2,2.47,2
95,1,95.0137,-24.732,21.8,0.16,2,7.57,2
95,1,95.0137,-24.732,35,0.16,2,8.02,2
95,1,95.0137,-24.732,52.4,0.2,2,9.54,2
95,1,95.0137,-24.732,74,0.16,2,6.51,2
95,1,95.0137,-24.732,100.1,0.14,2,6.1,2
95,1,95.0137,-24.732,128.7,0.18,2,5.11,2
95,1,95.0137,-24.732,151.8,0.12,2,4.77,2
95,1,95.0137,-24.732,222.2,0.17,2,3.22,2
95,1,95.0137,-24.732,302,0.21,2,2.42,2
95,1,95.0137,-24.732,504.6,0.24,2,2.26,2
95,1,95.0137,-24.732,710.6,0.41,2,2.61,2
95,1,95.0137,-24.732,1011.2,0.48,2,2.36,2
97,1,95.0059,-23.559,19.8,0.16,2,8.41,2
97,1,95.0059,-23.559,40.3,0.13,2,8.5,2
97,1,95.0059,-23.559,66.3,0.22,2,7.5,2
97,1,95.0059,-23.559,85.5,0.17,2,6.33,2
97,1,95.0059,-23.559,106.5,0.13,2,5.72,2
97,1,95.0059,-23.559,136,0.15,2,6.39,2
97,1,95.0059,-23.559,184.8,0.13,2,5.07,2
97,1,95.0059,-23.559,237.4,0.13,2,4.37,2
97,1,95.0059,-23.559,290.6,0.14,2,3.03,2
97,1,95.0059,-23.559,489.1,0.2,2,2.27,2
97,1,95.0059,-23.559,673.9,0.32,2,2.45,2
97,1,95.0059,-23.559,979,0.52,2,2.65,2
99,1,94.9881,-22.454,22.8,0.19,2,8.49,2
99,1,94.9881,-22.454,41.5,0.25,2,9.06,2
99,1,94.9881,-22.454,71.4,0.27,2,8.61,2
99,1,94.9881,-22.454,91,-999,9,-999,9
99,1,94.9881,-22.454,120.5,0.17,2,5.98,2
99,1,94.9881,-22.454,139,0.11,2,5.95,2
99,1,94.9881,-22.454,173.7,0.25,2,6.08,2
99,1,94.9881,-22.454,244,0.15,2,3.72,2
99,1,94.9881,-22.454,322.8,0.22,2,2.83,2
99,1,94.9881,-22.454,426.2,0.18,2,2.44,2
99,1,94.9881,-22.454,647,0.33,2,2.98,2
99,1,94.9881,-22.454,949.1,0.51,2,2.6,2
101,2,95.0014,-21.317,18.5,0.17,2,9.41,2
101,2,95.0014,-21.317,35.4,0.18,2,9.87,2
101,2,95.0014,-21.317,50.1,0.18,2,9.66,2
101,2,95.0014,-21.317,73.6,-999,9,-999,9
101,2,95.0014,-21.317,99.2,0.2,2,7.51,2
101,2,95.0014,-21.317,124.9,0.25,2,6.89,2
101,2,95.0014,-21.317,150.4,0.21,2,5.93,2
101,2,95.0014,-21.317,219.9,0.19,2,4.74,2
101,2,95.0014,-21.317,302.8,0.22,9,3.11,9
101,2,95.0014,-21.317,503.3,0.24,2,2.33,2
101,2,95.0014,-21.317,708.2,0.46,2,2.93,2
101,2,95.0014,-21.317,1011,0.56,2,2.33,2
103,2,94.9998,-20.2,19.1,0.17,2,9.94,2
103,2,94.9998,-20.2,39.4,0.19,2,10.37,2
103,2,94.9998,-20.2,65.1,0.22,2,8.59,2
103,2,94.9998,-20.2,85.8,0.28,2,10.31,2
103,2,94.9998,-20.2,104.9,0.16,2,7.94,2
103,2,94.9998,-20.2,136.1,0.11,2,6.63,2
103,2,94.9998,-20.2,189.1,0.16,2,6.17,2
103,2,94.9998,-20.2,237.1,0.16,2,5.37,2
103,2,94.9998,-20.2,288,0.19,2,4.11,2
103,2,94.9998,-20.2,489,0.25,2,2.44,2
103,2,94.9998,-20.2,678.1,0.42,2,3.23,2
103,2,94.9998,-20.2,978.3,0.51,2,2.43,2
105,1,95.0019,-19.083,19.5,0.17,2,11.67,2
105,1,95.0019,-19.083,41.1,0.15,2,11.57,2
105,1,95.0019,-19.083,70,0.21,2,11.04,2
105,1,95.0019,-19.083,89.9,0.23,2,10.79,2
105,1,95.0019,-19.083,123.3,0.15,2,8.51,2
105,1,95.0019,-19.083,142.6,0.19,2,8.45,2
105,1,95.0019,-19.083,169.4,0.2,2,7.63,2
105,1,95.0019,-19.083,240.8,0.31,2,7.23,2
105,1,95.0019,-19.083,321.7,0.31,2,4.79,2
105,1,95.0019,-19.083,420.4,0.34,2,3.92,2
105,1,95.0019,-19.083,641.6,0.54,2,3.28,2
105,1,95.0019,-19.083,947.5,1.02,4,2.52,2
107,2,95.0028,-17.963,21,0.16,2,10.65,2
107,2,95.0028,-17.963,36.4,0.15,2,11.56,2
107,2,95.0028,-17.963,49.8,0.17,2,15.79,2
107,2,95.0028,-17.963,74,0.2,2,11.38,2
107,2,95.0028,-17.963,99.4,0.11,2,9.42,2
107,2,95.0028,-17.963,128.1,0.21,2,9.98,2
107,2,95.0028,-17.963,148.9,0.1,2,8.43,2
107,2,95.0028,-17.963,220.6,0.21,2,7.2,2
107,2,95.0028,-17.963,303,0.27,2,5.54,2
107,2,95.0028,-17.963,503.7,0.33,2,3.04,2
107,2,95.0028,-17.963,706.3,0.52,2,2.91,2
107,2,95.0028,-17.963,1004.7,0.53,2,2.23,2
109,2,94.9928,-16.838,19.8,0.17,2,8.5,2
109,2,94.9928,-16.838,41,0.2,2,9.43,2
109,2,94.9928,-16.838,69.2,0.22,2,7.97,2
109,2,94.9928,-16.838,84.5,0.18,2,2.54,2
109,2,94.9928,-16.838,105.8,0.22,2,3.75,2
109,2,94.9928,-16.838,134.6,0.24,2,5.67,2
109,2,94.9928,-16.838,186.2,0.31,2,7.67,2
109,2,94.9928,-16.838,235.9,0.42,2,7.68,2
109,2,94.9928,-16.838,283.3,0.31,2,5.03,2
109,2,94.9928,-16.838,489.4,0.41,2,2.94,2
109,2,94.9928,-16.838,676.4,0.6,2,2.4,2
109,2,94.9928,-16.838,978.1,0.59,2,1.96,2
111,1,95.0016,-15.717,20.7,0.18,2,8.7,2
111,1,95.0016,-15.717,41.4,0.18,2,9.71,2
111,1,95.0016,-15.717,72.6,0.22,2,8.97,2
111,1,95.0016,-15.717,89.6,0.21,2,8.04,2
