CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
0,2,0.7349,2,33.7259,2,337.3,2,1,412.9,0.145,2,0.289,2,I8S-S11
2,2,0.7345,2,33.7258,2,337.3,2,60,420,0.154,2,0.2894,2,I8S-S11
4,2,0.7341,2,33.7257,2,337.3,2,204,427.2,0.163,2,0.289,2,I8S-S11
6,2,0.7334,2,33.7255,2,338.1,2,119,435.1,0.159,2,0.2868,2,I8S-S11
8,2,0.7268,2,33.7259,2,338.2,2,72,441.8,0.156,2,0.2843,2,I8S-S11
10,2,0.7231,2,33.7253,2,338.7,2,144,447.8,0.16,2,0.2843,2,I8S-S11
12,2,0.7244,2,33.7257,2,338.6,2,132,454,0.162,2,0.2856,2,I8S-S11
14,2,0.7242,2,33.7257,2,339.1,2,144,460.3,0.163,2,0.2864,2,I8S-S11
16,2,0.7229,2,33.7258,2,339.3,2,96,465.8,0.163,2,0.286,2,I8S-S11
18,2,0.7207,2,33.7256,2,339.3,2,180,471.5,0.163,2,0.2856,2,I8S-S11
20,2,0.7234,2,33.7257,2,339,2,84,477,0.16,2,0.2868,2,I8S-S11
22,2,0.7231,2,33.7259,2,339.7,2,72,483.8,0.165,2,0.2903,2,I8S-S11
24,2,0.7219,2,33.7256,2,339.6,2,96,489,0.16,2,0.2929,2,I8S-S11
26,2,0.7217,2,33.7257,2,339.9,2,120,495.3,0.162,2,0.2929,2,I8S-S11
28,2,0.7222,2,33.7255,2,339.7,2,72,500.8,0.156,2,0.2933,2,I8S-S11
30,2,0.7218,2,33.7257,2,339.7,2,108,507.4,0.16,2,0.2933,2,I8S-S11
32,2,0.7208,2,33.7258,2,339.5,2,96,512.8,0.161,2,0.292,2,I8S-S11
34,2,0.7203,2,33.7254,2,339.5,2,154,519.2,0.161,2,0.292,2,I8S-S11
36,2,0.7166,2,33.7258,2,339.7,2,71,524.3,0.161,2,0.2937,2,I8S-S11
38,2,0.7171,2,33.7255,2,339.5,2,84,530.1,0.161,2,0.2946,2,I8S-S11
40,2,0.7148,2,33.7255,2,339.8,2,71,536,0.164,2,0.2946,2,I8S-S11
42,2,0.7149,2,33.7259,2,339.6,2,84,543.3,0.163,2,0.2942,2,I8S-S11
44,2,0.7113,2,33.7257,2,339.4,2,119,549.3,0.161,2,0.2929,2,I8S-S11
46,2,0.7058,2,33.7267,2,339,2,156,555,0.162,2,0.295,2,I8S-S11
48,2,0.6967,2,33.7277,2,339.1,2,131,561.4,0.163,2,0.2993,2,I8S-S11
50,2,0.1911,2,33.7752,2,342.5,2,47,566.8,0.166,2,0.2856,2,I8S-S11
52,2,-0.2359,2,33.8206,2,336.9,2,82,570.8,0.164,2,0.2462,2,I8S-S11
54,2,-0.5341,2,33.8585,2,325.8,2,117,578.3,0.165,2,0.1984,2,I8S-S11
56,2,-0.8436,2,33.9014,2,314.3,2,117,583.9,0.166,2,0.1541,2,I8S-S11
58,2,-0.9955,2,33.9347,2,306.9,2,36,589.5,0.165,2,0.1132,2,I8S-S11
60,2,-1.0464,2,33.9685,2,304.8,2,59,591.5,0.165,2,0.0873,2,I8S-S11
62,2,-1.001,2,33.9776,2,297.6,2,34,598.5,0.167,2,0.0763,2,I8S-S11
64,2,-0.9833,2,34.0122,2,294.9,2,96,601.9,0.169,2,0.0629,2,I8S-S11
66,2,-0.9404,2,34.0319,2,285.4,2,36,609,0.171,2,0.0503,2,I8S-S11
68,2,-0.8917,2,34.0438,2,286.2,2,36,610.5,0.168,2,0.0467,2,I8S-S11
70,2,-0.8927,2,34.0415,2,279.8,2,58,619.3,0.168,2,0.0487,2,I8S-S11
72,2,-0.8006,2,34.0661,2,275.5,2,59,629.5,0.165,2,0.0491,2,I8S-S11
74,2,-0.7388,2,34.0793,2,271.1,2,106,635.5,0.173,2,0.0446,2,I8S-S11
76,2,-0.619,2,34.1012,2,267.7,2,70,641.3,0.171,2,0.0386,2,I8S-S11
78,2,-0.5946,2,34.1071,2,263,2,131,647.3,0.17,2,0.0366,2,I8S-S11
80,2,-0.5893,2,34.1127,2,259.7,2,46,653.8,0.168,2,0.0358,2,I8S-S11
82,2,-0.5379,2,34.1207,2,258.4,2,155,658.4,0.172,2,0.0341,2,I8S-S11
84,2,-0.39,2,34.1448,2,255.4,2,59,667.1,0.171,2,0.0329,2,I8S-S11
86,2,-0.2132,2,34.1737,2,254.7,2,59,669.5,0.174,2,0.0309,2,I8S-S11
88,2,-0.0819,2,34.1928,2,250.6,2,59,673.3,0.178,2,0.0281,2,I8S-S11
90,2,-0.0016,2,34.208,2,246.6,2,35,680,0.173,2,0.0269,2,I8S-S11
92,2,0.0702,2,34.2136,2,239.8,2,142,693.3,0.178,2,0.0253,2,I8S-S11
94,2,0.1362,2,34.2247,2,235.3,2,59,704.5,0.179,2,0.0241,2,I8S-S11
96,2,0.1716,2,34.2294,2,234.1,2,107,710.3,0.179,2,0.0241,2,I8S-S11
98,2,0.2486,2,34.2418,2,232.8,2,59,716.1,0.176,2,0.0229,2,I8S-S11
100,2,0.3237,2,34.2538,2,231,2,83,724.4,0.179,2,0.0205,2,I8S-S11
102,2,0.4462,2,34.2733,2,229.7,2,59,733.6,0.18,2,0.0184,2,I8S-S11
104,2,0.52,2,34.2832,2,225.7,2,154,739.6,0.181,2,0.0172,2,I8S-S11
106,2,0.5691,2,34.2904,2,221.4,2,83,747.6,0.18,2,0.0168,2,I8S-S11
108,2,0.5824,2,34.2925,2,220.6,2,107,752.7,0.184,2,0.0172,2,I8S-S11
