CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
0,6,24.9499,6,35.4973,6,209.8,6,0.158,1,0.0281,2,I9N-S101
2,6,24.9365,6,35.4971,6,209.9,6,0.148,1,0.0281,2,I9N-S101
4,2,24.9231,2,35.4968,2,210,7,0.139,1,0.0277,2,I9N-S101
6,2,24.9097,2,35.4966,2,210.1,7,0.129,1,0.0277,2,I9N-S101
8,2,24.9022,2,35.4959,2,210.3,7,0.132,1,0.0277,2,I9N-S101
10,2,24.8989,2,35.4959,2,210.6,2,0.13,1,0.0277,2,I9N-S101
12,2,24.898,2,35.4956,2,210.6,2,0.126,1,0.0277,2,I9N-S101
14,2,24.8877,2,35.4955,2,210.6,2,0.126,1,0.0281,2,I9N-S101
16,2,24.8858,2,35.4953,2,211.3,2,0.125,1,0.0285,2,I9N-S101
18,2,24.8737,2,35.4947,2,210.8,2,0.124,1,0.0293,2,I9N-S101
20,2,24.8679,2,35.4943,2,211.2,2,0.119,1,0.0293,2,I9N-S101
22,2,24.8647,2,35.4942,2,210.8,2,0.135,1,0.0289,2,I9N-S101
24,2,24.8595,2,35.4934,2,210.8,2,0.128,1,0.0293,2,I9N-S101
26,2,24.8579,2,35.4932,2,211.4,2,0.127,1,0.0293,2,I9N-S101
28,2,24.857,2,35.4932,2,211.5,2,0.126,1,0.0297,2,I9N-S101
30,2,24.8529,2,35.4929,2,211.7,2,0.126,1,0.0297,2,I9N-S101
32,2,24.853,2,35.493,2,211.8,2,0.124,1,0.0297,2,I9N-S101
34,2,24.8499,2,35.4926,2,211.7,2,0.129,1,0.0297,2,I9N-S101
36,2,24.8421,2,35.4916,2,212.2,2,0.131,1,0.0301,2,I9N-S101
38,2,24.8411,2,35.4912,2,211.8,2,0.133,1,0.0305,2,I9N-S101
40,2,24.8408,2,35.4914,2,211.9,2,0.127,1,0.0305,2,I9N-S101
42,2,24.8403,2,35.4912,2,211.9,2,0.122,1,0.0309,2,I9N-S101
44,2,24.8397,2,35.4907,2,212.4,2,0.132,1,0.0309,2,I9N-S101
46,2,24.8381,2,35.4908,2,212.4,2,0.127,1,0.0309,2,I9N-S101
48,2,24.8348,2,35.4902,2,212.1,2,0.124,1,0.0309,2,I9N-S101
50,2,24.8331,2,35.4902,2,211.8,2,0.128,1,0.0309,2,I9N-S101
52,2,24.8336,2,35.4903,2,211.8,2,0.128,1,0.0309,2,I9N-S101
54,2,24.8339,2,35.4902,2,212.1,2,0.133,1,0.0305,2,I9N-S101
56,2,24.8344,2,35.4905,2,212.1,2,0.129,1,0.0305,2,I9N-S101
58,2,24.8344,2,35.4905,2,212.1,2,0.126,1,0.0305,2,I9N-S101
60,2,24.8318,2,35.4901,2,212.6,2,0.13,1,0.0305,2,I9N-S101
62,2,24.8311,2,35.4901,2,212.2,2,0.138,1,0.0305,2,I9N-S101
64,2,24.8298,2,35.4901,2,212.2,2,0.128,1,0.0305,2,I9N-S101
66,2,24.8298,2,35.4904,2,212.6,2,0.132,1,0.0305,2,I9N-S101
68,2,24.83,2,35.4905,2,212.4,2,0.131,1,0.0309,2,I9N-S101
70,2,24.8275,2,35.4904,2,212.4,2,0.129,1,0.0309,2,I9N-S101
72,2,24.8252,2,35.49,2,212.3,2,0.13,1,0.0309,2,I9N-S101
74,2,24.8185,2,35.4896,2,212.6,2,0.127,1,0.0309,2,I9N-S101
76,2,24.8136,2,35.4891,2,212.4,2,0.127,1,0.0313,2,I9N-S101
78,2,24.779,2,35.4896,2,213,2,0.133,1,0.0321,2,I9N-S101
80,2,24.6857,2,35.4846,2,213.6,2,0.132,1,0.0337,2,I9N-S101
82,2,24.2954,2,35.4795,2,215.7,2,0.134,1,0.037,2,I9N-S101
84,2,23.7646,2,35.4505,2,218.9,2,0.129,1,0.0378,2,I9N-S101
86,2,23.5942,2,35.4167,2,220.9,2,0.13,1,0.037,2,I9N-S101
88,2,23.3224,2,35.4049,2,222,2,0.126,1,0.0366,2,I9N-S101
90,2,23.2307,2,35.4023,2,222.9,2,0.133,1,0.0366,2,I9N-S101
92,2,23.1792,2,35.4157,2,223.2,2,0.133,1,0.0366,2,I9N-S101
94,2,23.0896,2,35.4396,2,223.3,2,0.135,1,0.037,2,I9N-S101
96,2,22.9824,2,35.4846,2,223.8,2,0.13,1,0.037,2,I9N-S101
98,2,22.8872,2,35.5029,2,224,2,0.136,1,0.037,2,I9N-S101
100,2,22.8419,2,35.559,2,224.8,2,0.134,1,0.0366,2,I9N-S101
102,2,22.6104,2,35.5612,2,226.2,2,0.135,1,0.0362,2,I9N-S101
104,2,22.6427,2,35.6564,2,225,2,0.131,1,0.0354,2,I9N-S101
106,2,22.5235,2,35.6916,2,226.4,2,0.132,1,0.0345,2,I9N-S101
108,2,22.4465,2,35.7027,2,226.9,2,0.131,1,0.0337,2,I9N-S101
110,2,22.395,2,35.7087,2,226.9,2,0.128,1,0.0329,2,I9N-S101
112,2,22.2671,2,35.7271,2,227.2,2,0.133,1,0.0329,2,I9N-S101
114,2,22.1949,2,35.7331,2,227.2,2,0.137,1,0.0329,2,I9N-S101
116,2,22.056,2,35.7506,2,227.8,2,0.129,1,0.0325,2,I9N-S101
118,2,21.8681,2,35.744,2,227.3,2,0.132,1,0.0321,2,I9N-S101
120,2,21.6065,2,35.7391,2,227,2,0.14,1,0.0313,2,I9N-S101
122,2,21.4997,2,35.7492,2,225.7,2,0.134,1,0.0309,2,I9N-S101
124,2,21.4715,2,35.7519,2,225.8,2,0.136,1,0.0309,2,I9N-S101
126,2,21.4179,2,35.7586,2,226,2,0.14,1,0.0309,2,I9N-S101
128,2,21.2552,2,35.7498,2,226.2,2,0.137,1,0.0309,2,I9N-S101
130,2,21.2277,2,35.7485,2,224.5,2,0.137,1,0.0313,2,I9N-S101
132,2,21.2182,2,35.7542,2,224.1,2,0.137,1,0.0321,2,I9N-S101
134,2,21.1186,2,35.7515,2,224.4,2,0.134,1,0.0333,2,I9N-S101
136,2,20.8919,2,35.7287,2,222.4,2,0.141,1,0.0362,2,I9N-S101
138,2,20.8259,2,35.7323,2,220.1,2,0.14,1,0.0382,2,I9N-S101
140,2,20.7004,2,35.7324,2,219.6,2,0.146,1,0.0386,2,I9N-S101
142,2,20.5732,2,35.7431,2,217.8,2,0.151,1,0.0362,2,I9N-S101
144,2,20.5302,2,35.7556,2,215.6,2,0.147,1,0.0325,2,I9N-S101
146,2,20.5087,2,35.7702,2,215.6,2,0.142,1,0.0293,2,I9N-S101
148,2,20.5112,2,35.7811,2,216.4,2,0.145,1,0.0277,2,I9N-S101
150,2,20.5037,2,35.7947,2,217.8,2,0.144,1,0.0261,2,I9N-S101
152,2,20.4556,2,35.8089,2,219.2,2,0.145,1,0.0241,2,I9N-S101
154,2,20.3926,2,35.8061,2,220,2,0.14,1,0.0225,2,I9N-S101
156,2,20.3411,2,35.8088,2,219.5,2,0.143,1,0.0213,2,I9N-S101
158,2,20.2846,2,35.8074,2,219,2,0.142,1,0.0201,2,I9N-S101
160,2,20.2474,2,35.8074,2,218.2,2,0.144,1,0.0192,2,I9N-S101
162,2,20.229,2,35.8112,2,217.5,2,0.144,1,0.0192,2,I9N-S101
164,2,20.1678,2,35.8135,2,217.5,2,0.145,1,0.0184,2,I9N-S101
