CTD,20171109CCHSIO
# SHIP: Roger Revelle
# Cruise: I8S.2007
# DATES: 20070204 - 20070317
# Region: far SE Indian Ocean
# Chief Scientist: J.Swift, A. Wong
# CTDO: Who - James Swift/SIO; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327 stations 1:68,83:88
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:490 stations 69:82
# CDOM Fluorometer (CTDCDOMFRAW) : Who - Norm Nelson-UCSB, Dave Siegel-UCSB; Status - final
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm; SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070204
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
# EVENT_CODE = unknown
# DEPTH_TYPE = unknown
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# Changed SECT_ID value from I8S to I08S to match CCHDO Lines
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: 08201_ct1.csv 
# CTD,20070314SIO - Previous Time Stamp 
NUMBER_HEADERS = 11
EXPOCODE = 33RR20070204
SECT_ID = I08S
STNNBR = 82
CASTNO = 1
DATE = 20070311
TIME = 1801
LATITUDE = -31.7019
LONGITUDE = 95.0002
DEPTH =  3028
INSTRUMENT_ID = 381
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,0-5VDC,,/METER,
       0.0,2,   20.2317,2,   35.8594,2,     223.4,2,         1,     166.3,     0.137,2,    0.0804,2
       2.0,2,   20.2312,2,   35.8594,2,     224.5,2,         1,     172.8,     0.139,2,    0.0792,2
       4.0,2,   20.2307,2,   35.8593,2,     224.9,2,       120,     179.3,     0.140,2,    0.0780,2
       6.0,2,   20.2302,2,   35.8593,2,     225.3,2,        96,     185.8,     0.142,2,    0.0771,2
       8.0,2,   20.2306,2,   35.8592,2,     226.9,2,       167,     191.3,     0.144,2,    0.0771,2
      10.0,2,   20.2334,2,   35.8593,2,     226.2,2,       144,     197.8,     0.141,2,    0.0767,2
      12.0,2,   20.2350,2,   35.8593,2,     227.0,2,       132,     203.5,     0.140,2,    0.0763,2
      14.0,2,   20.2350,2,   35.8593,2,     227.0,2,        96,     209.9,     0.141,2,    0.0771,2
      16.0,2,   20.2350,2,   35.8593,2,     227.2,2,       192,     216.8,     0.141,2,    0.0771,2
      18.0,2,   20.2326,2,   35.8595,2,     227.2,2,       132,     223.5,     0.142,2,    0.0771,2
      20.0,2,   20.2330,2,   35.8595,2,     227.6,2,       154,     229.6,     0.138,2,    0.0775,2
      22.0,2,   20.2271,2,   35.8586,2,     226.8,2,       143,     235.8,     0.141,2,    0.0775,2
      24.0,2,   20.2326,2,   35.8594,2,     227.3,2,       156,     242.0,     0.139,2,    0.0775,2
      26.0,2,   20.2354,2,   35.8597,2,     227.9,2,       156,     248.5,     0.138,2,    0.0775,2
      28.0,2,   20.2350,2,   35.8597,2,     228.6,2,        82,     253.5,     0.141,2,    0.0775,2
      30.0,2,   20.2353,2,   35.8595,2,     227.5,2,       132,     259.9,     0.139,2,    0.0775,2
      32.0,2,   20.2280,2,   35.8588,2,     228.3,2,       119,     265.8,     0.137,2,    0.0775,2
      34.0,2,   20.2290,2,   35.8588,2,     228.4,2,        94,     271.5,     0.138,2,    0.0780,2
      36.0,2,   20.2330,2,   35.8594,2,     228.4,2,        95,     278.3,     0.139,2,    0.0784,2
      38.0,2,   20.2258,2,   35.8583,2,     228.2,2,        83,     283.5,     0.140,2,    0.0792,2
      40.0,2,   20.2198,2,   35.8573,2,     228.5,2,       142,     288.6,     0.139,2,    0.0800,2
      42.0,2,   20.2138,2,   35.8566,2,     228.1,2,        72,     293.3,     0.140,2,    0.0804,2
      44.0,2,   20.2142,2,   35.8567,2,     228.3,2,       143,     297.8,     0.139,2, -999.0000,9
      46.0,2,   20.2114,2,   35.8570,2,     228.6,2,        84,     302.8,     0.139,2,    0.0804,2
      48.0,2,   20.2115,2,   35.8571,2,     227.7,2,        72,     307.8,     0.137,2,    0.0804,2
      50.0,2,   20.2108,2,   35.8571,2,     228.6,2,        96,     311.3,     0.139,2,    0.0796,2
      52.0,2,   20.2092,2,   35.8568,2,     227.4,2,       108,     315.5,     0.140,2,    0.0792,2
      54.0,2,   20.2076,2,   35.8567,2,     228.8,2,        72,     319.3,     0.143,2,    0.0788,2
      56.0,2,   20.2061,2,   35.8563,2,     228.2,2,       132,     323.5,     0.137,2,    0.0784,2
      58.0,2,   20.2040,2,   35.8563,2,     229.2,2,        60,     327.5,     0.139,2,    0.0775,2
      60.0,2,   20.1984,2,   35.8556,2,     227.7,2,        96,     331.4,     0.140,2,    0.0780,2
      62.0,2,   20.1279,2,   35.8434,2,     226.9,2,        59,     336.5,     0.141,2,    0.0808,2
      64.0,2,   19.8114,2,   35.8061,2,     231.0,2,        82,     339.5,     0.139,2,    0.0857,2
      66.0,2,   19.4236,2,   35.7702,2,     237.3,2,       119,     343.8,     0.142,2,    0.0878,2
      68.0,2,   19.1472,2,   35.7779,2,     243.9,2,        84,     348.0,     0.148,2,    0.0841,2
