BOTTLE,20150626SIOCCHRJL
STNNBR,CASTNO,LONGITUDE,LATITUDE,DEPTH,FE,FE_FLAG_W,ALUMIN,ALUMIN_FLAG_W
,,,,,NMOL/L,,NMOL/L,
1,2,84.5504,-65.811,19.7,-999,9,-999,9
1,2,84.5504,-65.811,30.3,-999,9,-999,9
1,2,84.5504,-65.811,50.2,-999,9,-999,9
1,2,84.5504,-65.811,75.9,-999,9,-999,9
1,2,84.5504,-65.811,100.9,-999,9,-999,9
1,2,84.5504,-65.811,125.6,-999,9,-999,9
1,2,84.5504,-65.811,150.6,-999,9,-999,9
1,2,84.5504,-65.811,201.2,1.21,2,1.03,2
1,2,84.5504,-65.811,251.7,1.19,2,1.04,2
1,2,84.5504,-65.811,302.1,1.33,2,0.93,2
1,2,84.5504,-65.811,402.3,-999,9,-999,9
3,2,84.3132,-65.711,19.4,0.82,2,1.33,2
3,2,84.3132,-65.711,39.4,0.64,2,0.96,2
3,2,84.3132,-65.711,64.8,0.65,2,0.7,2
3,2,84.3132,-65.711,86.3,0.75,2,0.58,2
3,2,84.3132,-65.711,105.6,0.91,2,0.59,2
3,2,84.3132,-65.711,136.1,1.42,4,1.25,4
3,2,84.3132,-65.711,186.2,0.97,2,0.57,2
3,2,84.3132,-65.711,236.5,1.47,2,1.78,2
3,2,84.3132,-65.711,287,1.67,2,1.98,2
3,2,84.3132,-65.711,489.5,12,4,14.03,4
3,2,84.3132,-65.711,677.1,1.31,2,1.57,2
3,2,84.3132,-65.711,981.2,0.87,2,0.71,2
5,3,84.3121,-65.167,14.1,0.24,2,0.3,2
5,3,84.3121,-65.167,39.6,0.18,2,0.3,2
5,3,84.3121,-65.167,70.3,0.25,2,0.3,2
5,3,84.3121,-65.167,90.1,0.46,2,0.61,2
5,3,84.3121,-65.167,120.6,0.58,2,0.47,2
5,3,84.3121,-65.167,140.4,1.27,4,1.7,4
5,3,84.3121,-65.167,171.4,0.79,2,0.43,2
5,3,84.3121,-65.167,221.9,0.79,2,0.38,2
5,3,84.3121,-65.167,271.9,0.88,2,0.5,2
5,3,84.3121,-65.167,423.2,0.74,2,0.59,2
5,3,84.3121,-65.167,646.6,0.89,2,1.06,2
5,3,84.3121,-65.167,950.1,1.18,2,1.74,2
7,2,83.554,-64.415,15.4,0.36,2,0.3,2
7,2,83.554,-64.415,37.1,0.41,2,0.3,2
7,2,83.554,-64.415,52.6,0.44,2,0.3,2
7,2,83.554,-64.415,78,0.83,2,0.3,2
7,2,83.554,-64.415,102.9,1.06,2,0.3,2
7,2,83.554,-64.415,126.9,1.3,2,1.89,2
7,2,83.554,-64.415,152.5,1.1,2,1.09,2
7,2,83.554,-64.415,203,0.94,2,0.77,2
7,2,83.554,-64.415,253.6,0.82,2,0.8,2
7,2,83.554,-64.415,506.3,0.86,2,0.3,2
7,2,83.554,-64.415,708.6,0.72,2,0.41,2
7,2,83.554,-64.415,1013.8,0.72,2,0.52,2
9,1,81.9621,-63.881,20,0.46,2,0.43,2
9,1,81.9621,-63.881,42,0.38,2,0.31,2
9,1,81.9621,-63.881,66.9,0.39,2,0.3,2
9,1,81.9621,-63.881,86.3,0.5,2,0.35,2
9,1,81.9621,-63.881,107,0.51,2,0.3,2
9,1,81.9621,-63.881,136.5,0.47,2,0.31,2
9,1,81.9621,-63.881,188.9,0.56,2,0.47,2
9,1,81.9621,-63.881,236.8,0.76,2,0.79,2
9,1,81.9621,-63.881,290.5,0.8,2,0.78,2
9,1,81.9621,-63.881,491.3,1.29,2,2.13,2
9,1,81.9621,-63.881,674.8,1.16,3,1.79,2
9,1,81.9621,-63.881,981.9,0.81,2,0.79,2
11,2,82.0114,-63.259,19.9,0.42,2,0.51,2
11,2,82.0114,-63.259,44,0.36,2,0.3,2
11,2,82.0114,-63.259,72,0.43,2,0.39,2
11,2,82.0114,-63.259,91.1,0.57,2,0.7,2
11,2,82.0114,-63.259,119.9,3.29,4,29.24,4
11,2,82.0114,-63.259,139.2,0.57,2,0.37,2
11,2,82.0114,-63.259,171.9,0.6,2,0.3,2
11,2,82.0114,-63.259,222.8,0.85,3,1.08,3
11,2,82.0114,-63.259,272.5,0.71,2,0.74,2
11,2,82.0114,-63.259,423.6,0.79,2,0.41,2
11,2,82.0114,-63.259,648.4,0.71,2,0.48,2
11,2,82.0114,-63.259,951.4,0.77,2,0.35,2
13,1,82.0089,-62.522,20.5,0.48,2,0.55,2
13,1,82.0089,-62.522,35.7,0.42,2,0.4,2
13,1,82.0089,-62.522,51.9,0.56,3,0.53,3
