CTD,20171109CCHSIO
# SHIP: R/V Roger Revelle
# Cruise: I09N; CLIVAR
# DATES: 20070322 - 20070501
# Region: East Indian Ocean
# Chief Scientist: Janet Sprintall
# CTDO: Who - James Swift,Janet Sprintall; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327
# CDOM Fluorometer : Who - Norm Nelson-UCSB ; Status - final 
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm;  SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070322
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
#
# DATE_UNITS = YYYYMMDD
# TIME_UNITS = HHMM
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# SECT_ID: changed header SECT to SECT_ID
# SECT_ID: changed value from I9N to I09N to match CCHDO collection
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: i9n_00102_00001_ct1.csv 
# CTD,20070814WHPOSIOSCD - Previous Time Stamp 
#    Software Version: CTD_Exchange_Encode_v2.0(CCHDO/Diggs)
#    SUMFILE_NAME:     i09n_33RR20070322su.txt
#    SUMFILE_MOD_DATE: Tue Aug 14 12:54:02 2007
#    CTDFILE_NAME:     NEWCTD/10201.ctd
#    CTDFILE_MOD_DATE: Tue Aug 14 20:51:54 2007
#    DEPTH_TYPE      : UNC
#    EVENT_CODE      : BO
NUMBER_HEADERS = 10
EXPOCODE = 33RR20070322
SECT_ID = I09N
STNNBR = 102
CASTNO = 1
DATE = 20070330
TIME = 1619
LATITUDE = -20.7633
LONGITUDE = 94.9995
DEPTH =   5245
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,/METER,
       0.0,6,   24.8488,6,   35.4402,6,     208.9,6,     0.132,1,    0.0317,2
       2.0,2,   24.8514,2,   35.4398,2,     208.9,7,     0.132,1,    0.0317,2
       4.0,2,   24.8540,2,   35.4395,2,     208.9,7,     0.131,1,    0.0317,2
       6.0,2,   24.8553,2,   35.4397,2,     208.9,7,     0.129,1,    0.0317,2
       8.0,2,   24.8562,2,   35.4396,2,     209.0,7,     0.131,1,    0.0317,2
      10.0,2,   24.8560,2,   35.4397,2,     208.9,7,     0.128,1,    0.0317,2
      12.0,2,   24.8570,2,   35.4397,2,     208.8,7,     0.128,1,    0.0317,2
      14.0,2,   24.8558,2,   35.4398,2,     209.0,7,     0.128,1,    0.0317,2
      16.0,2,   24.8545,2,   35.4398,2,     209.2,2,     0.130,1,    0.0317,2
      18.0,2,   24.8581,2,   35.4397,2,     209.5,2,     0.127,1,    0.0317,2
      20.0,2,   24.8613,2,   35.4396,2,     209.5,2,     0.127,1,    0.0317,2
      22.0,2,   24.8615,2,   35.4396,2,     209.8,2,     0.132,1,    0.0317,2
      24.0,2,   24.8618,2,   35.4396,2,     209.9,2,     0.128,1,    0.0317,2
      26.0,2,   24.8629,2,   35.4394,2,     209.7,2,     0.128,1,    0.0317,2
      28.0,2,   24.8635,2,   35.4397,2,     210.1,2,     0.129,1,    0.0317,2
      30.0,2,   24.8635,2,   35.4394,2,     210.4,2,     0.130,1,    0.0317,2
      32.0,2,   24.8613,2,   35.4399,2,     210.4,2,     0.129,1,    0.0317,2
      34.0,2,   24.8654,2,   35.4406,2,     210.2,2,     0.129,1,    0.0317,2
      36.0,2,   24.8656,2,   35.4407,2,     210.4,2,     0.128,1,    0.0317,2
      38.0,2,   24.8648,2,   35.4405,2,     210.4,2,     0.128,1,    0.0317,2
      40.0,2,   24.8635,2,   35.4418,2,     210.6,2,     0.129,1,    0.0317,2
      42.0,2,   24.8624,2,   35.4427,2,     210.1,2,     0.127,1,    0.0317,2
      44.0,2,   24.8615,2,   35.4431,2,     210.4,2,     0.127,1,    0.0317,2
      46.0,2,   24.8598,2,   35.4446,2,     210.5,2,     0.124,1,    0.0321,2
      48.0,2,   24.8559,2,   35.4478,2,     210.7,2,     0.127,1,    0.0321,2
      50.0,2,   24.8464,2,   35.4548,2,     210.9,2,     0.128,1,    0.0321,2
      52.0,2,   24.8511,2,   35.4517,2,     210.7,2,     0.127,1,    0.0317,2
      54.0,2,   24.8505,2,   35.4522,2,     210.5,2,     0.129,1,    0.0317,2
      56.0,2,   24.8485,2,   35.4543,2,     210.7,2,     0.123,1,    0.0317,2
