CTD,20171109CCHSIO
# SHIP: R/V Roger Revelle
# Cruise: I09N; CLIVAR
# DATES: 20070322 - 20070501
# Region: East Indian Ocean
# Chief Scientist: Janet Sprintall
# CTDO: Who - James Swift,Janet Sprintall; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327
# CDOM Fluorometer : Who - Norm Nelson-UCSB ; Status - final 
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm;  SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070322
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
#
# DATE_UNITS = YYYYMMDD
# TIME_UNITS = HHMM
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# SECT_ID: changed header SECT to SECT_ID
# SECT_ID: changed value from I9N to I09N to match CCHDO collection
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: i9n_00173_00002_ct1.csv 
# CTD,20070814WHPOSIOSCD - Previous Time Stamp 
#    Software Version: CTD_Exchange_Encode_v2.0(CCHDO/Diggs)
#    SUMFILE_NAME:     i09n_33RR20070322su.txt
#    SUMFILE_MOD_DATE: Tue Aug 14 12:54:02 2007
#    CTDFILE_NAME:     NEWCTD/17302.ctd
#    CTDFILE_MOD_DATE: Tue Aug 14 20:51:56 2007
#    DEPTH_TYPE      : UNC
#    EVENT_CODE      : BO
NUMBER_HEADERS = 10
EXPOCODE = 33RR20070322
SECT_ID = I09N
STNNBR = 173
CASTNO = 2
DATE = 20070420
TIME = 0750
LATITUDE = 9.9672
LONGITUDE = 87.3002
DEPTH =   3475
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,/METER,
       0.0,6,   29.7369,6,   33.3755,6,     196.7,6,     0.123,1,    0.0370,2
       2.0,2,   29.7351,2,   33.3714,2,     196.9,7,     0.131,1,    0.0366,2
       4.0,2,   29.7333,2,   33.3673,2,     197.1,2,     0.140,1,    0.0366,2
       6.0,2,   29.7184,2,   33.3721,2,     197.6,2,     0.130,1,    0.0370,2
       8.0,2,   29.6345,2,   33.3650,2,     198.2,2,     0.130,1,    0.0382,2
      10.0,2,   29.5427,2,   33.3592,2,     198.4,2,     0.132,1,    0.0394,2
      12.0,2,   29.5582,2,   33.3858,2,     198.5,2,     0.129,1,    0.0394,2
      14.0,2,   29.4733,2,   33.4257,2,     199.3,2,     0.134,1,    0.0382,2
      16.0,2,   29.3035,2,   33.4548,2,     199.0,2,     0.131,1,    0.0366,2
      18.0,2,   29.2707,2,   33.4565,2,     199.6,2,     0.136,1,    0.0350,2
      20.0,2,   29.2350,2,   33.4536,2,     199.7,2,     0.128,1,    0.0341,2
      22.0,2,   29.2086,2,   33.4652,2,     199.7,2,     0.133,1,    0.0341,2
      24.0,2,   29.1597,2,   33.4563,2,     200.0,2,     0.130,1,    0.0345,2
      26.0,2,   29.0854,2,   33.4357,2,     200.6,2,     0.131,1,    0.0358,2
      28.0,2,   28.9077,2,   33.3997,2,     201.4,2,     0.130,1,    0.0366,2
      30.0,2,   28.5970,2,   33.3568,2,     202.6,2,     0.142,1,    0.0366,2
      32.0,2,   28.4568,2,   33.3645,2,     204.1,2,     0.133,1,    0.0374,2
      34.0,2,   28.2316,2,   33.3222,2,     204.6,2,     0.131,1,    0.0382,2
      36.0,2,   28.1503,2,   33.3430,2,     204.6,2,     0.131,1,    0.0382,2
      38.0,2,   28.1591,2,   33.3995,2,     204.3,2,     0.132,1,    0.0382,2
      40.0,2,   28.2432,2,   33.5169,2,     204.4,2,     0.135,1,    0.0382,2
      42.0,2,   28.2271,2,   33.5639,2,     204.2,2,     0.138,1,    0.0382,2
      44.0,2,   28.3098,2,   33.6393,2,     203.8,2,     0.137,1,    0.0382,2
      46.0,2,   28.5492,2,   33.8341,2,     202.9,2,     0.143,1,    0.0378,2
      48.0,2,   28.6708,2,   33.9470,2,     202.8,2,     0.136,1,    0.0378,2
      50.0,2,   28.5685,2,   33.9157,2,     202.7,2,     0.137,1,    0.0382,2
      52.0,2,   28.2440,2,   33.8447,2,     202.0,2,     0.140,1,    0.0394,2
      54.0,2,   27.7741,2,   33.7448,2,     199.8,2,     0.148,1,    0.0406,2
      56.0,2,   27.6054,2,   33.7082,2,     196.8,2,     0.151,1,    0.0410,2
      58.0,2,   27.5351,2,   33.7317,2,     195.8,2,     0.147,1,    0.0410,2
      60.0,2,   27.4743,2,   33.7809,2,     192.0,2,     0.155,1,    0.0430,2
      62.0,2,   27.4605,2,   33.8213,2,     185.9,2,     0.153,1,    0.0451,2
      64.0,2,   27.3857,2,   33.9098,2,     183.2,2,     0.157,1,    0.0459,2
      66.0,2,   27.3660,2,   33.9678,2,     184.4,2,     0.160,1,    0.0467,2
      68.0,2,   27.3517,2,   34.0076,2,     180.9,2,     0.160,1,    0.0475,2
      70.0,2,   27.2947,2,   34.0649,2,     179.9,2,     0.159,1,    0.0507,2
      72.0,2,   27.2089,2,   34.1636,2,     175.2,2,     0.160,1,    0.0568,2
      74.0,2,   27.1140,2,   34.2349,2,     161.5,2,     0.171,1,    0.0605,2
      76.0,2,   27.0426,2,   34.2783,2,     152.9,2,     0.173,1,    0.0580,2
      78.0,2,   26.7210,2,   34.4096,2,     138.5,2,     0.174,1,    0.0523,2
      80.0,2,   26.5087,2,   34.4754,2,     117.7,2,     0.178,1,    0.0471,2
      82.0,2,   26.3156,2,   34.5741,2,     101.6,2,     0.181,1,    0.0430,2
      84.0,2,   26.0970,2,   34.6216,2,      94.3,2,     0.180,1,    0.0402,2
      86.0,2,   25.7544,2,   34.6793,2,      81.1,2,     0.190,1,    0.0378,2
      88.0,2,   25.3387,2,   34.7154,2,      67.8,2,     0.190,1,    0.0350,2
      90.0,2,   24.9170,2,   34.7446,2,      54.6,2,     0.191,1,    0.0313,2
      92.0,2,   24.5896,2,   34.7721,2,      45.1,2,     0.195,1,    0.0281,2
      94.0,2,   23.8987,2,   34.7659,2,      39.3,2,     0.195,1,    0.0257,2
      96.0,2,   23.6356,2,   34.7546,2,      32.8,2,     0.192,1,    0.0245,2
      98.0,2,   23.2564,2,   34.7240,2,      34.1,2,     0.187,1,    0.0233,2
     100.0,2,   23.1635,2,   34.7722,2,      36.0,2,     0.191,1,    0.0225,2
     102.0,2,   22.9702,2,   34.7904,2,      28.3,2,     0.191,1,    0.0225,2
     104.0,2,   22.7118,2,   34.8000,2,      25.7,2,     0.190,1,    0.0213,2
     106.0,2,   22.5078,2,   34.8107,2,      25.0,2,     0.195,1,    0.0192,2
     108.0,2,   22.3249,2,   34.8097,2,      21.4,2,     0.189,1,    0.0176,2
     110.0,2,   22.2257,2,   34.8525,2,      19.2,2,     0.190,1,    0.0160,2
     112.0,2,   22.0207,2,   34.8612,2,      19.4,2,     0.188,1,    0.0148,2
     114.0,2,   21.8743,2,   34.8695,2,      19.3,2,     0.190,1,    0.0140,2
     116.0,2,   21.6934,2,   34.8829,2,      18.4,2,     0.190,1,    0.0136,2
     118.0,2,   21.4307,2,   34.8859,2,      16.3,2,     0.191,1,    0.0128,2
     120.0,2,   21.2216,2,   34.8771,2,      14.8,2,     0.193,1,    0.0116,2
     122.0,2,   21.0257,2,   34.8754,2,      13.5,2,     0.193,1,    0.0108,2
     124.0,2,   20.8631,2,   34.8727,2,      12.5,2,     0.193,1,    0.0104,2
     126.0,2,   20.4755,2,   34.8759,2,      11.3,2,     0.193,1,    0.0104,2
     128.0,2,   20.2820,2,   34.8890,2,      10.2,2,     0.192,1,    0.0096,2
     130.0,2,   19.9104,2,   34.8966,2,      10.2,2,     0.195,1,    0.0092,2
     132.0,2,   19.7259,2,   34.8917,2,      10.4,2,     0.193,1,    0.0092,2
     134.0,2,   19.5340,2,   34.8876,2,      10.5,2,     0.194,1,    0.0092,2
     136.0,2,   19.0996,2,   34.8682,2,       9.9,2,     0.198,1,    0.0088,2
     138.0,2,   18.8499,2,   34.8600,2,       9.2,2,     0.195,1,    0.0084,2
     140.0,2,   18.6136,2,   34.8619,2,       9.4,2,     0.198,1,    0.0080,2
     142.0,2,   18.2572,2,   34.8562,2,       9.2,2,     0.196,1,    0.0076,2
     144.0,2,   18.0686,2,   34.8477,2,       9.8,2,     0.196,1,    0.0076,2
     146.0,2,   17.9293,2,   34.8620,2,      10.9,2,     0.197,1,    0.0072,2
     148.0,2,   17.6642,2,   34.8789,2,      10.3,2,     0.201,1,    0.0068,2
     150.0,2,   17.4958,2,   34.8747,2,       8.2,2,     0.200,1,    0.0068,2
     152.0,2,   17.4105,2,   34.8774,2,       7.9,2,     0.197,1,    0.0072,2
     154.0,2,   17.2260,2,   34.8795,2,       8.0,2,     0.199,1,    0.0076,2
     156.0,2,   17.0660,2,   34.8910,2,       8.1,2,     0.201,1,    0.0072,2
     158.0,2,   16.8672,2,   34.9016,2,       9.0,2,     0.199,1,    0.0068,2
     160.0,2,   16.7264,2,   34.9018,2,       9.6,2,     0.202,1,    0.0068,2
     162.0,2,   16.6310,2,   34.9082,2,       9.7,2,     0.199,1,    0.0068,2
     164.0,2,   16.4007,2,   34.9189,2,       9.2,2,     0.200,1,    0.0068,2
     166.0,2,   16.1248,2,   34.9190,2,       8.7,2,     0.203,1,    0.0068,2
     168.0,2,   15.9123,2,   34.9249,2,       8.0,2,     0.204,1,    0.0068,2
     170.0,2,   15.6687,2,   34.9274,2,       7.2,2,     0.207,1,    0.0068,2
     172.0,2,   15.4551,2,   34.9299,2,       7.3,2,     0.196,1,    0.0068,2
     174.0,2,   15.3874,2,   34.9316,2,       7.7,2,     0.205,1,    0.0068,2
     176.0,2,   15.2409,2,   34.9377,2,       7.7,2,     0.202,1,    0.0068,2
     178.0,2,   15.1540,2,   34.9380,2,       7.6,2,     0.206,1,    0.0072,2
     180.0,2,   15.0372,2,   34.9409,2,       7.6,2,     0.204,1,    0.0076,2
     182.0,2,   14.8825,2,   34.9431,2,       8.0,2,     0.206,1,    0.0076,2
     184.0,2,   14.7597,2,   34.9469,2,       8.4,2,     0.202,1,    0.0076,2
     186.0,2,   14.6606,2,   34.9479,2,       8.7,2,     0.206,1,    0.0076,2
     188.0,2,   14.5473,2,   34.9504,2,       8.9,2,     0.209,1,    0.0076,2
     190.0,2,   14.4190,2,   34.9528,2,       9.4,2,     0.206,1,    0.0076,2
     192.0,2,   14.3184,2,   34.9591,2,       9.5,2,     0.204,1,    0.0076,2
     194.0,2,   14.1639,2,   34.9637,2,       9.5,2,     0.206,1,    0.0080,2
     196.0,2,   14.0200,2,   34.9659,2,       9.9,2,     0.204,1,    0.0080,2
     198.0,2,   13.9248,2,   34.9692,2,      10.7,2,     0.206,1,    0.0080,2
     200.0,2,   13.8463,2,   34.9712,2,      10.9,2,     0.206,1,    0.0080,2
     202.0,2,   13.7785,2,   34.9693,2,      11.2,2,     0.201,1,    0.0084,2
     204.0,2,   13.7316,2,   34.9705,2,      11.8,2,     0.203,1,    0.0088,2
     206.0,2,   13.6580,2,   34.9734,2,      12.5,2,     0.205,1,    0.0088,2
     208.0,2,   13.5933,2,   34.9758,2,      12.8,2,     0.206,1,    0.0088,2
     210.0,2,   13.5299,2,   34.9778,2,      12.9,2,     0.205,1,    0.0088,2
     212.0,2,   13.4446,2,   34.9807,2,      12.8,2,     0.204,1,    0.0088,2
     214.0,2,   13.3418,2,   34.9852,2,      12.8,2,     0.209,1,    0.0088,2
     216.0,2,   13.2458,2,   34.9901,2,      12.9,2,     0.206,1,    0.0088,2
     218.0,2,   13.1867,2,   34.9895,2,      12.7,2,     0.213,1,    0.0088,2
     220.0,2,   13.1614,2,   34.9906,2,      12.7,2,     0.210,1,    0.0088,2
     222.0,2,   13.1065,2,   34.9923,2,      12.9,2,     0.205,1,    0.0088,2
     224.0,2,   13.0637,2,   34.9940,2,      13.1,2,     0.207,1,    0.0092,2
     226.0,2,   13.0317,2,   34.9952,2,      13.1,2,     0.206,1,    0.0092,2
     228.0,2,   12.9685,2,   34.9975,2,      13.0,2,     0.203,1,    0.0092,2
     230.0,2,   12.8721,2,   35.0000,2,      13.1,2,     0.205,1,    0.0088,2
     232.0,2,   12.8398,2,   35.0010,2,      13.1,2,     0.206,1,    0.0088,2
     234.0,2,   12.7926,2,   35.0037,2,      13.1,2,     0.206,1,    0.0092,2
     236.0,2,   12.7310,2,   35.0051,2,      13.1,2,     0.210,1,    0.0092,2
     238.0,2,   12.6898,2,   35.0079,2,      13.3,2,     0.201,1,    0.0096,2
     240.0,2,   12.6533,2,   35.0080,2,      13.3,2,     0.208,1,    0.0096,2
     242.0,2,   12.5986,2,   35.0087,2,      13.4,2,     0.209,1,    0.0096,2
     244.0,2,   12.5608,2,   35.0094,2,      13.4,2,     0.208,1,    0.0096,2
