BOTTLE,20150630SIOCCHRJL
# processed by cchdo on 2015-06-30 no change
# BOTTLE,20150416PRINUNIVRMK
# 10/7/2014 Initialized README file  
# Data source: CCHDO 2/11/14 
# SHIP: Roger Revelle 
# Cruise: I09N CLIVAR 2007 
# Region: East Indian Ocean 
# EXPOCODE: 33RR20070322 
# DATES: 3/22-5/1/2007 
# Chief Scientist: J. Sprintall, S. Mecking 
# 111 stations with 24 place Rosette 
# Hydro: Who - J.Swift;J.Sprintall; Status - final 
# 	Notes: posted 5/8/2007 
# Nutrients: Who - J.Swift;J.Sprintall; Status - final 
# 	Notes: posted 5/8/2007 
# Who - J.Swift;J.Sprintall; Status - final 
# 	Notes: posted 5/8/2007 
# TCO2: Who - R.Feely;C.Sabine; Status - final 
# 	Notes: final data submitted via CDIAC 1/4/2008 
# TA: Who - F.Millero; Status -final 
# 	Notes: final data submitted via CDIAC 1/4/2008 
# pH: Who - F.Millero; Status -final 
# 	Notes: final data submitted via CDIAC 1/4/2008 
# CFC: Who - W.Smethie;J.Bullister; Status - preliminary 
# 	Notes:  
# C14: Who - R.Key;A.McNichol; Status - final 
# 	Notes: Data submitted 7/25/14  
# H3/He3: Who - P.Schlosser; Status - final 
# 	Notes: He-3,He,Neon data submitted 9/25/14  
# 	H3 added 4/16/16 
# DON/TDN: Who - D.Hansel; Status - final 
# 	Notes: submitted via CDIAC 3/17/2008 
# Fe/Al: Who - C.Measures;W.Landing; Status - Final 
# 	Notes: rcd. 5/16/14 - not yet merged 
# CDOM:	Who - D.Siegel;C.Carlson; Status - final 
# 	Notes: final data received 6/18/2014 
# References: 
# Cruise report available at: 
# http://cchdo.ucsd.edu/data/co2clivar/indian/i09/i09n_20070322/i09n_33RR20070322do.pdf 
# Carbon Report 
# Feely, R., C. Sabine, F. Millero, R. Wanninkhof, D. Hansell. 2007. Carbon Dioxide, Hydrographic, and Chemical Data Obtained During the R/V Revelle Cruise in the Indian Ocean on CLIVAR Repeat Hydrography Sections I09N_2007 (Mar. 22 - May 01, 2007). http://cdiac.ornl.gov/ftp/oceans/CLIVAR/I09N_2007.data/. Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, US Department of Energy, Oak Ridge, Tennessee. doi: 10.3334/CDIAC/otg.CLIVAR_I09N_2007 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,SBE35,SBE35_FLAG_W
,,,,,,,,,,,METERS,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,1/M,,1/M,,1/M,,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,,DEG C,ITS-90,
  33RR20070322,  I09N,    89,  3,     34,   9419,2,20070326,1006,-28.3133,  95.0145, 3088,   3.4000,      3.4,  22.5809,  35.9715,2,  35.9716,2,    216.6,2,    217.8,2,     1.93,2,     0.20,2,     0.00,2,     0.09,2,    1.927,2,    1.257,2, -999.000,5,   2046.1,6,   2355.6,6,   8.0310,6,    25.00,     75.5,2,     4.24,2, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   0.0399,2,   0.0251,2,   0.0104,2,   0.0083,2,  -0.0071,4,  -0.0063,4,  -0.0046,4,   0.0254,2,   0.0285,2,  22.5802,  22.5785,2
  33RR20070322,  I09N,    89,  3,     33,     33,2,20070326,1006,-28.3133,  95.0145, 3088,  30.0000,     30.0,  22.5920,  35.9710,2,  35.9715,2,    219.0,2,    217.9,2,     1.93,2,     0.20,2,     0.00,2,     0.09,2,    1.935,2,    1.233,2, -999.000,5,   2043.9,2,   2358.4,2,   8.0338,2,    25.00,     73.1,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     58.5,2,      4.4,     1.03,2,   0.0448,2,   0.0291,2,   0.0139,2,   0.0115,2,  -0.0054,4,  -0.0053,4,  -0.0042,4,   0.0146,3,   0.0196,3,  22.5859,  22.5857,2
  33RR20070322,  I09N,    89,  3,     32,     37,2,20070326,1006,-28.3133,  95.0145, 3088,  53.7000,     53.7,  19.4824,  35.8574,2,  35.8602,2,    244.9,2,    247.7,2,     1.53,2,     0.20,2,     0.00,2,     0.12,2,    2.418,2,    1.541,2, -999.000,5,   2060.5,2,   2354.8,2,   7.9991,2,    25.00,     67.8,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,   0.0925,2,   0.0614,2,   0.0268,2,   0.0182,2,  -0.0013,4,  -0.0033,4,  -0.0033,4,   0.0163,3,   0.0205,3,  19.4726,  19.4353,2
  33RR20070322,  I09N,    89,  3,     31,     31,2,20070326,1006,-28.3133,  95.0145, 3088,  79.3000,     79.3,  17.9091,  35.8212,2,  35.8219,2,    247.0,2,    246.4,2,     1.34,2,     0.21,2,     0.00,2,     0.13,2,    2.542,2,    1.540,2, -999.000,5,   2067.5,2,   2354.4,2,   7.9903,2,    25.00,     66.0,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     56.9,2,      3.2,     1.36,2,   0.1195,2,   0.0816,2,   0.0375,2,   0.0260,2,   0.0032,2,  -0.0009,4,  -0.0019,4,   0.0153,4,   0.0186,4,  17.8955,  17.8979,2
  33RR20070322,  I09N,    89,  3,     30,     30,2,20070326,1006,-28.3133,  95.0145, 3088, 104.3000,    104.3,  16.5755,  35.7232,2,  35.7260,2,    241.3,2,    236.4,2,     1.53,2,     0.25,2,     0.01,2,     0.20,2,    2.620,2,    1.661,2, -999.000,5,   2081.9,2,   2348.1,2,   7.9598,2,    25.00,     62.3,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     57.0,2,      4.0,     1.24,2,   0.1228,2,   0.0860,2,   0.0438,2,   0.0326,2,   0.0065,2,   0.0001,4,  -0.0013,4,   0.0145,3,   0.0163,3,  16.5585,  16.5805,2
  33RR20070322,  I09N,    89,  3,     29,     29,2,20070326,1006,-28.3133,  95.0145, 3088, 153.9000,    153.9,  15.0893,  35.5525,2,  35.5539,2,    228.5,2,    231.8,2,     1.53,2,     2.96,2,     0.32,2,     0.36,2,    2.806,2,    1.666,2, -999.000,5,   2096.3,2,   2332.9,2,   7.9159,2,    25.00,     57.5,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     49.5,2,      3.4,     1.23,2,   0.0908,2,   0.0655,2,   0.0351,2,   0.0274,2,   0.0033,3,  -0.0020,4,  -0.0026,4,   0.0138,2,   0.0149,2,  15.0658,  15.0889,2
  33RR20070322,  I09N,    89,  3,     28,     28,2,20070326,1006,-28.3133,  95.0145, 3088, 204.3000,    204.3,  13.9942,  35.4286,2,  35.4328,2,    225.6,2,    225.3,2,     2.14,2,     5.62,2,     0.01,2,     0.49,2,    2.949,2,    1.754,2, -999.000,5,   2105.8,2,   2330.2,2,   7.8825,2,    25.00,     53.5,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     58.9,2,      3.6,     1.14,2,   0.0829,2,   0.0586,2,   0.0311,2,   0.0244,2,   0.0014,3,  -0.0029,4,  -0.0032,4,   0.0138,2,   0.0154,2,  13.9646,  14.0033,2
  33RR20070322,  I09N,    89,  3,     27,     27,2,20070326,1006,-28.3133,  95.0145, 3088, 254.3000,    254.3,  12.9125,  35.2542,2,  35.2524,2,    229.3,2,    229.8,2,     2.54,2,     7.92,2,     0.01,2,     0.63,2,    3.157,2,    1.832,2, -999.000,5,   2108.5,2,   2317.7,2,   7.8605,2,    25.00,     51.5,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     59.4,2,      4.2,     1.14,2,   0.0798,2,   0.0557,2,   0.0296,2,   0.0231,2,   0.0010,3,  -0.0032,4,  -0.0034,4,   0.0137,2,   0.0155,2,  12.8775,  12.9086,2
  33RR20070322,  I09N,    89,  3,     26,     26,2,20070326,1006,-28.3133,  95.0145, 3088, 304.5000,    304.5,  12.1786,  35.1437,2,  35.1496,2,    234.0,2,    234.4,2,     2.73,2,     8.93,2,     0.01,2,     0.68,2,    3.225,2,    1.911,2, -999.000,5,   2112.2,2,   2313.2,2,   7.8453,2,    25.00,     49.3,2,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,     55.2,2,      3.0,     1.14,2,   0.0756,2,   0.0513,2,   0.0268,2,   0.0209,2,  -0.0001,4,  -0.0035,4,  -0.0036,4,   0.0137,2,   0.0162,3,  12.1382,  12.1873,2
