DNA_ID,CRUISE,STATION,TYPE,yyyy-mm-ddThh:mm,Longitude [degrees_east],Latitude [degrees_north],BOT DEPTH [METERS],CTDPRS [DBAR],CAST TYPE,CAST NO,NISKIN
P16S-S05-N03,P16S,05,B,20050111T00:00,-150,-18,-999,440,D (TRACE METAL),-999,3
P16S-S05-N05,P16S,05,B,20050111T00:00,-150,-18,-999,220,D (TRACE METAL),-999,5
P16S-S05-N08,P16S,05,B,20050111T00:00,-150,-18,-999,90,D (TRACE METAL),-999,8
P16S-S05-N10,P16S,05,B,20050111T00:00,-150,-18,-999,55,D (TRACE METAL),-999,10
P16S-S05-N11,P16S,05,B,20050111T00:00,-150,-18,-999,35,D (TRACE METAL),-999,11
P16S-S05-N12,P16S,05,B,20050111T00:00,-150,-18,-999,20,D (TRACE METAL),-999,12
P16S-S05-N14,P16S,05,B,20050111T00:00,-150,-18,-999,170,D (TRACE METAL),-999,14
P16S-S05-N15,P16S,05,B,20050111T00:00,-150,-18,-999,120,D (TRACE METAL),-999,15
P16S-S15-N03,P16S,15,B,20050113T00:00,-150,-23,-999,485,TRACE METAL,-999,3
P16S-S15-N05,P16S,15,B,20050113T00:00,-150,-23,-999,235,TRACE METAL,-999,5
P16S-S15-N08,P16S,15,B,20050113T00:00,-150,-23,-999,105,TRACE METAL,-999,8
P16S-S15-N09,P16S,15,B,20050113T00:00,-150,-23,-999,85,TRACE METAL,-999,9
P16S-S15-N10,P16S,15,B,20050113T00:00,-150,-23,-999,65,TRACE METAL,-999,10
P16S-S15-N11,P16S,15,B,20050113T00:00,-150,-23,-999,40,TRACE METAL,-999,11
P16S-S15-N12,P16S,15,B,20050113T00:00,-150,-23,-999,20,TRACE METAL,-999,12
P16S-S15-N15,P16S,15,B,20050113T00:00,-150,-23,-999,135,TRACE METAL,-999,15
P16S-S33-N03,P16S,33,B,20050118T00:00,-150,-32,-999,485,TRACE METAL,-999,3
P16S-S33-N05,P16S,33,B,20050118T00:00,-150,-32,-999,235,TRACE METAL,-999,5
P16S-S33-N08,P16S,33,B,20050118T00:00,-150,-32,-999,105,TRACE METAL,-999,8
P16S-S33-N09,P16S,33,B,20050118T00:00,-150,-32,-999,85,TRACE METAL,-999,9
P16S-S33-N10,P16S,33,B,20050118T00:00,-150,-32,-999,65,TRACE METAL,-999,10
P16S-S33-N11,P16S,33,B,20050118T00:00,-150,-32,-999,40,TRACE METAL,-999,11
P16S-S33-N12,P16S,33,B,20050118T00:00,-150,-32,-999,20,TRACE METAL,-999,12
P16S-S33-N15,P16S,33,B,20050118T00:00,-150,-32,-999,135,TRACE METAL,-999,15
P16S-S47-N03,P16S,47,B,20050122T00:00,-150,-39,-999,470,TRACE METAL,-999,3
P16S-S47-N04,P16S,47,B,20050122T00:00,-150,-39,-999,270,TRACE METAL,-999,4
P16S-S47-N08,P16S,47,B,20050122T00:00,-150,-39,-999,90,TRACE METAL,-999,8
P16S-S47-N09,P16S,47,B,20050122T00:00,-150,-39,-999,70,TRACE METAL,-999,9
P16S-S47-N10,P16S,47,B,20050122T00:00,-150,-39,-999,55,TRACE METAL,-999,10
P16S-S47-N12,P16S,47,B,20050122T00:00,-150,-39,-999,20,TRACE METAL,-999,12
P16S-S47-N14,P16S,47,B,20050122T00:00,-150,-39,-999,170,TRACE METAL,-999,14
P16S-S47-N15,P16S,47,B,20050122T00:00,-150,-39,-999,120,TRACE METAL,-999,15
P16S-S70-N26,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,500,B,-999,26
P16S-S70-N28,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,400,B,-999,28
P16S-S70-N30,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,300,B,-999,30
P16S-S70-N32,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,200,B,-999,32
P16S-S70-N33,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,150,B,-999,33
P16S-S70-N34,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,100,B,-999,34
P16S-S70-N35,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,50,B,-999,35
P16S-S70-N36,P16S,70,B,20050130T00:00,-149.9997,-50.4993,-999,0,B,-999,36
P16S-S76-N26,P16S,76,B,20050201T00:00,-149.9967,-53.4995,-999,450,B,-999,26
P16S-S76-N28,P16S,76,B,20050201T00:00,-149.9967,-53.4995,-999,350,B,-999,28
P16S-S76-N30,P16S,76,B,20050201T00:00,-149.9967,-53.4995,-999,250,B,-999,30
P16S-S76-N32,P16S,76,B,20050201T00:00,-149.9967,-53.4995,-999,150,B,-999,32
P16S-S76-N33,P16S,76,B,20050201T00:00,-149.9967,-53.4995,-999,100,B,-999,33
P16S-S76-N34,P16S,76,B,20050201T00:00,-149.9967,-53.4995,-999,85,B,-999,34
