Original_SampleID	DNA extract concentration (ng/µL)
P16N-S02-N01	1.01200689557309
P16N-S02-N03	1.63569927138018
P16N-S02-N04	2.92332224078839
P16N-S02-N05	4.6925463794186
P16N-S02-N06	5.83619197578263
P16N-S02-N08	12.1447900592992
P16N-S04-N01	0.965481456248766
P16N-S04-N02	1.66021943534841
P16N-S04-N04	4.03804661811297
P16N-S04-N05	4.4297405194515
P16N-S04-N06	10.1096164499367
P16N-S04-N08	17.4889283600657
P16N-S04-N11	13.1255966180281
P16N-S04-N12	15.9529601402101
P16N-S08-N03	2.4021115759254
P16N-S08-N04	3.58913900084859
P16N-S08-N05	4.85727158351282
P16N-S08-N06	6.46302796235488
P16N-S08-N08	15.3607038720545
P16N-S08-N11	15.6536883953671
P16N-S08-N12	12.6113018968484
P16N-S12-N01	1.43199329379803
P16N-S12-N03	3.21127698687674
P16N-S12-N04	4.32663008635436
P16N-S12-N05	5.47216184917748
P16N-S12-N06	6.826429366807
P16N-S12-N08	8.0757002848803
P16N-S12-N11	23.1040459087886
P16N-S12-N12	23.7962689992761
P16N-S18-N01	1.96703584602771
P16N-S18-N03	2.95475834843995
P16N-S18-N04	5.44512679659713
P16N-S18-N05	6.26938153922123
P16N-S18-N06	8.04237801076963
P16N-S18-N08	11.2997874856251
P16N-S18-N11	27.2617855067849
P16N-S18-N12	25.9006020454721
P16N-S21-N01	2.1795439337523
P16N-S21-N03	3.84251402852022
P16N-S21-N04	6.0681904502512
P16N-S21-N05	5.34956102933636
P16N-S21-N06	6.24737626386513
P16N-S21-N08	10.5113699057237
P16N-S21-N11	25.4749571478699
P16N-S21-N12	24.1364076840661
P16N-S26-N01	1.69794276453029
P16N-S26-N03	2.02613572841265
P16N-S26-N04	3.61931766419409
P16N-S26-N05	3.0339773397219
P16N-S26-N06	6.35425902988046
P16N-S26-N08	9.94929230091372
P16N-S26-N11	18.397431871196
P16N-S26-N12	19.6919707842875
P16N-S32-N01	1.61432271817712
P16N-S32-N03	1.98841239923077
P16N-S32-N04	2.49579117672707
P16N-S32-N05	4.09714650049792
P16N-S32-N06	4.22540581971631
P16N-S32-N08	4.94969374000843
P16N-S32-N11	15.1463096178708
P16N-S32-N12	17.5637462962764
P16N-S36-N01	1.18616293196277
P16N-S36-N03	1.7463543703137
P16N-S36-N04	3.32696186303451
P16N-S36-N05	2.85039047103675
P16N-S36-N06	3.91355963181276
P16N-S36-N08	15.9617622503525
P16N-S36-N11	10.1982662735141
P16N-S36-N12	9.50227085010843
P16N-S40-N01	1.74886925892583
P16N-S40-N02	3.637550606632
P16N-S40-N03	3.83748425129597
P16N-S40-N04	6.20147954669384
P16N-S40-N05	10.8917468083077
P16N-S40-N06	13.4311555844013
P16N-S40-N09	12.3051142083222
P16N-S40-N10	12.4
P16N-S47-N01	1.1
P16N-S47-N03	1.35
P16N-S47-N05	3.12
P16N-S47-N06	5.09
P16N-S47-N08	2.62
P16N-S47-N11	5.66
P16N-S47-N12	6.11
P16N-S51-N01	0.8
P16N-S51-N03	1.43730764717088
P16N-S51-N04	1.98466296681895
P16N-S51-N05	3.1822169855897
P16N-S51-N06	4.8884398850165
P16N-S51-N08	8.10904430858773
P16N-S51-N11	7.37148691131146
P16N-S51-N12	9.0729620323938
P16N-S55-N01	0.895066457819922
P16N-S55-N03	1.52384514262493
P16N-S55-N04	3.37308325463644
P16N-S55-N05	3.49821021291264
P16N-S55-N06	4.56587641971153
P16N-S55-N08	10.0777503707122
P16N-S55-N11	10.0035544859052
P16N-S55-N12	8.77806482922025
P16N-S61-N01	1.47165651178611
P16N-S61-N03	3.56423197481716
P16N-S61-N04	4.62120894397437
P16N-S61-N05	6.54401416210807
P16N-S61-N06	7.1885123140332
P16N-S61-N08	15.3632639951831
P16N-S61-N11	17.3696967783958
P16N-S61-N12	19.7590557806548
P16N-S66-N01	1.60307125691036
P16N-S66-N03	3.6566624414835
P16N-S66-N04	5.93912906732566
P16N-S66-N05	6.00515082923019
P16N-S66-N06	7.67015678659384
P16N-S66-N08	15.7820305992632
P16N-S66-N11	13.5341468010853
P16N-S66-N12	17.7098660468753
P16N-S72-N01	1.57540499477894
P16N-S72-N03	2.10672298343916
P16N-S72-N04	3.81888734216319
P16N-S72-N05	4.71615452537993
P16N-S72-N06	5.02551363830399
P16N-S72-N08	8.32031394668221
P16N-S72-N11	21.6655127529836
P16N-S72-N12	25.6588861801802
P16S-S05-N03	1.0931317435335
P16S-S05-N05	2.0991776392215
P16S-S05-N08	7.13129345371595
P16S-S05-N10	8.28824623375715
P16S-S05-N11	7.11683154396543
P16S-S05-N12	6.92065259430627
P16S-S05-N14	2.6386697507842
P16S-S05-N15	7.74938290087927
P16S-S104-N21	2.53572911091381
P16S-S104-N23	1.70631608990092
P16S-S104-N25	3.97173770142448
P16S-S104-N27	4.89825922369469
P16S-S104-N28	6.52116842278966
P16S-S104-N29	14.5233080024256
P16S-S104-N30	25.5464531485735
P16S-S104-N31	27.5937131956286
P16S-S15-N03	1.42575566779535
P16S-S15-N05	3.46551372130278
P16S-S15-N08	9.6885363648179
P16S-S15-N09	9.92118447819575
P16S-S15-N10	7.39035027185561
P16S-S15-N11	6.44340957253927
P16S-S15-N12	6.22962481970557
P16S-S15-N15	7.79213985144601
P16S-S33-N03	1.52321636394012
P16S-S33-N05	3.36428035304917
P16S-S33-N08	8.58754488772433
P16S-S33-N09	10.8863597593714
P16S-S33-N10	10.3663597870377
P16S-S33-N11	6.92505404509991
P16S-S33-N12	5.49269620111411
P16S-S33-N15	10.1972183208251
P16S-S47-N03	2.37898415395973
P16S-S47-N04	2.68142670135094
P16S-S47-N08	10.0110998301229
P16S-S47-N09	18.7045939262368
P16S-S47-N10	21.1184752972032
P16S-S47-N12	20.4249324078633
P16S-S47-N14	3.5560578519147
P16S-S47-N15	5.62788361834718
P16S-S70-N26	2.60723081654395
P16S-S70-N28	4.44955236302261
P16S-S70-N30	4.64573131268177
P16S-S70-N32	5.41912909499192
P16S-S70-N33	5.78885096165726
P16S-S70-N34	8.29139012718118
P16S-S70-N35	21.1348235430082
P16S-S70-N36	23.6977254622734
P16S-S76-N26	3.12471567413846
P16S-S76-N28	3.7327446623449
P16S-S76-N30	3.58749678615495
P16S-S76-N32	7.1250056668679
P16S-S76-N33	15.1092374065218
P16S-S76-N34	21.7893821538902
P16S-S76-N35	19.0741050271009
P16S-S76-N36	20.9903351101307
P16S-S84-N20	2.56233417975143
P16S-S84-N22	4.95213448809087
P16S-S84-N24	4.99736310511483
P16S-S84-N26	5.76292396091742
P16S-S84-N27	12.7899877676545
P16S-S84-N28	16.1382356808693
P16S-S84-N29	19.6680631889008
P16S-S84-N31	23.2783710301662
P16S-S90-N20	2.20981701765293
P16S-S90-N22	2.70932718507929
P16S-S90-N24	2.88292525924478
P16S-S90-N26	4.13203324117116
P16S-S90-N27	6.28438331013482
P16S-S90-N28	11.3360207556784
P16S-S90-N29	20.7615315181271
P16S-S90-N30	21.6454849302571
P16S-S96-N18	2.1093828827909
P16S-S96-N20	3.26936388411125
P16S-S96-N23	4.62688752155094
P16S-S96-N24	4.26372833191739
P16S-S96-N25	4.45262432066451
P16S-S96-N26	7.74433646259936
P16S-S96-N27	28.0160686634259
