SampleID	Eukaryotic Fraction from Trimmed Sequences (18S/16S+18S)
P16N-S04-N01.trimmed	.00775224
P16N-S04-N02.trimmed	.02724576
P16N-S04-N04.trimmed	.02243989
P16N-S04-N05.trimmed	.02143735
P16N-S04-N06.trimmed	.02350207
P16N-S04-N08.trimmed	.01457887
P16N-S04-N11.trimmed	.00844153
P16N-S04-N12.trimmed	.01184275
P16N-S08-N03.trimmed	.01091506
P16N-S08-N04.trimmed	.01838687
P16N-S08-N05.trimmed	.04914780
P16N-S08-N06.trimmed	.02000135
P16N-S08-N08.trimmed	.01241440
P16N-S08-N11.trimmed	.01162166
P16N-S08-N12.trimmed	.00943254
P16N-S12-N01.trimmed	.03150439
P16N-S12-N03.trimmed	.00795872
P16N-S12-N04.trimmed	.04728513
P16N-S12-N05.trimmed	.08018612
P16N-S12-N06.trimmed	.05863255
P16N-S12-N08.trimmed	.03149254
P16N-S12-N11.trimmed	.00215613
P16N-S12-N12.trimmed	.01568044
P16N-S18-N01.trimmed	.07410562
P16N-S18-N03.trimmed	.04442292
P16N-S18-N04.trimmed	.06367760
P16N-S18-N05.trimmed	.05996717
P16N-S18-N06.trimmed	.06309237
P16N-S18-N08.trimmed	.03965163
P16N-S18-N11.trimmed	.04541240
P16N-S18-N12.trimmed	.02779921
P16N-S21-N01.trimmed	.03542578
P16N-S21-N03.trimmed	.02851238
P16N-S21-N04.trimmed	.05522410
P16N-S21-N05.trimmed	.08158888
P16N-S21-N06.trimmed	.08592207
P16N-S21-N08.trimmed	.09516061
P16N-S21-N11.trimmed	.03436972
P16N-S21-N12.trimmed	.00099091
P16N-S26-N01.trimmed	.03270428
P16N-S26-N03.trimmed	.03927393
P16N-S26-N04.trimmed	.04866234
P16N-S26-N05.trimmed	.06518621
P16N-S26-N06.trimmed	.12122958
P16N-S26-N11.trimmed	.02913354
P16N-S26-N12.trimmed	.03773072
P16N-S32-N01.trimmed	.05089447
P16N-S32-N03.trimmed	.04238548
P16N-S32-N04.trimmed	.04893133
P16N-S32-N05.trimmed	.06529912
P16N-S32-N06.trimmed	.10395013
P16N-S32-N08.trimmed	.04384869
P16N-S32-N11.trimmed	.06151451
P16N-S32-N12.trimmed	.01563232
P16N-S36-N01.trimmed	.01931139
P16N-S36-N03.trimmed	.01632642
P16N-S36-N04.trimmed	.07968228
P16N-S36-N05.trimmed	.03646579
P16N-S36-N06.trimmed	.04413433
P16N-S36-N08.trimmed	.04272624
P16N-S36-N11.trimmed	.03516110
P16N-S36-N12.trimmed	.03835652
P16N-S40-N02.trimmed	.04498777
P16N-S40-N03.trimmed	.05056361
P16N-S40-N04.trimmed	.08171141
P16N-S40-N05.trimmed	.03479181
P16N-S40-N06.trimmed	.04011138
P16N-S40-N09.trimmed	.03465315
P16N-S40-N10.trimmed	.04502562
P16N-S47-N01.trimmed	.02054600
P16N-S47-N03_200731_run063.trimmed	.00702415
P16N-S47-N05_200731_run063.trimmed	.01188486
P16N-S47-N06_200731_run063.trimmed	.00828062
P16N-S47-N08_200731_run063.trimmed	.00111997
P16N-S47-N11_200731_run063.trimmed	.00245428
P16N-S47-N12_200731_run063.trimmed	.01255230
P16N-S51-N01.trimmed	.03569790
P16N-S51-N03.trimmed	.03436748
P16N-S51-N04.trimmed	.03512340
P16N-S51-N05.trimmed	.03906084
P16N-S51-N06.trimmed	.01921957
P16N-S51-N08.trimmed	.01426011
P16N-S51-N11.trimmed	.01920852
P16N-S51-N12.trimmed	.01977856
P16N-S55-N01.trimmed	.04391373
P16N-S55-N03.trimmed	.15432012
P16N-S55-N04.trimmed	.05868613
P16N-S55-N05.trimmed	.05351669
P16N-S55-N06.trimmed	.04295985
P16N-S55-N08.trimmed	.01513543
P16N-S55-N11.trimmed	.01743248
P16N-S55-N12.trimmed	.01849710
P16N-S61-N01.trimmed	.03913230
P16N-S61-N03.trimmed	.16048913
P16N-S61-N04.trimmed	.03595446
P16N-S61-N05.trimmed	.03672931
P16N-S61-N08.trimmed	.02074546
P16N-S61-N11.trimmed	.03213215
P16N-S61-N12.trimmed	.02884805
P16N-S66-N01.trimmed	.02225936
P16N-S66-N03.trimmed	.01570357
P16N-S66-N04.trimmed	.16034751
P16N-S66-N05.trimmed	.02587353
P16N-S66-N06.trimmed	.13680238
P16N-S66-N08.trimmed	.15311191
P16N-S66-N11.trimmed	.05106062
P16N-S66-N12.trimmed	.03939413
P16N-S72-N01.trimmed	.02619167
P16N-S72-N03.trimmed	.02050909
P16N-S72-N04.trimmed	.01893947
P16N-S72-N05.trimmed	.01412315
P16N-S72-N06.trimmed	.01361624
P16N-S72-N08.trimmed	.02494337
P16N-S72-N11.trimmed	.09811531
P16N-S72-N12.trimmed	.07699242
P16S-S05-N03.trimmed	.01133701
P16S-S05-N05.trimmed	.02756134
P16S-S05-N08.trimmed	.02085346
P16S-S05-N10.trimmed	.01791702
P16S-S05-N11.trimmed	.01401434
P16S-S05-N12.trimmed	.01509984
P16S-S05-N14.trimmed	.02532720
P16S-S05-N15.trimmed	.03291470
P16S-S104-N21.trimmed	.17012757
P16S-S104-N23.trimmed	.09379536
P16S-S104-N25.trimmed	.07926300
P16S-S104-N27.trimmed	.09355236
P16S-S104-N28.trimmed	.08024332
P16S-S104-N29.trimmed	.04059921
P16S-S104-N30.trimmed	.12378270
P16S-S104-N31.trimmed	.15193295
P16S-S15-N03.trimmed	.07964314
P16S-S15-N05.trimmed	.01712065
P16S-S15-N08.trimmed	.03622921
P16S-S15-N09.trimmed	.02310514
P16S-S15-N10.trimmed	.02462788
P16S-S15-N11.trimmed	.02882566
P16S-S15-N12.trimmed	.02119251
P16S-S15-N15.trimmed	.02754819
P16S-S33-N03.trimmed	.03163894
P16S-S33-N05.trimmed	.03786866
P16S-S33-N08.trimmed	.03213808
P16S-S33-N09.trimmed	.05219453
P16S-S33-N10.trimmed	.04203303
P16S-S33-N11.trimmed	.03654450
P16S-S33-N12.trimmed	.01944640
P16S-S33-N15.trimmed	.03842902
P16S-S47-N03.trimmed	.07969666
P16S-S47-N04.trimmed	.12982843
P16S-S47-N05.trimmed	.04462601
P16S-S47-N08.trimmed	.04406084
P16S-S47-N09.trimmed	.14054209
P16S-S47-N10.trimmed	.07318292
P16S-S47-N12.trimmed	.03549101
P16S-S47-N14.trimmed	.04623033
P16S-S70-N26.trimmed	.02495409
P16S-S70-N28.trimmed	.02349207
P16S-S70-N30.trimmed	.03546932
P16S-S70-N32.trimmed	.02598424
P16S-S70-N33.trimmed	.05795000
P16S-S70-N34.trimmed	.06990752
P16S-S70-N35.trimmed	.03081215
P16S-S70-N36.trimmed	.06177295
P16S-S76-N26.trimmed	.27372923
P16S-S76-N28.trimmed	.12795591
P16S-S76-N30.trimmed	.09497888
P16S-S76-N32.trimmed	.09402005
P16S-S76-N33.trimmed	.05880844
P16S-S76-N34.trimmed	.18472648
P16S-S76-N35.trimmed	.08299328
P16S-S76-N36.trimmed	.10502504
P16S-S84-N19.trimmed	.06172178
P16S-S84-N21.trimmed	.06166170
P16S-S84-N23.trimmed	.08349312
P16S-S84-N25.trimmed	.55839359
P16S-S84-N26.trimmed	.24500551
P16S-S84-N28.trimmed	.32590661
P16S-S84-N29.trimmed	.04203022
P16S-S84-N31.trimmed	.08357852
P16S-S90-N20.trimmed	.07223758
P16S-S90-N22.trimmed	.08413562
P16S-S90-N24.trimmed	.05088784
P16S-S90-N26.trimmed	.05926143
P16S-S90-N27.trimmed	.07460332
P16S-S90-N28.trimmed	.12122631
P16S-S90-N29.trimmed	.19580258
P16S-S90-N30.trimmed	.13217431
P16S-S96-N18.trimmed	.12497022
P16S-S96-N20.trimmed	.09245200
P16S-S96-N23.trimmed	.08485755
P16S-S96-N24.trimmed	.08379117
P16S-S96-N25.trimmed	.09911340
P16S-S96-N26.trimmed	.26565671
P16S-S96-N27.trimmed	.08162681
P16S-S96-N28.trimmed	.14270333
