"Original_DNA_ID","Corrected_DNA_ID","Cast_Type"
"P16S-S05-N03","P16S-S05-N03","Trace_Metal"
"P16S-S05-N05","P16S-S05-N05","Trace_Metal"
"P16S-S05-N08","P16S-S05-N08","Trace_Metal"
"P16S-S05-N10","P16S-S05-N10","Trace_Metal"
"P16S-S05-N11","P16S-S05-N11","Trace_Metal"
"P16S-S05-N12","P16S-S05-N12","Trace_Metal"
"P16S-S05-N14","P16S-S05-N14","Trace_Metal"
"P16S-S05-N15","P16S-S05-N15","Trace_Metal"
"P16S-S15-N03","P16S-S15-N03","Trace_Metal"
"P16S-S15-N05","P16S-S15-N05","Trace_Metal"
"P16S-S15-N08","P16S-S15-N08","Trace_Metal"
"P16S-S15-N09","P16S-S15-N09","Trace_Metal"
"P16S-S15-N10","P16S-S15-N10","Trace_Metal"
"P16S-S15-N11","P16S-S15-N11","Trace_Metal"
"P16S-S15-N12","P16S-S15-N12","Trace_Metal"
"P16S-S15-N15","P16S-S15-N15","Trace_Metal"
"P16S-S33-N03","P16S-S33-N03","Trace_Metal"
"P16S-S33-N05","P16S-S33-N05","Trace_Metal"
"P16S-S33-N08","P16S-S33-N08","Trace_Metal"
"P16S-S33-N09","P16S-S33-N09","Trace_Metal"
"P16S-S33-N10","P16S-S33-N10","Trace_Metal"
"P16S-S33-N11","P16S-S33-N11","Trace_Metal"
"P16S-S33-N12","P16S-S33-N12","Trace_Metal"
"P16S-S33-N15","P16S-S33-N15","Trace_Metal"
"P16S-S47-N03","P16S-S47-N03","Trace_Metal"
"P16S-S47-N04","P16S-S47-N04","Trace_Metal"
"P16S-S47-N08","P16S-S47-N14","Trace_Metal"
"P16S-S47-N09","P16S-S47-N09","Trace_Metal"
"P16S-S47-N10","P16S-S47-N10","Trace_Metal"
"P16S-S47-N12","P16S-S47-N12","Trace_Metal"
"P16S-S47-N14","P16S-S47-N08","Trace_Metal"
"P16S-S47-N15","P16S-S47-N05","Trace_Metal"
"P16S-S70-N26","P16S-S70-N26","Regular_Cast"
"P16S-S70-N28","P16S-S70-N28","Regular_Cast"
"P16S-S70-N30","P16S-S70-N30","Regular_Cast"
"P16S-S70-N32","P16S-S70-N32","Regular_Cast"
