EXPOCODE,STNNBR,CASTNO,SAMPNO,DATE,time2,latitude,longitude,CTDPRS,CTDPRS_FLAG_W,TEMPERATURE,TEMPERATURE_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,Mn,Mn_FLAG_W,Fe,Fe_FLAG_W,Co,Co_FLAG_W,Ni,Ni_FLAG_W,Cu,Cu_FLAG_W,Zn,Zn_FLAG_W,Cd,Cd_FLAG_W,Pb,Pb_FLAG_W,time
P16S_33RR200501,1,2,12,20050110,1056,-16.0018,-149.99,20,2,28.5288,2,36.1097,2,-999,2,0.18,2,0,2,0.29,2,0,2,1.004,2,0.647,2,0.006,2,2.332,2,0.526,2,2.574,2,0.005,2,0.034,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,11,20050110,1056,-16.0018,-149.99,35,2,28.4806,2,36.1161,2,206.3,2,0.19,2,0,2,0.08,2,0,2,0.837,2,0.726,2,0.007,2,2.385,2,0.617,2,3.844,2,0.007,2,0.038,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,10,20050110,1056,-16.0018,-149.99,50,2,26.8039,2,36.2781,2,205.3,2,0.19,2,0,2,0.02,2,0,2,0.737,2,0.642,2,0.009,2,2.413,2,0.533,2,2.823,2,0.007,2,0.029,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,9,20050110,1056,-16.0018,-149.99,80,2,26.1932,2,36.2692,2,193.5,2,0.19,2,0,2,0.01,2,0,2,0.965,2,0.532,2,0.008,2,2.343,2,0.729,2,2.15,2,0.009,2,0.104,4,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,8,20050110,1056,-16.0018,-149.99,100,2,25.5538,2,36.2251,2,172.9,2,0.22,2,0,2,0.01,2,0,2,0.773,2,0.576,2,0.007,2,2.338,2,0.512,2,1.607,2,0.011,2,0.026,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,15,20050110,1056,-16.0018,-149.99,125.5,2,24.5017,2,36.9975,2,175.5,2,0.2,2,0,2,0.06,2,0,2,0.827,2,0.505,2,0.01,2,2.263,2,0.546,2,1.582,2,0.009,2,0.026,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,14,20050110,1056,-16.0018,-149.99,150.5,2,23.9115,2,36.0694,2,174.6,2,0.29,2,0,2,0.89,2,0.13,2,0.635,2,0.46,2,0.01,2,2.276,2,0.437,2,0.719,2,0.011,2,0.021,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,5,20050110,1056,-16.0018,-149.99,200.5,2,21.5728,2,35.9076,2,166.4,2,0.45,2,0,2,3.41,2,0.01,2,0.349,2,0.498,2,0.013,2,2.454,2,0.432,2,0.48,2,0.023,2,0.017,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,4,20050110,1056,-16.0018,-149.99,251,2,18.2861,2,35.4985,2,150,2,0.58,2,0.66,2,5.46,2,0.01,2,0.276,2,0.459,2,0.013,2,2.704,2,0.464,2,1.059,2,0.046,2,0.018,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,3,20050110,1056,-16.0018,-149.99,501.5,2,7.5176,2,34.447,2,129,2,2.04,2,17.85,2,28.02,2,0,2,0.133,2,0.551,2,0.04,2,5.317,2,0.964,2,1.497,2,0.51,2,0.012,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,2,20050110,1056,-16.0018,-149.99,704,2,5.3598,2,34.4477,2,-999,2,2.34,2,41.25,2,33.11,2,0,2,0.166,2,1.122,2,0.04,2,6.538,2,1.36,2,2.893,2,0.684,2,0.008,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,1,2,1,20050110,1056,-16.0018,-149.99,820,2,4.7162,2,34.479,2,139.7,2,2.43,2,53.6,2,34.22,2,0,2,0.204,2,1.119,2,0.039,2,6.935,2,1.641,2,4.286,2,0.753,2,0.009,2,2005-01-10T10:56:00.00Z
P16S_33RR200501,3,2,12,20050111,317,-16.9995,-150,19.8,2,28.5426,2,36.1166,2,196.8,2,0.17,2,0.64,2,0.18,2,0,2,0.812,2,0.541,2,0.005,2,2.369,2,0.597,2,2.024,2,0.001,2,0.024,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,11,20050111,317,-16.9995,-150,40,2,28.1275,2,36.157,2,204.4,2,0.18,2,0.64,2,0.19,2,0,2,0.881,2,0.249,2,0.008,2,2.454,2,0.681,2,1.047,2,0.002,2,0.024,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,10,20050111,317,-16.9995,-150,64.6,2,26.5875,2,36.2322,2,205.3,2,0.18,2,0.64,2,0.08,2,0,2,0.94,2,0.158,2,0.007,2,2.463,2,0.847,2,1.021,2,0.002,2,0.021,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,9,20050111,317,-16.9995,-150,85.4,2,25.9845,2,36.2153,2,199.1,2,0.18,2,0.43,2,0.19,2,0,2,0.906,2,0.182,2,0.012,2,2.456,2,0.987,2,1.176,2,0.002,2,0.057,4,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,8,20050111,317,-16.9995,-150,104.7,2,25.5449,2,36.1728,2,174.6,2,0.18,2,0.64,2,0.03,2,0,2,0.937,2,0.226,2,0.013,2,2.369,2,0.83,2,1.118,2,0.002,2,0.022,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,15,20050111,317,-16.9995,-150,135.6,2,24.5038,2,35.9152,2,176.2,2,0.17,2,0.43,2,0.04,2,0,2,0.873,2,0.179,2,0.012,2,2.35,2,0.953,2,0.615,2,0.001,2,0.021,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,14,20050111,317,-16.9995,-150,185,2,22.7203,2,35.9639,2,147.2,2,0.37,2,0.64,2,2.21,2,0.04,2,0.585,2,0.233,2,0.022,2,2.433,2,0.811,2,0.772,2,0.008,2,0.021,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,4,20050111,317,-16.9995,-150,286.7,2,16.7134,2,35.2922,2,152.6,2,0.68,2,2.1,2,7.36,2,0,2,0.234,2,0.178,2,0.02,2,2.98,2,0.785,2,0.796,2,0.063,2,0.018,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,3,20050111,317,-16.9995,-150,473.1,2,9.1021,2,34.5228,2,154.3,2,1.81,2,13.67,2,24.27,2,0,2,0.206,2,0.342,2,0.047,2,5.026,2,1.227,2,1.973,2,0.398,2,0.015,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,2,20050111,317,-16.9995,-150,724.2,2,5.167,2,34.4302,2,148.6,2,2.28,2,36.5,2,32.32,2,0,2,0.18,2,0.626,2,0.061,2,6.337,2,1.481,2,3.118,2,0.675,2,0.011,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,3,2,1,20050111,317,-16.9995,-150,855,2,4.38,2,34.4608,2,145.2,2,2.43,2,58.21,2,34.24,2,0,2,0.234,2,0.86,2,0.053,2,6.959,2,2.053,2,5.665,2,0.752,2,0.012,2,2005-01-11T03:17:00.00Z
P16S_33RR200501,5,2,12,20050111,1536,-17.9992,-150.001,20.2,2,28.3588,2,36.0813,2,196,2,0.17,2,0.85,2,0,2,0,2,1.716,2,-999,9,0.014,2,2.595,2,0.43,3,1.39,2,0.011,3,0.024,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,11,20050111,1536,-17.9992,-150.001,34.8,2,27.5811,2,36.0063,2,208.2,2,0.14,2,0.64,2,0.12,2,0,2,0.794,2,0.36,2,0.003,2,2.931,2,0.454,3,0.832,2,0.012,3,0.025,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,10,20050111,1536,-17.9992,-150.001,54.8,2,26.1921,2,35.9553,2,204.2,2,0.14,2,0.64,2,0.02,2,0,2,0.871,2,0.295,2,0.004,2,2.674,2,0.459,3,1.167,2,0.017,3,0.024,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,8,20050111,1536,-17.9992,-150.001,90.5,2,25.3227,2,35.9384,2,173.1,2,0.16,2,0.64,2,0.13,2,0,2,0.939,2,0.322,2,0.006,2,2.585,2,0.389,3,0.916,2,0.042,3,0.024,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,15,20050111,1536,-17.9992,-150.001,120.3,2,24.2617,2,35.891,2,176.6,2,0.19,2,0.64,2,-0.01,2,0,2,0.801,2,0.552,2,0.008,2,2.387,2,0.346,3,1.008,2,0.01,3,0.021,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,14,20050111,1536,-17.9992,-150.001,169.9,2,22.0795,2,35.8668,2,190.8,2,0.36,2,0.85,2,2.49,2,0.02,2,0.485,2,0.375,2,0.012,2,2.479,2,0.398,3,0.637,2,0.018,3,0.02,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,5,20050111,1536,-17.9992,-150.001,219.5,2,20.3194,2,35.7133,2,164.3,2,0.41,2,1.06,2,3.43,2,0.01,2,0.307,2,0.581,2,0.013,2,2.481,2,0.402,3,1.935,2,0.029,3,0.025,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,4,20050111,1536,-17.9992,-150.001,270.2,2,18.5277,2,35.5052,2,169.5,2,0.35,2,1.06,2,3.24,2,0.01,2,0.316,2,0.327,2,0.011,2,2.492,2,0.37,3,0.515,2,0.02,3,0.018,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,3,20050111,1536,-17.9992,-150.001,441,2,10.109,2,34.5925,2,171.3,2,1.51,2,9.05,2,20,2,0,2,0.17,2,0.561,2,0.031,2,4.483,2,0.763,3,1.109,2,0.299,3,0.018,2,2005-01-11T15:36:00.00Z
P16S_33RR200501,5,2,2,20050111,1536,-17.9992,-150.001,721.7,2,5.2107,2,34.3934,2,158.1,2,2.13,2,25.96,2,30.3,2,0,2,0.136,2,0.703,2,0.045,2,5.962,2,1.055,3,2.076,2,0.591,3,0.012,2,2005-01-11T15:36:00.00Z
