DNA_ID,DNA_Concentration,Depth,Latitude,Autotroph,Autotroph_Normalized,Other,Other_Normalized,Stations,Latitude_Round,Zone
P16N-S04-N12,15.95296014,23.46175986,-14.0001,0.196535912,0.012319714,0.803464088,0.050364577,P16N-S04,-14,Euphotic
P16N-S04-N11,13.12559662,42.54731229,-14.0002,0.252917333,0.019269016,0.747082667,0.056917997,P16N-S04,-14,Euphotic
P16N-S04-N08,17.48892836,103.569402,-14.0002,0.277908279,0.015890526,0.722091721,0.041288506,P16N-S04,-14,Euphotic
P16N-S04-N06,10.10961645,156.2286116,-14.0002,0.176068955,0.017415988,0.823931045,0.081499733,P16N-S04,-14,Euphotic
P16N-S04-N05,4.429740519,203.4117241,-14.0002,0.054211149,0.012237997,0.945788851,0.21350886,P16N-S04,-14,Euphotic
P16N-S04-N04,4.038046618,254.8538178,-14.0002,0.013629452,0.003375259,0.986370548,0.244269232,P16N-S04,-14,Aphotic
P16N-S04-N02,1.660219435,702.9895847,-14.0002,0.005254412,0.00316489,0.994745588,0.599165127,P16N-S04,-14,Aphotic
P16N-S04-N01,0.965481456,1001.01226,-14.0002,0.003712562,0.003845296,0.996287438,1.031907378,P16N-S04,-14,Aphotic
P16N-S08-N12,12.6113019,21.87449351,-10,0.187363849,0.014856821,0.812636151,0.064437134,P16N-S08,-10,Euphotic
P16N-S08-N11,15.6536884,36.48933164,-10,0.195009068,0.012457707,0.804990932,0.051425,P16N-S08,-10,Euphotic
P16N-S08-N08,15.36070387,103.0879945,-10,0.249668937,0.016253743,0.750331063,0.04884744,P16N-S08,-10,Euphotic
P16N-S08-N06,6.463027962,152.873778,-10,0.121955617,0.018869734,0.878044383,0.135856504,P16N-S08,-10,Euphotic
P16N-S08-N05,4.857271584,202.0514843,-10,0.01233846,0.002540204,0.98766154,0.203336693,P16N-S08,-10,Aphotic
P16N-S08-N04,3.589139001,251.0188121,-10,0.006245393,0.001740081,0.993754607,0.276878273,P16N-S08,-10,Aphotic
P16N-S08-N03,2.402111576,501.4344584,-10,0.004035394,0.001679936,0.995964606,0.41462046,P16N-S08,-10,Aphotic
P16N-S12-N12,23.796269,20.78293375,-6,0.271220391,0.011397601,0.728779609,0.030625793,P16N-S12,-6,Euphotic
P16N-S12-N11,23.10404591,36.59246288,-6,0.288455154,0.012485049,0.711544846,0.030797413,P16N-S12,-6,Euphotic
P16N-S12-N08,8.075700285,103.2972488,-6,0.117689552,0.014573294,0.882310448,0.109254977,P16N-S12,-6,Euphotic
P16N-S12-N06,6.826429367,156.2678779,-6,0.017396409,0.002548391,0.982603591,0.143941076,P16N-S12,-6,Aphotic
P16N-S12-N05,5.472161849,206.2445305,-6,0.006462245,0.001180931,0.993537755,0.181562202,P16N-S12,-6,Aphotic
P16N-S12-N04,4.326630086,255.0171933,-6,0.007173148,0.001657906,0.992826852,0.229468855,P16N-S12,-6,Aphotic
P16N-S12-N03,3.211276987,502.8741941,-6.0001,0.004169827,0.001298495,0.995830173,0.310104104,P16N-S12,-6,Aphotic
P16N-S12-N01,1.431993294,1002.055548,-6,0.004978,0.003476273,0.995022,0.69485102,P16N-S12,-6,Aphotic
P16N-S18-N12,25.90060205,23.46897294,-0.995,0.234083263,0.009037754,0.765916737,0.029571387,P16N-S18,-1,Euphotic
P16N-S18-N11,27.26178551,37.98656898,-0.995,0.225623136,0.008276169,0.774376864,0.028405214,P16N-S18,-1,Euphotic
P16N-S18-N08,11.29978749,102.4084365,-0.9953,0.122953911,0.010881082,0.877046089,0.077616158,P16N-S18,-1,Euphotic
P16N-S18-N06,8.042378011,153.1960001,-0.9954,0.008756878,0.001088842,0.991243122,0.123252491,P16N-S18,-1,Aphotic
P16N-S18-N05,6.269381539,204.0703714,-0.9956,0.002666341,0.000425296,0.997333659,0.159080071,P16N-S18,-1,Aphotic
P16N-S18-N04,5.445126797,250.859714,-0.9957,0.001857431,0.000341118,0.998142569,0.183309334,P16N-S18,-1,Aphotic
P16N-S18-N03,2.954758348,502.8031891,-0.996,0.00344459,0.001165777,0.99655541,0.337271375,P16N-S18,-1,Aphotic
P16N-S18-N01,1.967035846,1001.319976,-0.997,0.00311375,0.001582966,0.99688625,0.506796179,P16N-S18,-1,Aphotic
P16N-S21-N12,24.13640768,26.05440447,0.5002,0.276734908,0.011465455,0.723265092,0.029965731,P16N-S21,0.5,Euphotic
P16N-S21-N11,25.47495715,43.55474113,0.5002,0.233138215,0.009151663,0.766861785,0.030102574,P16N-S21,0.5,Euphotic
P16N-S21-N08,10.51136991,113.2429798,0.5002,0.00852735,0.00081125,0.99147265,0.094323828,P16N-S21,0.5,Aphotic
P16N-S21-N06,6.247376264,181.6158736,0.5001,0.002382939,0.00038143,0.997617061,0.159685765,P16N-S21,0.5,Aphotic
P16N-S21-N05,5.349561029,227.8143346,0.5002,0.001623647,0.00030351,0.998376353,0.186627715,P16N-S21,0.5,Aphotic
P16N-S21-N04,6.06819045,274.7969745,0.5002,0.001729007,0.00028493,0.998270993,0.164508843,P16N-S21,0.5,Aphotic
P16N-S21-N03,3.842514029,551.1125183,0.5001,0.00197212,0.000513237,0.99802788,0.259733048,P16N-S21,0.5,Aphotic
P16N-S21-N01,2.179543934,951.2360037,0.5002,0.002342864,0.001074933,0.997657136,0.457736649,P16N-S21,0.5,Aphotic
P16N-S26-N12,19.69197078,22.27516347,3.9999,0.164213289,0.008339099,0.835786711,0.04244302,P16N-S26,4,Euphotic
P16N-S26-N11,18.39743187,37.38907484,3.9999,0.192775558,0.010478395,0.807224442,0.043877018,P16N-S26,4,Euphotic
P16N-S26-N06,6.35425903,151.9998191,3.9999,0.003871354,0.000609253,0.996128646,0.156765508,P16N-S26,4,Aphotic
P16N-S26-N05,3.03397734,201.581707,3.9999,0.003308391,0.001090447,0.996691609,0.328509905,P16N-S26,4,Aphotic
P16N-S26-N04,3.619317664,253.0388476,3.9999,0.002173063,0.000600407,0.997826937,0.275694766,P16N-S26,4,Aphotic
P16N-S26-N03,2.026135728,501.3029874,3.9999,0.006490227,0.003203254,0.993509773,0.490347097,P16N-S26,4,Aphotic
P16N-S26-N01,1.697942765,999.9103007,3.9999,0.002308967,0.001359862,0.997691033,0.587588141,P16N-S26,4,Aphotic
P16N-S32-N12,17.5637463,21.87449337,10.0002,0.280641156,0.015978434,0.719358844,0.040957028,P16N-S32,10,Euphotic
P16N-S32-N11,15.14630962,41.161883,10.0002,0.257875341,0.017025622,0.742124659,0.048997061,P16N-S32,10,Euphotic
P16N-S32-N08,4.94969374,106.6658178,10.0002,0.060796688,0.012282919,0.939203312,0.189749783,P16N-S32,10,Euphotic
P16N-S32-N06,4.22540582,158.0404728,10.0002,0.01068148,0.002527918,0.98931852,0.23413574,P16N-S32,10,Aphotic
P16N-S32-N05,4.0971465,253.2036936,10.0002,0.003561194,0.000869189,0.996438806,0.243203119,P16N-S32,10,Aphotic
P16N-S32-N04,2.495791177,406.1872391,10.0002,0.003968876,0.001590228,0.996031124,0.39908432,P16N-S32,10,Aphotic
P16N-S32-N03,1.988412399,501.3352622,10.0002,0.0054579,0.002744853,0.9945421,0.500168929,P16N-S32,10,Aphotic
P16N-S32-N01,1.614322718,954.5492127,10.0002,0.004597737,0.00284809,0.995402263,0.616606737,P16N-S32,10,Aphotic
P16N-S36-N12,9.50227085,20.67830281,13.9988,0.261259988,0.027494479,0.738740012,0.077743523,P16N-S36,14,Euphotic
P16N-S36-N11,10.19826627,41.75211911,13.9987,0.279713082,0.027427513,0.720286918,0.070628369,P16N-S36,14,Euphotic
P16N-S36-N08,15.96176225,108.339101,13.9987,0.178456091,0.011180225,0.821543909,0.051469499,P16N-S36,14,Euphotic
P16N-S36-N06,3.913559632,174.8051615,13.9987,0.025843094,0.006603475,0.974156906,0.248918376,P16N-S36,14,Aphotic
P16N-S36-N05,2.850390471,226.1550994,13.9987,0.002713487,0.00095197,0.997286513,0.349877156,P16N-S36,14,Aphotic
P16N-S36-N04,3.326961863,277.0950854,13.9987,0.00114034,0.000342757,0.99885966,0.300231773,P16N-S36,14,Aphotic
P16N-S36-N03,1.74635437,552.8264495,13.9987,0.004744746,0.002716944,0.995255254,0.569904523,P16N-S36,14,Aphotic
P16N-S36-N01,1.186162932,951.536385,13.9987,0.010434927,0.008797212,0.989565073,0.83425729,P16N-S36,14,Aphotic
P16N-S40-N10,12.4,24.2522926,18,0.235970857,0.019029908,0.764029143,0.061615253,P16N-S40,18,Euphotic
P16N-S40-N09,12.30511421,46.81229975,18,0.25395494,0.020638162,0.74604506,0.060628861,P16N-S40,18,Euphotic
P16N-S40-N06,13.43115558,113.3846382,18,0.254616053,0.018957122,0.745383947,0.055496636,P16N-S40,18,Euphotic
P16N-S40-N05,10.89174681,142.6894948,18,0.096422216,0.008852778,0.903577784,0.082959859,P16N-S40,18,Euphotic
P16N-S40-N04,6.201479547,177.9491203,18,0.013964442,0.002251792,0.986035558,0.15900005,P16N-S40,18,Aphotic
P16N-S40-N03,3.837484251,219.7562199,18,0.001960972,0.000511004,0.998039028,0.260076384,P16N-S40,18,Aphotic
P16N-S40-N02,3.637550607,273.368096,18,0.000571639,0.00015715,0.999428361,0.274753115,P16N-S40,18,Aphotic
P16N-S47-N12-200731-run063,6.11,19.77106957,24.9995,0.343244823,0.056177549,0.656755177,0.107488572,P16N-S47,25,Euphotic
P16N-S47-N11-200731-run063,5.66,39.93758168,24.9995,0.416757682,0.073632099,0.583242318,0.103046346,P16N-S47,25,Euphotic
P16N-S47-N08-200731-run063,2.62,105.6884861,24.9995,0.446427852,0.17039231,0.553572148,0.21128708,P16N-S47,25,Euphotic
P16N-S47-N06-200731-run063,5.09,176.1834214,24.9995,0.015577519,0.003060416,0.984422481,0.193403238,P16N-S47,25,Aphotic
P16N-S47-N05-200731-run063,3.12,227.1034469,24.9995,0.007770542,0.002490558,0.992229458,0.318022262,P16N-S47,25,Aphotic
P16N-S47-N03-200731-run063,1.35,549.305069,24.9995,0.004958026,0.003672612,0.995041974,0.737068129,P16N-S47,25,Aphotic
P16N-S47-N01,1.1,949.0540761,24.9995,0.003170382,0.002882166,0.996829618,0.906208743,P16N-S47,25,Aphotic
P16N-S51-N12,9.072962032,20.85768103,28.9915,0.221162963,0.024376049,0.778837037,0.08584154,P16N-S51,28.99,Euphotic
P16N-S51-N11,7.371486911,39.92570173,28.9916,0.256520098,0.034798963,0.743479902,0.100858878,P16N-S51,28.99,Euphotic
P16N-S51-N08,8.109044309,106.4512548,28.9917,0.100658421,0.012413105,0.899341579,0.110905989,P16N-S51,28.99,Euphotic
P16N-S51-N06,4.888439885,178.0166008,28.9919,0.040492941,0.008283408,0.959507059,0.196280834,P16N-S51,28.99,Euphotic
P16N-S51-N05,3.182216986,224.6546545,28.9919,0.002839964,0.000892448,0.997160036,0.313353879,P16N-S51,28.99,Aphotic
P16N-S51-N04,1.984662967,276.4402661,28.992,0.002039864,0.001027814,0.997960136,0.502836075,P16N-S51,28.99,Aphotic
P16N-S51-N03,1.437307647,549.0425577,28.993,0.003064865,0.002132365,0.996935135,0.693612907,P16N-S51,28.99,Aphotic
P16N-S51-N01,0.8,950.452449,28.9939,0.006879294,0.008599118,0.993120706,1.241400882,P16N-S51,28.99,Aphotic
P16N-S55-N12,8.778064829,21.5458736,32.9997,0.221075307,0.025184971,0.778924693,0.088735354,P16N-S55,33,Euphotic
P16N-S55-N11,10.00355449,43.08948002,32.9997,0.238271244,0.023818658,0.761728756,0.07614581,P16N-S55,33,Euphotic
P16N-S55-N08,10.07775037,108.0044388,32.9997,0.047390927,0.00470253,0.952609073,0.094525964,P16N-S55,33,Euphotic
P16N-S55-N06,4.56587642,177.4625241,32.9997,0.008310726,0.001820182,0.991689274,0.21719582,P16N-S55,33,Aphotic
P16N-S55-N05,3.498210213,225.5732798,32.9997,0.001986948,0.00056799,0.998013052,0.285292476,P16N-S55,33,Aphotic
P16N-S55-N04,3.373083255,275.9535061,32.9997,0.001724062,0.000511123,0.998275938,0.295953542,P16N-S55,33,Aphotic
P16N-S55-N03,1.523845143,552.7257805,32.9997,0.000984784,0.000646249,0.999015216,0.655588411,P16N-S55,33,Aphotic
P16N-S55-N01,0.895066458,951.2300142,32.9997,0.004154637,0.004641708,0.995845363,1.112593768,P16N-S55,33,Aphotic
