SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
AMT.19.1-60231	AMT-19	Station_1	20/10/09	4:38:00	38.32	-24.67	0.00	3380.80	21.08	36.16	230.10	0.10	0.01	0.09	0.10		0.04	0.13	0.02
AMT.19.2-60232	AMT-19	Station_2	22/10/09	5:36:00	35.46	-28.65	0.00	3452.40	23.24	36.74	219.70	0.65	0.01	0.09	0.10		0.04	0.15	0.02
AMT.19.3-60233	AMT-19	Station_3	23/10/09	5:39:00	33.42	-31.26	0.00	3364.70	24.37	36.85	215.70	0.81	0.01	0.09	0.10		0.04	0.06	0.02
AMT.19.4-60234	AMT-19	Station_4	24/10/09	5:37:00	31.43	-33.74	0.00	4000.00	25.04	37.21	213.30	0.81	0.01	0.09	0.10		0.04	0.16	0.00
AMT.19.5-60235	AMT-19	Station_5	25/10/09	5:33:00	29.19	-35.99	0.00	4511.10	25.99	37.29	209.70	0.87	0.01	0.09	0.10		0.04	0.17	0.02
AMT.19.6-60236	AMT-19	Station_6	26/10/09	6:12:00	27.22	-37.88	0.00	4999.00	26.51	37.49	207.20	0.87	0.01	0.09	0.10		0.04	0.26	0.02
AMT.19.7-60237	AMT-19	Station_7	27/10/09	5:36:00	25.39	-39.60	0.00	4812.40	27.14	37.46	206.10	0.98	0.01	0.09	0.10		0.04	0.29	0.00
AMT.19.8-60238	AMT-19	Station_8	28/10/09	6:30:00	23.22	-40.72	0.00	5503.60	27.33	37.19	205.00							0.34	0.02
AMT.19.11-60241	AMT-19	Station_9	30/10/09	7:00:00	21.13	-39.31	6.00	5492.90	27.41	36.84	205.90	0.10			0.10		0.01		0.02
AMT.19.9-60239	AMT-19	Station_10	29/10/09	7:27:00	21.13	-39.25	0.00	5532.70	27.40	36.84	206.00	0.10			0.10		0.01		0.02
AMT.19.10-60240	AMT-19	Station_11	29/10/09	11:00:00	21.12	-39.26	6.00	5523.40	27.49	36.83	206.70	0.10			0.10		0.01	1.12	0.02
AMT.19.12-60242	AMT-19	Station_12	1/11/09	7:17:00	16.57	-36.10	0.00	4697.80	27.32	36.60	206.80	0.10	0.01				0.01		0.02
AMT.19.13-60243	AMT-19	Station_13	2/11/09	5:33:00	14.15	-34.46	0.00	5790.40	27.69	36.14	204.70	0.10	0.01	0.09	0.10		0.01	0.09	0.03
AMT.19.14-60244	AMT-19	Station_14	3/11/09	5:39:00	11.47	-32.65	0.00	5497.10	27.89	35.39	205.20		0.01	0.12	0.13		0.01	0.06	0.05
AMT.19.15-60245	AMT-19	Station_15	5/11/09	5:37:00	6.83	-29.55	0.00	4000.60	28.85	33.83	202.60	0.22	0.01	0.09	0.10		0.01	0.18	0.05
AMT.19.16.1-60246	AMT-19	Station_16	6/11/09	5:34:00	4.07	-27.69	0.00	4100.90	28.25	35.06	202.00	0.03	0.01	0.02	0.03		0.01	0.19	0.06
AMT.19.16.2-60247	AMT-19	Station_17	7/11/09	5:34:00	1.27	-25.85	0.00	3573.50	27.00	35.85	209.10	0.19	0.01	0.02	0.03		0.01		0.03
AMT.19.17.1-60248	AMT-19	Station_18	8/11/09	7:10:00	-2.05	-24.99	0.00	4796.20	26.31	36.19	207.10	0.31	0.01	0.02	0.03		0.08	28.35	0.07
AMT.19.17.2-60249	AMT-19	Station_19	9/11/09	5:34:00	-3.84	-25.00	0.00	5555.40	26.33	36.31	211.40	0.15	0.01	0.02	0.03		0.13	0.12	0.05
AMT.19.18-60250	AMT-19	Station_20	10/11/09	5:35:00	-7.37	-24.99	0.00	5504.80	25.50	35.95	214.10	0.03	0.01	0.02	0.03		0.09	0.09	0.04
AMT.19.19-60251	AMT-19	Station_21	11/11/09	4:36:00	-10.66	-25.00	0.00	5503.60	25.67	36.54	213.80	0.03	0.01	0.02	0.03		0.06	0.11	0.02
AMT.19.20-60252	AMT-19	Station_22	13/11/09	5:19:00	-14.00	-25.17	0.00	5170.70	25.59	36.83	212.80	0.03	0.01	0.02	0.03		0.06		0.01
AMT.19.21-60253	AMT-19	Station_23	14/11/09	4:43:00	-16.37	-25.00	0.00	5051.50	24.77	37.09	217.90	0.03	0.01	0.02	0.03		0.16	0.05	0.01
AMT.19.22.1-60254	AMT-19	Station_24	15/11/09	4:33:00	-19.50	-25.00	0.00	5484.30	25.33	37.20	216.80	0.13	0.01	0.02	0.03		0.13	0.13	0.01
AMT.19.22.2-60255	AMT-19	Station_25	16/11/09	4:33:00	-22.85	-25.00	0.00	5503.60	24.82	36.67	219.90	0.23	0.01	0.02	0.03		0.11	0.11	0.01
AMT.19.24-60256	AMT-19	Station_26	17/11/09	4:42:00	-26.10	-25.01	0.00	4995.50	24.32	36.36	221.20	0.22	0.01	0.02	0.03		0.05	0.10	0.02
AMT.19.25-60257	AMT-19	Station_27	18/11/09	4:38:00	-28.79	-26.14	0.00	5003.80	22.80	36.22	227.10	0.15	0.01	0.02	0.03		0.06	0.11	0.02
AMT.19.26-60258	AMT-19	Station_28	19/11/09	4:34:00	-30.83	-29.18	0.00	2384.10	20.90	36.02	234.60	0.10	0.01	0.09	0.10		0.12	0.12	0.01
