SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
S0209	GA02	1	5/3/11	8:56:00 PM	-49.5475	-52.6885	10	2322.00	10.00	33.98	287.10	0.00	0.17	12.96	13.13		1.01		
S0211	GA02	2	6/3/11	7:40:00 PM	-48.9358	-48.7933	11	5900.00	11.27	34.07	280.60	0.00	0.16	11.62	11.78		0.91		
S0212	GA02	2	6/3/11	7:40:00 PM	-48.9358	-48.7933	51	5900.00	8.25	33.97	293.30	0.25	0.17	15.55	15.72		1.18		
S0213	GA02	2	6/3/11	7:40:00 PM	-48.9358	-48.7933	150	5900.00	3.88	34.04	296.10	10.47	0.05	25.79	25.84		1.77		
S0214	GA02	3	8/3/11	3:21:00 AM	-46.907	-47.179	10	5733.00	17.17	34.62	242.60	0.28	0.04	0.02	0.06		0.18		
S0215	GA02	3	8/3/11	3:21:00 AM	-46.907	-47.179	51	5733.00	14.84	35.44	214.10	1.88	0.05	5.90	5.95		0.52		
S0216	GA02	3	8/3/11	3:21:00 AM	-46.907	-47.179	151	5733.00	12.61	35.21	223.40	2.71	0.02	9.89	9.91		0.74		
S0217	GA02	4	9/3/11	3:22:00 AM	-44.7117	-45.5265	10	5063.00	16.97	34.53	247.60	0.00	0.00	0.00	0.00		0.2		
S0218	GA02	4	9/3/11	3:22:00 AM	-44.7117	-45.5265	51	5063.00	13.88	34.54	244.10	0.00	0.33	3.14	3.47		0.51		
S0219	GA02	4	9/3/11	3:22:00 AM	-44.7117	-45.5265	149	5063.00	8.31	34.54	258.60	3.68	0.02	16.09	16.11		1.17		
S0220	GA02	5	10/3/11	2:43:00 AM	-42.364	-44.0318	10	5159.00	17.21	34.58	251.80	0.00	0.02	0.00	0.02		0.21		
S0221	GA02	5	10/3/11	2:43:00 AM	-42.364	-44.0318	50	5159.00	13.46	34.59	248.20	0.07	0.35	3.57	3.92		0.54		
S0222	GA02	5	10/3/11	2:43:00 AM	-42.364	-44.0318	150	5159.00	9.08	34.67	255.20	3.78	0.03	14.70	14.73		1.06		
S0223	GA02	6	11/3/11	2:17:00 AM	-39.9648	-42.4232	10	3102.00	5.84	34.81	287.50	4.70	0.19	12.00	12.19		0.82		
S0224	GA02	6	11/3/11	2:17:00 AM	-39.9648	-42.4232	50	3102.00	5.40	34.84	296.70	5.00	0.21	12.70	12.91		0.86		
S0225	GA02	6	11/3/11	2:17:00 AM	-39.9648	-42.4232	149	3102.00	4.34	34.86	287.10	7.50	0.10	15.60	15.70		1.02		
S0226	GA02	7	12/3/11	1:56:00 AM	-37.8305	-41.1248	9	5047.00	20.26	35.37	228.00	0.80	0.00	0.00	0.00		0.07		
S0227	GA02	7	12/3/11	1:56:00 AM	-37.8305	-41.1248	50	5047.00	19.74	35.58	231.60	0.89	0.01	0.00	0.01		0.09		
S0228	GA02	7	12/3/11	1:56:00 AM	37.8305	-41.1248	148	5047.00	15.22	35.65	220.90	1.56	0.02	4.78	4.80		0.39		
S0229	GA02	8	13/3/11	1:43:00 PM	-35.0093	-39.431	11	4850.00	22.09	35.73	220.40	0.50	0.01	0.00	0.01		0		
S0177	GA02	8	13/3/11	1:43:00 PM	-35.0093	-39.431	49	4850.00	21.95	35.73	220.80	0.50	0.02	0.00	0.02		0.01		
S0178	GA02	8	13/3/11	1:43:00 PM	-35.0093	-39.431	151	4850.00	16.33	35.80	223.80	0.70	0.04	2.00	2.04		0.22		
S0179	GA02	9	14/3/11	6:45:00 PM	-32.092	-37.4563	10	4133.00	23.87	35.97	209.50	0.43	0.00	0.00	0.00		0		
S0180	GA02	9	14/3/11	6:45:00 PM	-32.092	-37.4563	149	4133.00	16.16	35.72	213.10	1.31	0.02	3.66	3.68		0.33		
S0181	GA02	10	15/3/11	11:40:00 PM	-29.0538	-35.8078	11	4403.00	10.55	34.71	270.90	1.00	0.06	0.20	0.26		0.12		
S0182	GA02	10	15/3/11	11:40:00 PM	-29.0538	-35.8078	50	4403.00	11.37	35.20	252.70	1.20	0.19	3.30	3.49		0.32		
S0183	GA02	10	15/3/11	11:40:00 PM	-29.0538	-35.8078	150	4403.00	10.75	35.32	210.60	5.40	0.05	11.70	11.75		0.74		
S0157	GA02	11	11/5/10	1:26:00 PM	-47.8007	-39.399	9	4570.00	15.21	35.60	259.50	0.00	0.20	0.04	0.24		0.03		
S0158	GA02	11	11/5/10	1:26:00 PM	-47.8007	-39.399	50	4570.00	15.07	36.03	219.90	1.70	3.70	0.29	3.99		0.25		
S0159	GA02	11	11/5/10	1:26:00 PM	-47.8007	-39.399	75	4570.00	15.06	36.06	223.30	2.10	0.38	5.00	5.38		0.3		
S0161	GA02	11	11/5/10	1:26:00 PM	-47.8007	-39.399	152	4570.00	14.49	36.00	220.60	2.70	0.21	6.70	6.91		0.4		
S0184	GA02	11	17/3/11	12:34:00 AM	-26.0867	-34.2585	10	4575.00	25.91	36.53	199.80	0.28	0.03	0.00	0.03		0.03		
S0185	GA02	11	17/3/11	12:34:00 AM	-26.0867	-34.2585	50	4575.00	23.05	36.74	230.20	0.67	0.03	0.00	0.03		0.02		
S0186	GA02	11	17/3/11	12:34:00 AM	-26.0867	-34.2585	151	4575.00	20.14	36.39	208.60	0.85	0.05	0.50	0.55		0.12		
S0187	GA02	12	18/3/11	2:16:00 PM	-22.4732	-32.7487	9	4527.00	26.38	36.47	201.60	0.41	0.01	0.00	0.01		0.03		
S0188	GA02	12	18/3/11	2:16:00 PM	-22.4732	-32.7487	49	4527.00	24.71	36.60	223.70	0.72	0.01	0.00	0.01		0.02		
S0189	GA02	12	18/3/11	2:16:00 PM	-22.4732	-32.7487	150	4527.00	19.51	36.25	213.70	0.94	0.04	0.48	0.52		0.11		
S0190	GA02	13	20/3/11	2:54:00 PM	-17.0173	-30.6052	49	4911.00	27.64	37.48	200.70	0.56	0.00	0.00	0.00		0.04		
S0195	GA02	13	20/3/11	2:54:00 PM	-17.0173	-30.6052	143	4911.00	22.14	36.75	196.40	0.85	0.12	0.36	0.48		0.2		
S0191	GA02	14	22/3/11	1:00:00 AM	-12.8957	-29.2335	10	5407.00	28.11	37.01	195.30	0.48	0.02	0.00	0.02		0.09		
S0192	GA02	14	22/3/11	1:00:00 AM	-12.8957	-29.2335	49	5407.00	27.27	37.22	200.60	0.45	0.02	0.00	0.02		0.1		
S0193	GA02	14	22/3/11	1:00:00 AM	-12.8957	-29.2335	149	5407.00	22.82	36.90	201.80	0.69	0.04	0.00	0.04		0.18		
S0197	GA02	15	23/3/11	11:11:00 AM	-9.1608	-28.0012	50	5628.00	28.09	36.82	198.50	0.26	0.01	0.00	0.01		0.06		
S0198	GA02	15	23/3/11	11:11:00 AM	-9.1608	-28.0012	135	5628.00	21.68	36.53	189.20	0.57	0.11	0.68	0.79		0.27		
S0199	GA02	16	24/3/11	12:54:00 PM	-5.6667	-28.4572	10	5549.00	28.88	36.28	191.10	0.36	0.02	0.00	0.02		0.08		
S0200	GA02	16	24/3/11	12:54:00 PM	-5.6667	-28.4572	50	5549.00	28.67	36.44	195.40	0.20	0.02	0.00	0.02		0.09		
S0201	GA02	16	24/3/11	12:54:00 PM	-5.6667	-28.4572	149	5549.00	16.23	35.72	108.40	4.89	0.06	17.71	17.77		1.19		
S0202	GA02	17	25/3/11	9:08:00 PM	-2.6505	-28.9172	10	4908.00	29.00	35.69	194.40	0.16	0.01	0.00	0.01		0.03		
S0203	GA02	17	25/3/11	9:08:00 PM	-2.6505	-28.9172	65	4908.00	21.08	35.95	159.00	2.45	0.26	5.75	6.01		0.59		
S0204	GA02	17	25/3/11	9:08:00 PM	-2.6505	-28.9172	149	4908.00	13.46	35.33	124.00	6.89	0.02	19.98	20.00		1.31		
S0294	GA02	18	22/5/10	1:07:00 PM	33.4334	-58.0503	9	4504.00	20.57	36.65	212.30	0.30	0.02	0.00	0.02		0.01		
S0295	GA02	18	22/5/10	1:07:00 PM	33.4334	-58.0503	51	4504.00	18.93	36.61	214.00	0.70	0.04	0.00	0.04		0.01		
S0296	GA02	18	22/5/10	1:07:00 PM	33.4334	-58.0503	76	4504.00	18.64	36.60	214.20	0.50	0.15	0.40	0.55		0.02		
S0297	GA02	18	22/5/10	1:07:00 PM	33.4334	-58.0503	151	4504.00	18.31	36.58	203.90	1.00	0.05	1.90	1.95		0.06		
S0205	GA02	18	27/3/11	1:11:00 PM	0.1915	-32.8745	9	4354.00	28.53	35.71	197.10	0.46	0.00	0.00	0.00		0.02		
S0206	GA02	18	27/3/11	1:11:00 PM	0.1915	-32.8745	61	4354.00	25.82	36.50	194.30	0.48	0.06	0.00	0.06		0.12		
S0207	GA02	18	27/3/11	1:11:00 PM	0.1915	-32.8745	150	4354.00	14.10	35.40	161.10	5.07	0.02	14.27	14.29		0.99		
S0164	GA02	21	13/6/10	12:53:00 AM	31.6667	-64.167	75	4560.00	18.72	36.61	223.40	0.50	0.07	0.20	0.27		0.01		
S0165	GA02	21	13/6/10	12:53:00 AM	31.6667	-64.167	100	4560.00	18.47	36.61	205.30	0.80	0.08	2.00	2.08		0.1		
S0166	GA02	21	13/6/10	12:53:00 AM	31.6667	-64.167	150	4560.00	18.29	36.59	213.50	0.90	0.05	2.40	2.45		0.1		
S0167	GA02	21	13/6/10	12:53:00 AM	31.6667	-64.167	202	4560.00	18.13	36.57	198.40	1.10	0.01	3.00	3.01		0.16		
S0168	GA02	23	16/6/10	12:22:00 AM	28.0905	-67.5015	8	4920.00	26.88	36.76	201.40	0.80	0.01	0.10	0.11		0.02		
S0169	GA02	23	16/6/10	12:22:00 AM	28.0905	-67.5015	76	4920.00	22.28	36.85	214.60	0.70	0.01	0.10	0.11		0.04		
S0171	GA02	23	16/6/10	12:22:00 AM	28.0905	-67.5015	150	4920.00	20.30	36.74	199.40	0.70	0.04	0.90	0.94		0.03		
S0172	GA02	23	16/6/10	12:22:00 AM	28.0905	-67.5015	200	4920.00	19.33	36.67	191.90	0.90	0.02	2.20	2.22		0.08		
S0149	GA02	25	17/6/10	7:56:00 PM	24.7143	-67.0726	119	5573.00	21.30	36.83	204.90	0.70	0.03	0.00	0.03		0.01		
S0150	GA02	25	17/6/10	7:56:00 PM	24.7143	-67.0726	152	5573.00	20.04	36.71	212.40	0.70	0.25	0.10	0.35		0.02		
S0151	GA02	25	17/6/10	7:56:00 PM	24.7143	-67.0726	202	5573.00	18.96	36.62	198.30	1.00	0.02	2.40	2.42		0.08		
S0154	GA02	27	19/6/10	9:44:00 PM	22.3411	-63.5833	100	5807.00	22.30	36.90	210.30	0.70	0.01	0.00	0.01		0.01		
S0155	GA02	27	19/6/10	9:44:00 PM	22.3411	-63.5833	127	5807.00	21.31	36.97	178.80	0.80	0.11	0.90	1.01		0.03		
S0156	GA02	27	19/6/10	9:44:00 PM	22.3411	-63.5833	200	5807.00	19.06	36.65	189.00	1.10	0.02	2.80	2.82		0.1		
S0045	GA02	31	24/6/10	3:06:00 PM	16.8312	-56.2685	76	5739.00	26.89	36.70	195.50	1.10	0.23	0.00	0.23		0.01		
S0046	GA02	31	24/6/10	3:06:00 PM	16.8312	-56.2685	101	5739.00	26.14	36.94	192.30	0.90	0.26	0.10	0.36		0.01		
S0047	GA02	31	24/6/10	3:06:00 PM	16.8312	-56.2685	150	5739.00	22.92	37.14	163.90	1.00	0.05	1.80	1.85		0.08		
S0048	GA02	31	24/6/10	3:06:00 PM	16.8312	-56.2685	201	5739.00	20.15	36.90	155.20	1.40	0.02	5.50	5.52		0.25		
S0033	GA02	33	26/6/10	12:25:00 PM	13.1623	-53.4215	9	5025.00	29.07	32.12	202.80	8.00	0.01	0.00	0.01		0.02		
