SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
S0115	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	57.8		18.64	35.43	189.3	2.54	0.17	4.81	4.98		0.42		
S0116	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	89.2		15.81	36.04	144	5.18	0	13.37	13.37		0.93		
S0117	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	109.9		14.4	35.86	144.8	6.15	0	15.41	15.41		0.92		
S0118	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	135.4		13.53	35.73	150.8	6.84	0	16.29	16.29		1.14		
S0119	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	185.8		11.81	35.49	134.3	10.35	0	21.02	21.02		1.33		
S0120	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	285.9		10.03	35.29	139.8	12.51	0	23.01	23.01		1.48		
S0064	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	28.4		24.51	36.17	204.5	0.68	0	0	0		0		
S0065	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	61.2		24.15	36.34	203.1	0.19	0.01	0.09	0.1		0		
S0066	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	86.4		23.59	36.68	166.1	0.68	0.03	2.28	2.31		0.08		
S0067	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	108.8		21.66	36.75	151.5	1.07	0	4.72	4.72		0.2		
S0068	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	135.6		20.29	36.76	162.8	0.78	0	4.71	4.71		0.19		
S0069	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	186.5		18.95	36.64	187.6	0.29	0	3.63	3.63		0.12		
S0070	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	234.7		18.22	36.56	192.4	0.68	0	4.52	4.52		0.19		
S0071	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	288.8		17.59	36.45	184.9	1.27	0	6.41	6.41		0.31		
S0122	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	39.4		23.54	36.13	207.8	0.39	0	0	0		0.01		
S0124	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	90.8		23.57	36.14	207.6	0.29	0	0	0		0		
S0125	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	111.1		23.75	36.36	205.6	0.19	0.03	0.02	0.05		0		
S0128	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	236.7		18.8	36.62	193.1	0.58	0	3.36	3.36		0.12		
S0129	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	285.3		18.35	36.58	197	0.68	0	3.9	3.9		0.16		
S0130	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	39.6		23.4	36	208.3	0.59	0.04	0	0.04		0		
S0131	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	64.6		23.42	36.03	208.2	0.59	0.03	0.01	0.04		0		
S0132	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	89.6		23.46	36.07	207.9	0.59	0.03	0	0.03		0		
S0133	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	111.1		23.46	36.08	205.5	0.59	0.06	0.16	0.22		0		
S0134	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	139.6		20.51	36.16	176.8	1.75	0.01	3.97	3.98		0.23		
S0135	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	160		19.82	36.37	162.5	1.95	0	5.44	5.44		0.28		
S0136	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	232.9		16.07	36.05	154.8	4.1	0	11.47	11.47		0.65		
S0137	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	284.7		14.78	35.94	155.2	4.97	0	13.85	13.85		0.83		
S0231	GA03	7	24/10/10	11:14:00	24.00011	-22.00011	33.2		25.66	36.72	207.1	0.39	0	0.01	0.01		0.08		
S0233	GA03	7	24/10/10	11:14:00	24.00011	-22.00011	72.9		22.81	36.92	211.5	0.58	0.02	0.05	0.07		0.07		
S0234	GA03	7	24/10/10	11:14:00	24.00011	-22.00011	151.8		17.27	36.27	109.2	4.68	0.02	15.77	15.79		0.98		
S0235	GA03	7	24/10/10	11:14:00	24.00011	-22.00011	201.1		16.38	36.18	114	5.07	0.01	15.62	15.63		0.96		
S0236	GA03	7	24/10/10	11:14:00	24.00011	-22.00011	349		14.07	35.9	135.3	5.75	0.01	16.22	16.23		0.98		
