SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
S0447	GA10	1	19/10/10	6:14:00	34.629	17.070	6.100	2624.000	17.951	35.486	241.268	2.800	0.010	0.595	0.605		0.176		0.300
S0448	GA10	1	19/10/10	6:14:00	34.629	17.070	21.100	2624.000	17.915	35.486	241.659	2.712	0.078	0.527	0.605		0.185		0.292
S0449	GA10	1	19/10/10	6:14:00	34.629	17.070	31.200	2624.000	17.715	35.478	241.756	2.527	0.078	0.615	0.693		0.195		0.425
S0450	GA10	1	19/10/10	6:14:00	34.629	17.070	40.800	2624.000	17.681	35.478	240.488	2.702	0.098	0.732	0.829		0.215		0.427
S0451	GA10	1	19/10/10	6:14:00	34.629	17.070	51.400	2624.000	17.537	35.476	238.927	3.015	0.107	0.927	1.034		0.244		0.310
S0452	GA10	1	19/10/10	6:14:00	34.629	17.070	60.900	2624.000	17.025	35.440	232.195	4.029	0.127	2.420	2.546		0.341		0.000
S0453	GA10	2	20/10/10	10:08:00	35.367	14.906	6.400	4690.000	17.944	35.581	237.951	2.654	0.166	0.761	0.927		0.166		0.347
S0454	GA10	2	20/10/10	10:08:00	35.367	14.906	21.300	4690.000	17.941	35.580	237.854	2.634	0.176	0.810	0.985		0.185		0.311
S0455	GA10	2	20/10/10	10:08:00	35.367	14.906	51.100	4690.000	17.944	35.581	237.366	2.693	0.185	0.888	1.073		0.185		0.345
S0459	GA10	3	23/10/10	3:39:00	36.485	13.276	10.000	4911.000	13.001	35.076	258.244	2.312	0.146	3.756	3.902		0.449		0.151
S0460	GA10	3	23/10/10	3:39:00	36.485	13.276	21.100	4911.000	13.000	35.075	258.732	2.429	0.146	3.834	3.980		0.459		0.146
S0461	GA10	3	23/10/10	3:39:00	36.485	13.276	50.200	4911.000	12.624	34.996	261.463	2.341	0.137	4.156	4.293		0.478		0.321
S0462	GA10	3	23/10/10	3:39:00	36.485	13.276	59.800	4911.000	12.478	34.965	261.854	2.322	0.137	4.341	4.478		0.488		
S0463	GA10	3	23/10/10	3:39:00	36.485	13.276	81.500	4911.000	12.050	34.922	249.463	3.054	0.137	7.415	7.551		0.663		0.279
S0464	GA10	3	23/10/10	3:39:00	36.485	13.276	101.000	4911.000	11.085	34.728	260.683	2.673	0.224	7.610	7.834		0.693		0.000
S0465	GA10	4	26/10/10	6:22:00	38.425	10.089	6.500	5149.000	11.780	34.838	266.342	1.717	0.127	5.015	5.141		0.517		0.268
S0466	GA10	4	26/10/10	6:22:00	38.425	10.089	21.400	5149.000	11.782	34.839	266.049	1.707	0.127	5.054	5.180		0.527		0.306
S0467	GA10	4	26/10/10	6:22:00	38.425	10.089	42.200	5149.000	11.781	34.842	263.902	1.737	0.127	5.151	5.278		0.527		0.249
S0468	GA10	4	26/10/10	6:22:00	38.425	10.089	52.100	5149.000	11.779	34.842	263.707	1.746	0.127	5.200	5.327		0.527		0.220
S0469	GA10	4	26/10/10	6:22:00	38.425	10.089	62.000	5149.000	11.779	34.841	264.000	1.727	0.127	5.180	5.307		0.537		0.229
S0470	GA10	4	26/10/10	6:22:00	38.425	10.089	101.900	5149.000	11.753	34.840	261.756	1.766	0.146	5.376	5.522		0.546		0.141
S0471	GA10	5	27/10/10	19:24:00	40.063	5.527	6.300	5188.000	11.948	34.806	265.268	1.444	0.137	4.556	4.693		0.556		0.107
S0472	GA10	5	27/10/10	19:24:00	40.063	5.527	21.600	5188.000	11.947	34.807	265.366	1.415	0.137	4.566	4.702		0.566		0.148
S0473	GA10	5	27/10/10	19:24:00	40.063	5.527	51.200	5188.000	11.702	34.799	263.317	1.444	0.156	4.673	4.829		0.576		0.262
S0474	GA10	5	27/10/10	19:24:00	40.063	5.527	66.300	5188.000	11.695	34.799	262.927	1.434	0.156	4.693	4.849		0.585		0.166
S0475	GA10	5	27/10/10	19:24:00	40.063	5.527	81.400	5188.000	11.695	34.799	262.439	1.454	0.156	4.722	4.878		0.585		0.168
S0476	GA10	5	27/10/10	19:24:00	40.063	5.527	101.900	5188.000	11.699	34.799	262.342	1.444	0.156	4.722	4.878		0.585		0.120
S0477	GA10	6	29/10/10	18:23:00	40.019	0.888	6.000	4953.000	10.728	34.540	276.098	1.805	0.166	7.229	7.395		0.732		0.216
S0478	GA10	6	29/10/10	18:23:00	40.019	0.888	21.400	4953.000	10.550	34.538	276.195	1.805	0.176	7.307	7.483		0.732		0.364
S0479	GA10	6	29/10/10	18:23:00	40.019	0.888	50.900	4953.000	10.483	34.540	276.000	1.746	0.176	7.356	7.532		0.722		0.253
S0480	GA10	6	29/10/10	18:23:00	40.019	0.888	61.400	4953.000	10.346	34.544	274.244	1.766	0.185	7.424	7.610		0.761		0.362
S0487	GA10	9	10/11/10	12:29:00	34.895	16.077	71.600	4270.000	17.993	35.549	233.561	2.956	0.107	1.063	1.171		0.224		0.448
S0488	GA10	9	10/11/10	12:29:00	34.895	16.077	101.100	4270.000	17.978	35.549	232.878	2.995	0.107	1.112	1.220		0.234		
S0489	GA10	10	12/11/10	7:08:00	36.450	13.220	6.300	4913.000	16.490	35.505	240.098	2.927	0.088	1.668	1.756		0.283		0.251
S0490	GA10	10	12/11/10	7:08:00	36.450	13.220	21.100	4913.000	16.481	35.504	240.000	2.937	0.088	1.678	1.766		0.293		0.256
S0491	GA10	10	12/11/10	7:08:00	36.450	13.220	40.700	4913.000	16.275	35.474	239.512	2.810	0.088	1.668	1.756		0.302		0.501
S0492	GA10	10	12/11/10	7:08:00	36.450	13.220	61.500	4913.000	14.730	35.299	251.122	1.327	0.049	0.771	0.820		0.322		0.000
