SampleID	Cruise	Station	Replicate	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	TOC	PAR	Chlorophyll	DCM
68484	Gradients_2	1	A	27/5/17	9:38:00 PM	21.32	-158.24	15.00	1350.00	26.42	34.48	208.00								0.31	0.06	
68485	Gradients_2	1	B	27/5/17	9:38:00 PM	21.32	-158.24	15.00	1350.00	26.42	34.48	208.10								0.31	0.06	
68496	Gradients_2	2	A	29/5/17	5:10:00 AM	25.77	-158.01	15.00	5081.00	24.36	35.25	213.50								0.36	0.05	
68497	Gradients_2	2	B	29/5/17	5:10:00 AM	25.77	-158.01	15.00	5081.00	24.36	35.25	213.50								0.36	0.05	
68502	Gradients_2	2	A	29/5/17	5:14:00 AM	25.77	-158.01	25.00	5081.00	24.23	35.27	214.30								0.16	0.06	
68503	Gradients_2	2	B	29/5/17	5:14:00 AM	25.77	-158.01	25.00	5081.00	24.21	35.27	214.60								0.16	0.06	
68506	Gradients_2	2	A	29/5/17	7:06:00 AM	25.77	-158.01	45.00	5081.00	24.03	35.29	215.80								0.11	0.06	
68507	Gradients_2	2	B	29/5/17	7:06:00 AM	25.77	-158.01	45.00	5081.00	24.03	35.29	215.80								0.11	0.06	
68504	Gradients_2	2	A	29/5/17	5:14:00 AM	25.77	-158.01	60.00	5081.00	21.25	35.15	231.10								0.11	0.09	
68505	Gradients_2	2	B	29/5/17	5:14:00 AM	25.77	-158.01	60.00	5081.00	21.25	35.15	231.10								0.11	0.09	
68508	Gradients_2	2	A	29/5/17	7:06:00 AM	25.77	-158.01	83.00	5081.00	19.00	34.97	208.80								0.82	0.68	DCM
68509	Gradients_2	2	B	29/5/17	7:02:00 AM	25.77	-158.01	83.00	5081.00	19.00	34.97	208.80								0.82	0.68	DCM
68514	Gradients_2	2	A	29/5/17	7:04:00 AM	25.77	-158.01	120.00	5081.00	17.96	34.90	213.90								0.18	0.27	
68515	Gradients_2	2	B	29/5/17	7:02:00 AM	25.77	-158.01	120.00	5081.00	17.96	34.90	213.90								0.18	0.26	
68524	Gradients_2	3	A	30/5/17	4:15:00 AM	28.47	-158.00	15.00	5738.00	22.88	35.29	220.20	2.28			0.00		0.03	69.70	0.32	0.06	
68525	Gradients_2	3	B	30/5/17	4:15:00 AM	28.47	-158.00	15.00	5738.00	22.88	35.29	220.20	2.28			0.00		0.03	69.70	0.32	0.06	
68543	Gradients_2	4	A	31/5/17	4:33:00 AM	32.26	-158.00	15.00	5932.00	19.78	34.79	234.40	3.60			0.00		0.05	63.69	0.31	0.07	
