SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	DOC	POC	PAR	Chlorophyll
I8S-S11-N12	I8S	S11	18/2/07	7:11:00 AM	-63.26	82.01	19.71	2873.00	0.72	33.73	339.00	28.39	0.22	23.41	23.63		1.55	47.00			
I8S-S11-N11	I8S	S11	18/2/07	7:11:00 AM	-63.26	82.01	43.57	2873.00	0.71	33.73	339.40	28.38	0.22	23.41	23.63		1.54	46.30			
I8S-S11-N08	I8S	S11	18/2/07	7:11:00 AM	-63.26	82.01	118.71	2873.00	1.05	34.36	207.00	70.51	0.05	34.80	34.85		2.42	43.80			
I8S-S11-N05	I8S	S11	18/2/07	7:11:00 AM	-63.26	82.01	220.52	2873.00	1.86	34.56	175.70	79.57	0.02	34.89	34.91		2.42	41.90			
I8S-S11-N03	I8S	S11	18/2/07	7:11:00 AM	-63.26	82.01	419.07	2873.00	2.00	34.68	177.20	83.19	0.01	32.95	32.96		2.29	41.90			
I8S-S11-N01	I8S	S11	18/2/07	7:11:00 AM	-63.26	82.01	940.04	2873.00	1.72	34.75	198.00	87.61	0.00	30.48	30.48		2.11	41.70			
I8S-S15-N12	I8S	S15	19/2/07	5:32:00 AM	-61.49	82.01	20.50	2328.00	1.04	33.86	332.60	32.87	0.18	24.47	24.65		1.63	48.80			
I8S-S15-N11	I8S	S15	19/2/07	5:32:00 AM	-61.49	82.01	41.30	2328.00	1.03	33.87	330.10	33.65	0.18	24.62	24.80		1.66	47.30			
I8S-S15-N08	I8S	S15	19/2/07	5:32:00 AM	-61.49	82.01	103.18	2328.00	1.15	34.45	207.70	74.58	0.17	34.28	34.45		2.41	44.00			
I8S-S15-N05	I8S	S15	19/2/07	5:32:00 AM	-61.49	82.01	235.20	2328.00	1.92	34.65	174.10	83.80	0.02	33.82	33.84		2.34	42.50			
I8S-S15-N03	I8S	S15	19/2/07	5:32:00 AM	-61.49	82.01	482.38	2328.00	1.89	34.72	185.10	84.96	0.01	31.72	31.73		2.21	41.60			
I8S-S15-N01	I8S	S15	19/2/07	5:32:00 AM	-61.49	82.01	967.77	2328.00	1.50	34.74	199.90	93.39	0.00	30.72	30.72		2.13	42.00			
I8S-S23-N12	I8S	S23	21/2/07	2:16:00 AM	-57.92	82.23	21.20	2006.00	1.30	33.87	331.10	32.99	0.19	24.59	24.78		1.65	49.60			
I8S-S23-N11	I8S	S23	21/2/07	2:16:00 AM	-57.92	82.23	41.41	2006.00	1.30	33.87	331.20	33.15	0.19	24.64	24.83		1.65	48.90			
I8S-S23-N08	I8S	S23	21/2/07	2:16:00 AM	-57.92	82.23	119.45	2006.00	0.38	34.38	221.10	73.92	0.15	33.52	33.67		2.33	45.10			
I8S-S23-N05	I8S	S23	21/2/07	2:16:00 AM	-57.92	82.23	219.33	2006.00	1.43	34.61	187.90	83.63	0.03	33.20	33.23		2.29	43.20			
I8S-S23-N03	I8S	S23	21/2/07	2:16:00 AM	-57.92	82.23	420.63	2006.00	1.67	34.71	190.50	87.09	0.01	31.62	31.63		2.18	41.80			
I8S-S23-N01	I8S	S23	21/2/07	2:16:00 AM	-57.92	82.23	941.52	2006.00	1.29	34.73	203.50	98.56	0.01	31.03	31.04		2.14	41.40			
