SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
PS122-1-10-16-ice-bottom-0-5cm-S70	MOSAiC	PS122/1_10-16	2/12/19	5:52:00 am	85.93	113.53	bottom												
PS122-1-10-19-ice-bottom-0-5cm-S81	MOSAiC	PS122/1_10-19	2/12/19	6:02:00 am	85.94	113.59	bottom												
PS122-1-7-47-water-100m-S69	MOSAiC	PS122/1_7-47	14/11/19	1:49:00 am	86.15	118.11	100												
PS122-1-7-47-water-10m-S80	MOSAiC	PS122/1_7-47	14/11/19	1:49:00 am	86.15	118.11	10												
PS122-1-7-47-water-20m-S61	MOSAiC	PS122/1_7-47	14/11/19	1:49:00 am	86.15	118.11	20												
PS122-1-7-47-water-2m-S73	MOSAiC	PS122/1_7-47	14/11/19	1:49:00 am	86.15	118.11	2												
PS122-1-7-47-water-50m-S49	MOSAiC	PS122/1_7-47	14/11/19	1:49:00 am	86.15	118.11	50												
PS122-1-7-6-ice-bottom-0-5cm-S92	MOSAiC	PS122/1_7-6	11/11/19	2:52:00 am	85.87	116.27	bottom												
PS122-1-7-9-ice-bottom-0-5cm-S85	MOSAiC	PS122/1_7-9	11/11/19	3:01:00 am	85.87	116.22	bottom												
PS122-1-8-2-ice-bottom-0-5cm-S11	MOSAiC	PS122/1_8-2	18/11/19	8:14:00 am	85.85	120.58	bottom												
PS122-1-8-43-water-100m-S50	MOSAiC	PS122/1_8-43	21/11/19	3:13:00 am	85.75	120.99	100												
PS122-1-8-43-water-10m-S23	MOSAiC	PS122/1_8-43	21/11/19	3:13:00 am	85.75	120.99	10												
PS122-1-8-43-water-2m-S86	MOSAiC	PS122/1_8-43	21/11/19	3:13:00 am	85.75	120.99	2												
PS122-1-8-43-water-40m-S62	MOSAiC	PS122/1_8-43	21/11/19	3:13:00 am	85.75	120.99	40												
PS122-1-8-43-water-50m-S74	MOSAiC	PS122/1_8-43	21/11/19	3:13:00 am	85.75	120.99	50												
PS122-1-9-11-ice-bottom-0-5cm-S15	MOSAiC	PS122/1_9-11	25/11/19	5:10:00 am	86.02	120.67	bottom												
PS122-1-9-6-ice-bottom-0-5cm-S3	MOSAiC	PS122/1_9-6	25/11/19	4:50:00 am	86.02	120.74	bottom												
PS122-1-9-67-water-100m-S35	MOSAiC	PS122/1_9-67	29/11/19	9:43:00 am	86.11	114.44	100												
PS122-1-9-67-water-10m-S39	MOSAiC	PS122/1_9-67	29/11/19	9:43:00 am	86.11	114.44	10												
PS122-1-9-67-water-10m-S58	MOSAiC	PS122/1_9-67	29/11/19	9:43:00 am	86.11	114.44	10												
PS122-1-9-67-water-40m-S27	MOSAiC	PS122/1_9-67	29/11/19	9:43:00 am	86.11	114.44	40												
PS122-1-9-67-water-50m-S46	MOSAiC	PS122/1_9-67	29/11/19	9:43:00 am	86.11	114.44	50												
PS122-1-9-67-water-surface-S51	MOSAiC	PS122/1_9-67	29/11/19	9:43:00 am	86.11	114.44	2												
PS122-2-17-3-ice-bottom-0-5cm-S63	MOSAiC	PS122/2_17-3	23/12/19	7:49:00 am	86.65	113.08	bottom												
PS122-2-17-39-water-100m-S16	MOSAiC	PS122/2_17-39	26/12/19	6:37:00 am	86.65	115.70	100												
PS122-2-17-39-water-10m-S52	MOSAiC	PS122/2_17-39	26/12/19	6:37:00 am	86.65	115.70	5												
PS122-2-17-39-water-16m-S40	MOSAiC	PS122/2_17-39	26/12/19	6:37:00 am	86.65	115.70	16												
PS122-2-17-39-water-50m-S28	MOSAiC	PS122/2_17-39	26/12/19	6:37:00 am	86.65	115.70	22												
PS122-2-17-39-water-5m-S64	MOSAiC	PS122/2_17-39	26/12/19	6:37:00 am	86.65	115.70	2												
PS122-2-21-13-ice-bottom-0-5cm-S89	MOSAiC	PS122/2_21-13	20/1/20	7:44:00 am	87.44	97.57	bottom												
PS122-2-21-64-water-100m-S7	MOSAiC	PS122/2_21-64	23/1/20	6:14:00 am	87.45	94.18	100												
PS122-2-21-64-water-10m-S43	MOSAiC	PS122/2_21-64	23/1/20	6:14:00 am	87.45	94.18	10												
PS122-2-21-64-water-20m-S31	MOSAiC	PS122/2_21-64	23/1/20	6:14:00 am	87.45	94.18	20												
PS122-2-21-64-water-2m-S55	MOSAiC	PS122/2_21-64	23/1/20	6:14:00 am	87.45	94.18	2												
PS122-2-21-64-water-50m-S19	MOSAiC	PS122/2_21-64	23/1/20	6:14:00 am	87.45	94.18	50												
