SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P15S-2016-10201	P15S	10201	14/6/16	1:11	-18	-170	4991.5	5041	1.07	34.71	206.1	118.2	0	32.28	32.28		2.19		
P15S-2016-10231	P15S	10231	14/6/16	1:11	-18	-170	134.6	5041	23.77	35.78	197.6	0.31	0.03	0.06	0.09	0	0.15		
P15S-2016-10233	P15S	10233	14/6/16	1:11	-18	-170	75.3	5041	26.05	35.64	204.5	0.31	0	0.02	0.02		0.13		
P15S-2016-10235	P15S	10235	14/6/16	1:11	-18	-170	23.1	5041	26.5	35.47	201.9	0.36	0	0.01	0.01		0.15		
P15S-2016-10236	P15S	10236	14/6/16	1:11	-18	-170	5	5041	26.51	35.47	202	0.37	0	0.01	0.01	0.01	0.15		
P15S-2016-10532	P15S	10532	14/6/16	23:22	-16.5	-170	127.1	5139	24.08	35.99	179.5	0.38	0.26	1.23	1.49		0.34		
P15S-2016-10534	P15S	10534	14/6/16	23:22	-16.5	-170	54.6	5139	27.06	35.45	200.3	0.3	0.01	-0.07	-0.06	0.03	0.17		
P15S-2016-10536	P15S	10536	14/6/16	23:22	-16.5	-170	4.8	5139	27.13	35.44	200.2	0.31	0.01	-0.06	-0.05	0.02	0.16		
P15S-2016-11433	P15S	11433	17/6/16	2:26	-13	-170	80.4	5139	27.78	35.94	165.1	0.84	0.59	2.3	2.89	0.04	0.48		0.06
P15S-2016-11434	P15S	11434	17/6/16	2:26	-13	-170	49.8	5139	29.21	34.97	190.7	0.43	0.08	0.31	0.39		0.22		0.06
P15S-2016-11435	P15S	11435	17/6/16	2:26	-13	-170	23.7	5139	29.19	34.9	194	0.31	0.01	-0.03	-0.02		0.15		0.06
P15S-2016-11436	P15S	11436	17/6/16	2:26	-13	-170	5.7	5139	29.28	34.87	193.9	0.29	0.01	-0.04	-0.03	0.03	0.15		0.06
P15S-2016-12101	P15S	12101	18/6/16	2:44	-9.5	-169	5429.8	5373	1.15	34.71	205.2	118.17	0.01	31.86	31.87		2.2		0.06
P15S-2016-12134	P15S	12134	18/6/16	2:44	-9.5	-169	62.1	5373	29.96	35.21	190	0.51	0.18	0.41	0.59	0.05	0.29		0.06
P15S-2016-12135	P15S	12135	18/6/16	2:44	-9.5	-169	35.9	5373	29.91	34.59	192.6	0.28	0.01	-0.06	-0.05		0.15		0.06
P15S-2016-12136	P15S	12136	18/6/16	2:44	-9.5	-169	5.3	5373	29.98	34.6	192.6	0.27	0.01	-0.06	-0.05	0.02	0.15		0.06
P15S-2016-12801	P15S	12801	20/6/16	1:47	-6	-168.75	5765.1	5685	1.27	34.71	199.7	120.16	0	31.77	31.77		2.22		
P15S-2016-12813	P15S	12813	20/6/16	1:47	-6	-168.75	2061	5685	2.2	34.64	-999	128.37	0	36.53	36.53		2.62		
P15S-2016-12820	P15S	12820	20/6/16	1:47	-6	-168.75	966.8	5685	4.61	34.54	89.5	75.48	0	37.99	37.99		2.76		
P15S-2016-12825	P15S	12825	20/6/16	1:47	-6	-168.75	465.5	5685	8.57	34.65	84.3	29.46	0	32	32		2.27		
P15S-2016-12832	P15S	12832	20/6/16	1:47	-6	-168.75	105.5	5685	28.78	35.92	170.9	1.32	0.94	0.7	1.64		0.43		
P15S-2016-12833	P15S	12833	20/6/16	1:47	-6	-168.75	66.1	5685	30.28	34.89	192.1	0.58	0	0.02	0.02		0.14		
P15S-2016-12835	P15S	12835	20/6/16	1:47	-6	-168.75	19.7	5685	30.3	34.89	192	0.59	0	0.02	0.02		0.14		
