SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
HEOBI_2016_0201	HEOBI	1	12/1/16	9:12:11 AM	-39.49	99.39	2286.30	4268.00	2.17	34.75	196.55	84.87	0.00	31.43	31.43		2.19		
HEOBI_2016_0207	HEOBI	1	12/1/16	9:45:57 AM	-39.49	99.39	999.50	4268.00	3.89	34.39	197.40	44.69	0.00	33.69	33.69		2.30		
HEOBI_2016_0212	HEOBI	1	12/1/16	10:01:43 AM	-39.49	99.39	500.50	4268.00	8.34	34.58	226.66	9.11	0.00	21.34	21.34		1.47		
HEOBI_2016_0220	HEOBI	1	12/1/16	10:17:29 AM	-39.49	99.39	51.00	4268.00	15.18	35.20	264.97	1.01	0.06	2.19	2.25		0.33		
HEOBI_2016_0222	HEOBI	1	12/1/16	10:19:17 AM	-39.49	99.39	28.20	4268.00	15.76	35.19	264.97	0.67	0.06	1.69	1.74		0.28		
HEOBI_2016_0224	HEOBI	1	12/1/16	10:21:00 AM	-39.49	99.39	8.00	4268.00	15.82	35.19	265.11	0.67	0.06	1.65	1.71		0.28		
HEOBI_2016_0401	HEOBI	2	16/1/16	11:28:58 PM	-48.28	79.34	2297.80	3264.00	1.74	34.76	208.21	94.07	0.00	31.33	31.33		2.14		
HEOBI_2016_0407	HEOBI	2	16/1/16	12:04:10 AM	-48.28	79.34	1001.20	3264.00	2.76	34.59	179.67	69.11	0.01	34.77	34.77		2.36		
HEOBI_2016_0412	HEOBI	2	16/1/16	12:19:14 AM	-48.28	79.34	500.50	3264.00	3.37	34.26	231.52	34.96	0.01	32.83	32.84		2.21		
HEOBI_2016_0418	HEOBI	2	16/1/16	12:33:46 AM	-48.28	79.34	70.20	3264.00	6.03	33.76	328.39	1.05	0.26	19.46	19.72		1.37		
HEOBI_2016_0422	HEOBI	2	16/1/16	12:37:20 AM	-48.28	79.34	30.10	3264.00	6.78	33.78	317.54	2.33	0.23	20.45	20.68		1.42		
HEOBI_2016_0424	HEOBI	2	16/1/16	12:38:51 AM	-48.28	79.34	15.80	3264.00	6.79	33.78	316.33	2.53	0.23	20.52	20.76		1.44		
HEOBI_2016_0807	HEOBI	3	18/1/16	1:47:58 AM	-50.51	77.00	2000.70	3421.00	1.61	34.76	208.84	96.74	0.01	31.09	31.10		2.15		
HEOBI_2016_0809	HEOBI	3	18/1/16	2:11:30 AM	-50.51	77.00	1000.10	3421.00	2.30	34.69	185.48	79.01	0.01	33.10	33.10		2.27		
HEOBI_2016_0818	HEOBI	3	18/1/16	2:46:16 AM	-50.51	77.00	100.20	3421.00	3.48	33.86	320.58	10.28	0.31	25.30	25.61		1.85		
HEOBI_2016_0820	HEOBI	3	18/1/16	2:49:38 AM	-50.51	77.00	49.60	3421.00	4.75	33.79	326.74	1.95	0.24	21.31	21.55		1.47		
HEOBI_2016_0822	HEOBI	3	18/1/16	2:51:50 AM	-50.51	77.00	29.90	3421.00	5.72	33.73	324.69	0.73	0.26	19.04	19.31		1.36		
HEOBI_2016_0824	HEOBI	3	18/1/16	2:54:03 AM	-50.51	77.00	14.80	3421.00	5.86	33.73	322.59	0.98	0.26	19.30	19.56		1.37		
HEOBI_2016_2502	HEOBI	4	31/1/16	12:08:45 AM	-54.17	73.67	2100.30	2104.00	1.44	34.76	212.45	101.28	0.00	30.76	30.76		2.17		
HEOBI_2016_2507	HEOBI	4	31/1/16	12:34:04 AM	-54.17	73.67	1000.00	2104.00	2.26	34.72	189.27	79.59	0.00	31.85	31.85		2.24		
HEOBI_2016_2512	HEOBI	4	31/1/16	12:47:10 AM	-54.17	73.67	500.10	2104.00	2.38	34.53	177.35	72.69	0.00	35.56	35.57		2.49		
HEOBI_2016_2519	HEOBI	4	31/1/16	1:02:21 AM	-54.17	73.67	79.50	2104.00	2.53	33.88	340.76	12.66	0.28	25.66	25.94		1.76		
HEOBI_2016_2521	HEOBI	4	31/1/16	1:04:37 AM	-54.17	73.67	29.60	2104.00	2.54	33.88	340.36	12.70	0.28	25.58	25.86		1.76		
HEOBI_2016_2523	HEOBI	4	31/1/16	1:06:08 AM	-54.17	73.67	15.50	2104.00	2.54	33.88	340.32	12.63	0.28	25.55	25.83		1.75		
