SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P-1	POTATOE	P-1			70.36	-163.43	0.00	21.00	6.61	31.15		2.43	0.40	0.01	0.41		0.62	10.97	1.52
P-2	POTATOE	P-2			66.80	-168.04	0.00	56.00	7.71	30.99		3.14	1.39	0.99	2.38		0.70	9.12	2.73
P-3	POTATOE	P-3			62.75	-167.47	0.00	61.00	9.61	31.08		1.51	0.49	0.01	0.50		0.69	4.15	2.55
P-4	POTATOE	P-4			58.78	-167.67	0.00	204.00	9.39	31.51		0.97	0.73	0.36	1.09		0.48	10.81	1.18
P-5	POTATOE	P-5			54.91	-166.71	0.00	106.00	9.11	32.56		3.42	4.69	4.20	8.89		0.00		5.09
P-6	POTATOE	P-6			51.70	-165.83	0.00	4442.00	12.00	32.51		7.12	9.62	9.06	18.68		0.42	25.90	1.81
P-7	POTATOE	P-7			47.63	-167.40	0.00	5462.00	12.23	32.56		5.36	8.70	8.13	16.83		0.00	30.64	2.05
P-8	POTATOE	P-8			43.86	-167.10	0.00	5796.00	14.70	32.80		5.03	8.76	8.23	16.99		0.42	17.23	0.70
P-9	POTATOE	P-9			39.71	-165.37	0.00	5659.00	19.28	33.43		1.19	0.61	0.27	0.88		0.00	30.08	0.57
P-10	POTATOE	P-10			35.87	-164.28	0.00	5873.00	24.30	34.34		0.96	0.53	0.18	0.71		0.00	38.48	0.18
P-11	POTATOE	P-11			31.84	-162.95	0.00	2901.00	25.78	34.74		1.44	0.84	0.39	1.23		0.00	44.74	0.14
P-12	POTATOE	P-12			27.94	-161.56	0.00	5257.00	26.42	35.38		1.14	1.25	0.80	2.05		0.00	45.13	0.20
P-13	POTATOE	P-13			24.24	-159.91	0.00	4783.00	26.31	35.38		0.87	0.82	0.44	1.26		0.00	43.24	0.18
P-14	POTATOE	P-14			19.77	-160.86	0.00	4510.00	27.56	34.67		0.92	0.49	0.13	0.62		0.00	47.52	0.17
P-15	POTATOE	P-15			15.85	-161.68	0.00	5443.00	27.46	34.48		0.88	0.38	0.00	0.38		0.00	50.11	0.12
P-16	POTATOE	P-16			11.77	-162.51	0.00	5498.00	28.66	33.77		0.84	0.59	0.27	0.86		0.00	50.20	0.18
P-17	POTATOE	P-17			7.75	-163.24	0.00	3993.00	28.95	33.64		0.77	0.54	0.14	0.68		0.00	40.67	0.18
P-18	POTATOE	P-18			4.33	-163.86	0.00	5094.00	28.86	34.96		0.87	0.64	0.16	0.80		0.00	40.88	0.39
P-20	POTATOE	P-20			-2.36	-167.18	0.00	5632.00	28.60	35.51		1.00	3.59	3.00	6.59		0.00	50.42	0.37
P-21	POTATOE	P-21			-7.37	-168.42	0.00	5630.00	29.15	35.62		0.88	2.77	2.34	5.11		0.00	43.44	0.33
P-22	POTATOE	P-22			-11.16	-169.94	0.00	3368.00	29.25	35.26		0.82	1.23	0.90	2.13		0.00	20.19	0.33
P-23	POTATOE	P-23			-14.89	-171.28	0.00	4506.00	27.93	34.97		0.85	0.91	0.61	1.52		0.00	44.43	0.28
P-24	POTATOE	P-24			-18.46	-172.35	0.00	5462.00	26.40	35.25		0.82	0.37	0.00	0.37		0.00	45.65	0.21
P-25	POTATOE	P-25			-22.04	-173.78	0.00	7193.00	22.45	35.54		1.07	0.43	0.00	0.43		0.00	42.04	0.19
P-26	POTATOE	P-26			-24.00	-172.84	0.00	5728.00	22.15	35.51		0.79	0.00	0.00	0.00		0.37	29.64	0.19
P-27	POTATOE	P-27			-26.87	-173.00	0.00	5374.00	21.11	35.58		0.90	0.43	0.07	0.50		0.33	43.29	0.15
P-29	POTATOE	P-29			-33.54	-177.66	0.00	7201.00	15.73	35.39		0.82	0.29	0.00	0.29		0.36	14.91	0.30
P-30	POTATOE	P-30			-36.69	-179.59	0.00	4727.00	15.38	35.43		1.09	3.64	2.99	6.63		0.35	38.50	0.46
P-31	POTATOE	P-31			-40.01	-178.15	0.00	3747.00	14.32	35.29		0.00	4.01	3.40	7.41		0.36	8.13	4.29
