sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
AMT.19.1-60231	74850	70572	94.28	69755	67202	89.78	63826	85.27
AMT.19.10-60240	141438	133621	94.47	132049	125256	88.56	113388	80.17
AMT.19.11-60241	98590	92959	94.29	91798	85984	87.21	76152	77.24
AMT.19.12-60242	1168337	1104163	94.51	1098889	1061410	90.85	907101	77.64
AMT.19.13-60243	120335	113548	94.36	112105	105525	87.69	93415	77.63
AMT.19.14-60244	127508	121084	94.96	119731	114752	90	102957	80.75
AMT.19.15-60245	117612	110588	94.03	109055	101398	86.21	92286	78.47
AMT.19.16.1-60246	116911	109879	93.99	108828	105418	90.17	99162	84.82
AMT.19.16.2-60247	111641	105155	94.19	103833	99832	89.42	91294	81.77
AMT.19.17.1-60248	106750	100287	93.95	99235	95711	89.66	86873	81.38
AMT.19.17.2-60249	84565	79251	93.72	78481	75667	89.48	69538	82.23
AMT.19.18-60250	85316	80120	93.91	79245	76795	90.01	71526	83.84
AMT.19.19-60251	105467	99270	94.12	98118	94627	89.72	87765	83.22
AMT.19.2-60232	108164	101890	94.2	100755	94597	87.46	83752	77.43
AMT.19.20-60252	87195	82168	94.23	81290	79159	90.78	73776	84.61
AMT.19.21-60253	77992	73175	93.82	72424	70375	90.23	64321	82.47
AMT.19.22.1-60254	105401	98966	93.89	97937	95224	90.34	86266	81.85
AMT.19.22.2-60255	230346	216747	94.1	215863	211834	91.96	192706	83.66
AMT.19.24-60256	180102	168508	93.56	167356	163872	90.99	149894	83.23
AMT.19.25-60257	592	528	89.19	465	424	71.62	395	66.72
AMT.19.26-60258	285309	269258	94.37	267858	262906	92.15	237311	83.18
AMT.19.27-60259	86180	81117	94.13	80499	78614	91.22	72978	84.68
AMT.19.28-60260	120685	114317	94.72	113275	109045	90.36	101780	84.34
AMT.19.29-60261	78603	74208	94.41	73777	72442	92.16	66980	85.21
AMT.19.3-60233	103067	97165	94.27	95862	91181	88.47	84208	81.7
AMT.19.4-60234	33362	31446	94.26	30885	29628	88.81	27361	82.01
AMT.19.5-60235	109813	103531	94.28	102628	98921	90.08	92395	84.14
AMT.19.6-60236	104612	99335	94.96	98173	94484	90.32	86593	82.78
AMT.19.7-60237	85537	80977	94.67	80174	77271	90.34	71909	84.07
AMT.19.8-60238	118882	113091	95.13	111665	105162	88.46	95875	80.65
AMT.19.9-60239	93698	88785	94.76	88000	85754	91.52	80581	86
AMT.20.1-60262	205843	193331	93.92	191695	182631	88.72	170076	82.62
AMT.20.10-60271	116274	109652	94.3	108560	106142	91.29	99639	85.69
AMT.20.11-60272	158432	149906	94.62	148972	146339	92.37	138182	87.22
AMT.20.12-60273	160053	151970	94.95	150912	147332	92.05	133945	83.69
AMT.20.13-60274	43794	41625	95.05	40996	39764	90.8	37177	84.89
AMT.20.14-60275	39102	37057	94.77	36413	35391	90.51	32569	83.29
AMT.20.15-60276	141629	133765	94.45	132438	128637	90.83	118411	83.61
AMT.20.16-60277	181385	171842	94.74	170620	165944	91.49	150588	83.02
AMT.20.17-60278	127600	120273	94.26	119008	115483	90.5	105401	82.6
AMT.20.18-60279	89312	84147	94.22	83198	80803	90.47	76466	85.62
AMT.20.19-60280	144649	137399	94.99	136217	132609	91.68	124186	85.85
AMT.20.2-60263	94088	88183	93.72	86536	81091	86.19	74164	78.82
AMT.20.20-60281	193114	183409	94.97	181591	176047	91.16	161180	83.46
AMT.20.21-60282	135832	129644	95.44	128055	122811	90.41	110307	81.21
AMT.20.22-60283	83151	79091	95.12	78087	75869	91.24	71660	86.18
AMT.20.3-60264	129280	121637	94.09	120424	114718	88.74	104315	80.69
AMT.20.4-60265	113357	106636	94.07	105136	98364	86.77	86586	76.38
AMT.20.5-60266	263685	249316	94.55	247398	238534	90.46	219758	83.34
AMT.20.6-60267	115622	108349	93.71	106725	99118	85.73	89356	77.28
AMT.20.7-60268	181684	172416	94.9	171092	166349	91.56	154329	84.94
AMT.20.8-60269	183173	174090	95.04	172842	167908	91.67	155092	84.67
AMT.20.9-60270	161708	152969	94.6	151854	148350	91.74	139208	86.09
