sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
AMT.19.1-60231	2365	1735	73.36	1447	1447	61.18
AMT.19.10-60240	909	679	74.7	403	403	44.33
AMT.19.11-60241	116	89	76.72	10	10	8.62
AMT.19.12-60242	1212	929	76.65	785	785	64.77
AMT.19.13-60243	1252	932	74.44	733	733	58.55
AMT.19.14-60244	817	618	75.64	405	405	49.57
AMT.19.15-60245	1993	1464	73.46	1061	1061	53.24
AMT.19.16.1-60246	3218	2350	73.03	1981	1981	61.56
AMT.19.16.2-60247	2808	2042	72.72	1623	1623	57.8
AMT.19.17.1-60248	1863	1366	73.32	1009	1009	54.16
AMT.19.17.2-60249	1694	1203	71.02	908	908	53.6
AMT.19.18-60250	1770	1265	71.47	888	888	50.17
AMT.19.19-60251	2357	1697	72	1318	1318	55.92
AMT.19.2-60232	853	635	74.44	372	372	43.61
AMT.19.20-60252	1975	1428	72.3	1019	1019	51.59
AMT.19.21-60253	2471	1782	72.12	1513	1513	61.23
AMT.19.22.1-60254	1832	1329	72.54	991	991	54.09
AMT.19.22.2-60255	5124	3774	73.65	3272	3272	63.86
AMT.19.24-60256	5169	3687	71.33	3212	3212	62.14
AMT.19.25-60257	10	6	60	5	5	50
AMT.19.26-60258	10090	7397	73.31	6823	6823	67.62
AMT.19.27-60259	3750	2761	73.63	2427	2427	64.72
AMT.19.28-60260	1016	742	73.03	613	613	60.33
AMT.19.29-60261	4542	3244	71.42	3054	3054	67.24
AMT.19.3-60233	1638	1201	73.32	826	826	50.43
AMT.19.4-60234	945	742	78.52	447	447	47.3
AMT.19.5-60235	474	344	72.57	221	221	46.62
AMT.19.6-60236	1041	783	75.22	474	474	45.53
AMT.19.7-60237	1834	1383	75.41	933	933	50.87
AMT.19.8-60238	1586	1199	75.6	875	875	55.17
AMT.19.9-60239	2845	2150	75.57	1651	1651	58.03
AMT.20.1-60262	3318	2387	71.94	1911	1911	57.59
AMT.20.10-60271	972	724	74.49	566	566	58.23
AMT.20.11-60272	1340	990	73.88	857	857	63.96
AMT.20.12-60273	4328	3276	75.69	2841	2841	65.64
AMT.20.13-60274	416	321	77.16	146	146	35.1
AMT.20.14-60275	598	453	75.75	296	296	49.5
AMT.20.15-60276	3251	2481	76.31	2006	2006	61.7
AMT.20.16-60277	701	519	74.04	389	389	55.49
AMT.20.17-60278	1535	1134	73.88	752	752	48.99
AMT.20.18-60279	1093	806	73.74	593	593	54.25
AMT.20.19-60280	2419	1875	77.51	1469	1469	60.73
AMT.20.2-60263	1681	1224	72.81	888	888	52.83
AMT.20.20-60281	3856	2950	76.5	2459	2459	63.77
AMT.20.21-60282	832	640	76.92	416	416	50
AMT.20.22-60283	2257	1731	76.69	1520	1520	67.35
AMT.20.3-60264	6187	4528	73.19	3765	3765	60.85
AMT.20.4-60265	5140	3915	76.17	3341	3341	65
AMT.20.5-60266	7702	5680	73.75	4786	4786	62.14
AMT.20.6-60267	3543	2529	71.38	1989	1989	56.14
AMT.20.7-60268	3532	2673	75.68	2221	2221	62.88
AMT.20.8-60269	1373	1069	77.86	727	727	52.95
AMT.20.9-60270	1360	1009	74.19	697	697	51.25
