SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
S0115	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	57.80		18.64	35.43	189.30	2.54	0.17	4.81	4.98		0.42		
S0116	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	89.20		15.81	36.04	144.00	5.18	0.00	13.37	13.37		0.93		
S0117	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	109.90		14.40	35.86	144.80	6.15	0.00	15.41	15.41		0.92		
S0118	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	135.40		13.53	35.73	150.80	6.84	0.00	16.29	16.29		1.14		
S0119	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	185.80		11.81	35.49	134.30	10.35	0.00	21.02	21.02		1.33		
S0120	GA03	1	8/11/11	10:56:00	39.69225	-69.86286	285.90		10.03	35.29	139.80	12.51	0.00	23.01	23.01		1.48		
S0064	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	28.40		24.51	36.17	204.50	0.68	0.00	0.00	0.00		0.00		
S0065	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	61.20		24.15	36.34	203.10	0.19	0.01	0.09	0.10		0.00		
S0066	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	86.40		23.59	36.68	166.10	0.68	0.03	2.28	2.31		0.08		
S0067	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	108.80		21.66	36.75	151.50	1.07	0.00	4.72	4.72		0.20		
S0068	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	135.60		20.29	36.76	162.80	0.78	0.00	4.71	4.71		0.19		
S0069	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	186.50		18.95	36.64	187.60	0.29	0.00	3.63	3.63		0.12		
S0070	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	234.70		18.22	36.56	192.40	0.68	0.00	4.52	4.52		0.19		
S0071	GA03	3	10/11/11	14:23:00	38.65497	-69.13131	288.80		17.59	36.45	184.90	1.27	0.00	6.41	6.41		0.31		
S0122	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	39.40		23.54	36.13	207.80	0.39	0.00	0.00	0.00		0.01		
S0124	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	90.80		23.57	36.14	207.60	0.29	0.00	0.00	0.00		0.00		
S0125	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	111.10		23.75	36.36	205.60	0.19	0.03	0.02	0.05		0.00		
S0128	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	236.70		18.80	36.62	193.10	0.58	0.00	3.36	3.36		0.12		
S0129	GA03	4	12/11/11	14:57:00	38.32433	-68.87553	285.30		18.35	36.58	197.00	0.68	0.00	3.90	3.90		0.16		
S0130	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	39.60		23.40	36.00	208.30	0.59	0.04	0.00	0.04		0.00		
S0131	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	64.60		23.42	36.03	208.20	0.59	0.03	0.01	0.04		0.00		
S0132	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	89.60		23.46	36.07	207.90	0.59	0.03	0.00	0.03		0.00		
S0133	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	111.10		23.46	36.08	205.50	0.59	0.06	0.16	0.22		0.00		
S0134	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	139.60		20.51	36.16	176.80	1.75	0.01	3.97	3.98		0.23		
S0135	GA03	6	15/11/11	6:20:00	37.60731	-68.3895	160.00		19.82	36.37	162.50	1.95	0.00	5.44	5.44		0.28		
