SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
S0299	GP13		14/5/11	10:37:58	-30.00	153.50	15.00	89.00	23.28	35.51	209.11	1.00		0.07			0.04		
S0300-redo	GP13		14/5/11	10:37:58	-30.00	153.50	49.80	89.00	23.31	35.50	208.65	1.00		0.08			0.05		
S0301	GP13		15/5/11	1:28:38	-30.00	154.00	15.50	3500.00	23.49	35.57		0.90		0.02			0.07		
S0302-redo	GP13		15/5/11	1:28:38	-30.00	154.00	30.80	3500.00											
S0303	GP13		15/5/11	1:28:38	-30.00	154.00	51.70	3500.00	23.50	35.57		0.87		0.02			0.06		
S0305	GP13		15/5/11	1:28:38	-30.00	154.00	99.00	3500.00	23.51	35.57		0.88		0.02			0.06		
S0306	GP13		16/5/11	17:59:17	-30.00	155.99	15.40	4700.00	21.93	35.60		0.81		0.02			0.06		
S0307	GP13		16/5/11	17:59:17	-30.00	155.99	30.90	4700.00	21.93	35.60		0.79		0.02			0.06		
S0289	GP13		16/5/11	17:59:17	-30.00	155.99	74.50	4700.00	21.76	35.61	214.42	0.83		0.03			0.06		
S0290	GP13		16/5/11	17:59:17	-30.00	155.99	100.90	4700.00	21.31	35.60		0.88		1.03			0.14		
S0263	GP13		17/5/11	19:55:38	-30.00	159.00	15.50	4848.00	22.35	35.58		0.91		0.02			0.04		
S0264	GP13		17/5/11	19:55:38	-30.00	159.00	30.00	4848.00	22.33	35.58		0.91		0.02			0.05		
S0265	GP13		17/5/11	19:55:38	-30.00	159.00	50.60	1760.00	22.04	35.62	214.32	0.89		0.13			0.05		
S0266	GP13		17/5/11	19:55:38	-30.00	159.00	78.00	1760.00	22.02	35.62		0.89		0.15			0.06		
S0267	GP13		17/5/11	19:55:38	-30.00	159.00	101.00	4848.00	20.63	35.60		1.32		2.97			0.28		
S0268	GP13		19/5/11	15:42:38	-30.00	163.00	16.10	1216.00	21.93	35.65									
S0269	GP13		19/5/11	15:42:38	-30.00	163.00	29.90	1160.00	22.13	35.69		0.98		0.02			0.04		
S0270	GP13		19/5/11	15:42:38	-30.00	163.00	51.30	1216.00	21.93	35.65	215.72	0.90		0.02			0.04		
S0271	GP13		19/5/11	15:42:38	-30.00	163.00	74.00	1216.00	21.93	35.65		0.93		0.03			0.06		
S0272	GP13		19/5/11	15:42:38	-30.00	163.00	100.80	1160.00	20.33	35.63		1.09		0.69			0.12		
S0273	GP13		21/5/11	16:06:42	-30.00	166.99	13.80	2838.00	22.17	35.66		0.79		0.02			0.04		
S0274	GP13		21/5/11	16:06:42	-30.00	166.99	30.80	2838.00	22.17	35.66		0.79		0.02			0.02		
S0275	GP13		21/5/11	16:06:42	-30.00	166.99	51.10	2838.00	22.17	35.66	215.57	0.80		0.02			0.04		
S0276-redo	GP13		21/5/11	16:06:42	-30.00	166.99	74.80	2838.00	21.92	35.65									
S0277-redo	GP13		21/5/11	16:06:42	-30.00	166.99	101.70	2838.00	20.24	35.61		1.22		2.63			0.24		
S0278	GP13		23/5/11	11:54:38	-30.00	171.00	15.10	2203.00	21.38	35.66		0.91		0.03			0.06		
S0279	GP13		23/5/11	11:54:38	-30.00	171.00	30.70	2203.00	21.39	35.66		0.91		0.04			0.07		
S0280	GP13		23/5/11	11:54:38	-30.00	171.00	50.40	2203.00	21.39	35.66									
