SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P15S_2016_10201	P15S	10201	14/6/16	1:11	-18.00	-170.00	4991.50	5041.00	1.07	34.71	206.10	118.20	0.00	32.28	32.28		2.19		
P15S_2016_10231	P15S	10231	14/6/16	1:11	-18.00	-170.00	134.60	5041.00	23.77	35.78	197.60	0.31	0.03	0.06	0.09	0.00	0.15		
P15S_2016_10233	P15S	10233	14/6/16	1:11	-18.00	-170.00	75.30	5041.00	26.05	35.64	204.50	0.31	0.00	0.02	0.02		0.13		
P15S_2016_10235	P15S	10235	14/6/16	1:11	-18.00	-170.00	23.10	5041.00	26.50	35.47	201.90	0.36	0.00	0.01	0.01		0.15		
P15S_2016_10236	P15S	10236	14/6/16	1:11	-18.00	-170.00	5.00	5041.00	26.51	35.47	202.00	0.37	0.00	0.01	0.01	0.01	0.15		
P15S_2016_10532	P15S	10532	14/6/16	23:22	-16.50	-170.00	127.10	5139.00	24.08	35.99	179.50	0.38	0.26	1.23	1.49		0.34		
P15S_2016_10534	P15S	10534	14/6/16	23:22	-16.50	-170.00	54.60	5139.00	27.06	35.45	200.30	0.30	0.01	-0.07	-0.06	0.03	0.17		
P15S_2016_10536	P15S	10536	14/6/16	23:22	-16.50	-170.00	4.80	5139.00	27.13	35.44	200.20	0.31	0.01	-0.06	-0.05	0.02	0.16		
P15S_2016_11433	P15S	11433	17/6/16	2:26	-13.00	-170.00	80.40	5139.00	27.78	35.94	165.10	0.84	0.59	2.30	2.89	0.04	0.48		0.06
P15S_2016_11434	P15S	11434	17/6/16	2:26	-13.00	-170.00	49.80	5139.00	29.21	34.97	190.70	0.43	0.08	0.31	0.39		0.22		0.06
P15S_2016_11435	P15S	11435	17/6/16	2:26	-13.00	-170.00	23.70	5139.00	29.19	34.90	194.00	0.31	0.01	-0.03	-0.02		0.15		0.06
P15S_2016_11436	P15S	11436	17/6/16	2:26	-13.00	-170.00	5.70	5139.00	29.28	34.87	193.90	0.29	0.01	-0.04	-0.03	0.03	0.15		0.06
P15S_2016_12101	P15S	12101	18/6/16	2:44	-9.50	-169.00	5429.80	5373.00	1.15	34.71	205.20	118.17	0.01	31.86	31.87		2.20		0.06
P15S_2016_12134	P15S	12134	18/6/16	2:44	-9.50	-169.00	62.10	5373.00	29.96	35.21	190.00	0.51	0.18	0.41	0.59	0.05	0.29		0.06
P15S_2016_12135	P15S	12135	18/6/16	2:44	-9.50	-169.00	35.90	5373.00	29.91	34.59	192.60	0.28	0.01	-0.06	-0.05		0.15		0.06
